RH番号	単元	優先度	質問（先方提示用）	補足（先方提示用）	設計ID	なぜ聞くか	回答が無いとどうなるか	出典
RH-A-01	A 契約・サポート	最優先	ROSA の 3 年契約を結んだ場合、ワーカーノードのサービス料はいくらになりますか。見積書をいただけますか。	AWS の公式料金ページに「**3 年契約は AWS コンソールからは購入できず、aws-redhat-partnerteam@amazon.com へ連絡すること**」と明記されており、割引は **1 年契約 33% / 3 年契約 55%**（4vCPU・年で $1,500 → $1,000 → $667）と理解しています。**この窓口へ直接依頼するのが最短か、貴社側で受けていただけるか**を教えてください。**東京・大阪の 2 リージョン × 2 クラスタ構成**を前提に見積をお願いします。	ADR-056 採用条件2 / 残TBD②	3 年契約の実額が無いと総保有コストが確定せず、経営判断に上げられない	**基盤採用の最終承認が出せない**。ADR-056 が「条件付き」のまま外れない	ADR-056 §採用条件2
RH-A-02	A 契約・サポート	最優先	クラスタの制御部分の料金（1 クラスタあたり月 182.5 ドル）に、契約による割引はありますか。	2 クラスタ構成のため月 365 ドル・年 4,380 ドルが固定で発生します。ワーカー側と同様の契約割引が適用できるかを知りたいです。	ADR-056 残TBD②	2 クラスタ前提のため固定費が二重に効く	コスト見積りの固定費部分が確定しない	ADR-056 §残TBD
RH-A-03	A 契約・サポート	最優先	ROSA を契約すると、Keycloak 製品（RHBK）の利用権と OpenJDK・Quarkus の利用権はすべて含まれますか。追加購入が必要なものはありますか。	公開ナレッジ（KB 7044244）から「ROSA に内包され追加サブスクリプション不要」と読み取っていますが、**書面での確認**をいただきたいです。将来 Keycloak 以外の製品を載せる場合の扱いも合わせて教えてください。	ADR-056 / NFR-COST-006 / 旧Q7,Q8,Q10	要件表に「$5,000〜30,000/年/ノード」と誤った値が入っていた経緯があり、書面で確定させたい	**費用構造の根幹**が口頭情報のままになる	ADR-056 §Decision
RH-A-04	A 契約・サポート	通常	障害が起きたとき、どこまでが貴社の対応範囲で、どこからが弊社の対応範囲になりますか。書面でいただけますか。	現在の理解: クラスタ基盤（制御部分・ノード OS・OpenShift）= 貴社 / Keycloak の設定・データベース・アップグレード = 弊社（貴社サポート付き） / **弊社が自作する拡張部品（SPI）= 弊社責任**。この線引きで正しいか、また**自作部品が原因でない Keycloak 本体の障害**はサポート対象という理解でよいかを確認したいです。	ADR-056 §Decision（サポート責任分界）	顧客との契約に責任分担表を添付する必要があり、その根拠になる	顧客向けの責任分担表が書けない	ADR-056 §Decision
RH-A-05	A 契約・サポート	通常	サポートの受付時間帯と応答目標を教えてください。日本語での対応は可能ですか。	弊社はリリース時点で平日日中、6 か月後に 24 時間 365 日対応へ移行する計画です。**貴社側が 24 時間対応でないと、弊社が顧客へ 24 時間を約束できません**。	NFR-OPS-008 / ADR-040 §I	弊社の運用体制（Phase 1 α/β）の成立条件	24 時間対応の顧客契約が結べるか判断できない	ADR-040 §I
RH-A-06	A 契約・サポート	通常	現在のバージョン系列（26.0.x）の保守終了時期と、26.4.x への移行手順を教えてください。長期サポート版はありますか。	バージョンを固定して運用する方針のため、**いつまで使えるか**と**次の系列への移行にどれだけかかるか**を計画に織り込む必要があります。	旧Q9 / U2 §2.7.1 / E-5	バージョン固定方針（禁則 K-11）の前提	アップグレード計画が立たない	00a E-5
RH-A-07	A 契約・サポート	通常	データ保護に関する契約（DPA）で、保守にあたる方の所在地域を限定していただくことは可能ですか。	日本の個人情報保護法では、外国にある third party がデータを取り扱う場合に事前の本人同意等が必要です。**保守要員が地球を回るシフト制で常時特定できない**と理解しており、地域を限定できるか、できない場合に何を公表すべきかを確認したいです。	B-DPA-2 / G-DPA / D-U7-24	APPI 28 条対応。公表文書の文面が決まらない	**顧客向け公表文書が書けない**。法務確認も進まない	hearing B-DPA-2
RH-B-01	B RHBK本体・SPI	最優先	貴社ビルドの Keycloak（RHBK 26.4）で、コミュニティ版 26.x 向けに作った拡張部品はそのまま動きますか。	弊社は認証の振り分け・利用者の自動登録・イベント送出など **4 種類の拡張部品（SPI）**を自作します。検証はコミュニティ版 26.6 で実施済みですが、**貴社ビルドでの動作は未確認**です。特に `AuthenticationFlowContext` と `OrganizationProvider` の API 互換性を知りたいです。	G-SPI-Compat / ADR-056 残TBD③ / 00a A-2	**残ブロッカー 2 件のうちの 1 件**。動かなければ実装方式ごと見直し	**Phase 1 の実装に着手できない**	U2 §2.8.4
RH-B-02	B RHBK本体・SPI	最優先	自作の拡張部品を組み込んだコンテナイメージを使う運用は、サポート対象ですか。	Operator が提供する標準イメージに自作部品を追加した独自イメージで運用する想定です。**この形態がサポート対象から外れないか**を確認したいです。外れる場合、どこまでが対象かを教えてください。	ADR-055 §A.6/A.7 / G-SPI-Compat	サポート対象外だと商用サポートを付ける意味が薄れる	**ROSA + RHBK を選ぶ前提が崩れる**	ADR-055 §A.6
RH-B-03	B RHBK本体・SPI	通常	Operator の自動更新を止めて手動承認にする運用は推奨されますか。その場合、緊急の修正はどう配布されますか。	**1,000 社超の接続を抱えるため、検証なしの自動更新は受け入れられません**。手動承認に固定したうえで、重大な脆弱性が出たときの配布方法と推奨手順を知りたいです。	K-11 / U2 §2.7.1 / D-U8-04	バージョン固定方針の実現性	緊急パッチの適用手順が設計できない	U2 §2.7.1
