シート	対象	列	新しい値
テスト	IT-08	テスト観点	旧方式で情報を交換できる／渡した属性が相手側に反映される／相手側でユーザが自動作成される／ログアウトが相手側へ伝わる／Keycloak-Broker で止めたユーザが相手側で使えなくなる
テスト	ST-12	テスト観点	入社（登録）が反映される／異動（更新）が反映される／退職（削除通知）で消さずに止まる／再雇用（再開）が条件どおりに戻る／初回ログインで作られた人と重複したときの扱いが設計どおり／登録された経路の区分が正しく付く／顧客側と Keycloak-Broker の食い違いが検出できる
テスト	ST-25	テスト観点	Keycloak-Broker 経由で業務システムにログインできる／相手側にユーザが自動で作られる／業務システムから他のアプリを呼べる／Keycloak-Broker で止めた人が業務システムでも使えなくなる／相手側に既にいる人と重複しない
テスト	SEC-05	テスト観点	同じ元からの過大な要求が遮られる／外部に出さない経路が塞がれている／正規の利用が誤って止められない／遮った記録がKeycloak-Broker 側でも追える／🔴 WAF では代替できない範囲（特定のユーザへの連続失敗の締め出し・応答の同一化）の残存リスクの確認
基本設計	GD-09	概要	サーバー側で処理を受け持つ形式のアプリ向けの実装手順。Keycloak-Broker の推奨形式
基本設計	HB-F-AUTH-07	概要	顧客IdP経由で初めてログインした人を、その場で Keycloak-Broker のユーザとして作る
基本設計	HB-F-ADM-16	概要	顧客IdPを Keycloak-Broker へ接続するときに、何を受け取り、どの順で登録し、どこで疎通を確認するかを決める
基本設計	D-12	項目	証明書（顧客IdP の SAML 署名・Keycloak-Broker の SAML 署名・TLS）を止めずに入れ替える運用手順
基本設計	HB-F-AZ-07	概要	人ではなくシステムがKeycloak-Broker の入口を呼ぶときの資格を発行する。顧客の人事システムからの受信や、定期処理からの呼び出しで使う
基本設計	HB-F-INT-01	概要	業務システムに対して、Keycloak-Broker が認証の提供元として振る舞う
基本設計	HG-05	概要	記録に残す項目と保持年数を決める。置き場所は全体の共通基盤とし、参照は保管先で行う（Keycloak-Broker に照会画面は作らない）。管理操作の記録の置き場所（D-9.2）を含む
基本設計	HG-05	根拠の補足	全体の共通基盤へ出力して集約する。Keycloak-Broker 側に照会の仕組みは作らないため、出す形式と項目をここで確定させる必要がある
機能グループ一覧	フェデレーションログイン	概要	顧客が持つ認証システムに認証を委ね、その結果を受けてログインさせる。Keycloak-Broker の中核で、ユーザの大半がこの経路を通る
機能グループ一覧	ローカルログイン（Keycloak-IdP 収容）	概要	顧客側に認証システムが無い顧客のユーザと、基盤の運用者が、Keycloak-Broker に直接 ID とパスワードでログインする
機能グループ一覧	顧客IdP管理	概要	顧客IdPを Keycloak-Broker に接続し、設定と証明書を維持する
機能グループ一覧	業務システム連携（ServiceNow）	概要	ServiceNow などの業務システムへ Keycloak-Broker がログインを提供し、業務システム側にユーザを自動作成させる
機能名一覧	初回ログイン時のユーザ自動作成（JIT）	概要	顧客IdP経由で初めてログインした人を、その場で Keycloak-Broker のユーザとして作成する
機能名一覧	追加認証（生体・セキュリティキー）	概要	端末の生体認証やセキュリティキーを使った追加認証。Keycloak-Broker の推奨方式
機能名一覧	アプリの接続登録（クライアント登録）	概要	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方
機能名一覧	業務システムへの認証提供	概要	業務システムに対して、Keycloak-Broker が認証の提供元として振る舞う
要件マッピング	FR-FED-006	概要	Keycloak-Broker が旧方式（SAML）の提供元として、業務システムへログインを提供できること
要件マッピング	FR-FED-012	概要	顧客IdP 側で追加認証を済ませた人に、Keycloak-Broker で二重に追加認証を求めないこと
要件マッピング	FR-SSO-003	概要	アプリ側だけでログアウトできること（Keycloak-Broker の状態は保つ）
要件マッピング	FR-SSO-004	概要	Keycloak-Broker のログイン状態を破棄できること
要件マッピング	FR-SSO-005	概要	Keycloak-Broker のログアウトを顧客IdP 側にも連動させられること
要件マッピング	FR-AUTHZ-001	担当の理由	JWT を出すところまでが Keycloak-Broker。判断はアプリ
要件マッピング	FR-USER-002	担当の理由	属性の宣言と変換は Keycloak-Broker
要件マッピング	FR-USER-006	担当の理由	停止と再開は Keycloak-Broker。画面はアプリ
要件マッピング	FR-ADMIN-012	担当の理由	振り分けの識別子入力画面とエラー画面は Keycloak-Broker で作る
運用定常	OPY-02	作業	Keycloak-Broker の証明書の更新
