WBS ID	機能ID	機能グループ	機能名	アプリ移管	判断根拠	根拠の補足	構成前提	当初想定	概要	成果物と完了条件
HB-F-AUTH-01	F-AUTH-01	ローカル認証	ローカルログイン	基盤	認証の中核	顧客側に認証の仕組みが無い場合の受け皿で、IdP として成立させる前提	—（構成に依存しない）	当初あり	利用者 ID とパスワードで直接ログインする機能。顧客側に認証システムがないテナントの利用者と、基盤の運用担当者が使う	機能仕様書 1 本。パスワード桁数・履歴・初回変更の扱いと、失敗時に利用者へ返す内容が定義されレビュー承認済み
HB-F-AUTH-02	F-AUTH-02	接続先の振り分け	接続先の自動振り分け	基盤	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	規模 1000 万・接続先 1000 超（採用）	新規: 規模	ログイン画面で入力された ID から、その人がどの接続先（顧客の認証システム）の利用者かを判定し、自動で振り分ける。接続先の一覧を画面に出さずに済ませるための仕組み	機能仕様書 1 本。ID の書式から接続先を決める判定ルールと、判定できなかった場合の扱いが定義されレビュー承認済み
HB-F-AUTH-03	F-AUTH-03	接続先の振り分け	振り分け失敗時のパスワード入力への切替	基盤	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	—（構成に依存しない）	新規: 規模	接続先を判定できなかったときに、パスワード入力欄に切り替えて処理を続ける動き。どのテナントか分からない状態でも利用者を止めないための逃げ道	機能仕様書 1 本。切り替わる条件と、利用者に見せる案内文の方針が定義されレビュー承認済み
HB-F-AUTH-04	F-AUTH-04	接続先の振り分け	接続先の選択画面	基盤	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	—（構成に依存しない）	新規: 規模	1 つのテナントに接続先が複数ある場合に、利用者にどれを使うか選ばせる画面の動き	機能仕様書 1 本。選択肢の並び順の決め方と、そのテナント以外の接続先を見せない条件が定義されレビュー承認済み
HB-F-AUTH-05	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	—（構成に依存しない）	当初あり	顧客が持っている認証システムに認証を委ね、その結果を受け取ってログインさせる機能（標準的な連携方式）	機能仕様書 1 本。委譲時に渡す情報・受け取る情報と、拒否された場合の扱いが定義されレビュー承認済み
HB-F-AUTH-06	F-AUTH-06	フェデレーション	顧客認証システムへのログイン委譲（旧方式）	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	—（構成に依存しない）	当初あり	顧客が持っている認証システムのうち、旧来の方式で連携する場合のログイン機能	機能仕様書 1 本。旧方式特有の識別子の扱いと、標準方式との差分が定義されレビュー承認済み
HB-F-AUTH-07	F-AUTH-07	フェデレーション	初回ログイン時の利用者控え作成	基盤	認証の中核	委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	—（構成に依存しない）	当初あり	顧客の認証システムで認証された人が初めてログインしたとき、基盤側に利用者の控えを自動で作る機能	機能仕様書 1 本。控えを作る条件・作らない条件と、既存の人と重なった場合の扱いが定義されレビュー承認済み
HB-F-AUTH-08	F-AUTH-08	フェデレーション	ログイン後の属性取り込み	基盤	認証の中核	委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	—（構成に依存しない）	当初あり	初回登録の後に毎回通る処理。属性の取り込みや必須項目の確認を行う	機能仕様書 1 本。毎回上書きする項目と保護する項目の区別が定義されレビュー承認済み
HB-F-AUTH-09	F-AUTH-09	フェデレーション	内部2段構えの認証連携	基盤	利用者が 1 箇所になり不要	受付用と収容用が別の空間だったため、内部でもう一度ログインを委ねる必要があった。1 つに統合すると委ねる先が自分自身になり、この連携そのものが消える	認証製品を 2 つ持つ（不採用）	新規: 規模	基盤内部で 2 段構えになっている認証システム同士の連携。利用者から見えない内部のログイン委譲	機能仕様書 1 本。内部連携で渡す情報と、片方が停止した場合の見え方が定義されレビュー承認済み
HB-F-AUTH-10	F-AUTH-10	多要素認証	追加認証（数字コード）	基盤	製品機能	認証製品の機能として提供されるため、切り離して他所に持たせられない	—（構成に依存しない）	当初あり	スマートフォンアプリで生成する 6 桁の数字による追加認証	機能仕様書 1 本。桁ずれの許容範囲と、連続失敗時の扱いが定義されレビュー承認済み
HB-F-AUTH-11	F-AUTH-11	多要素認証	追加認証（生体・セキュリティキー）	基盤	製品機能	認証製品の機能として提供されるため、切り離して他所に持たせられない	—（構成に依存しない）	当初あり	端末の生体認証やセキュリティキーを使った追加認証。本基盤の推奨方式	機能仕様書 1 本。利用できる認証器の条件と、登録済み端末が使えない場合の代替経路が定義されレビュー承認済み
HB-F-AUTH-12	F-AUTH-12	多要素認証	追加認証の登録（数字コード）	基盤	製品機能	認証製品の機能として提供されるため、切り離して他所に持たせられない	—（構成に依存しない）	当初あり	スマートフォンアプリの追加認証を初めて登録する画面の流れ	機能仕様書 1 本。QR と手入力の両方を用意し、登録完了を確認してから有効化する手順が定義されレビュー承認済み
