Q番号	対応ID	章	宛先	優先度	項目名
Q01	NFR-SCL-001a	① 規模・可用性・災害対策	事業側	最優先	受け入れる利用者数の上限
Q02	NFR-SCL-001b	① 規模・可用性・災害対策	事業側	最優先	利用者数の増え方
Q03	NFR-AVL-001a	① 規模・可用性・災害対策	事業側	最優先	お約束する稼働率の数値
Q04	NFR-DR-001/002/006	① 規模・可用性・災害対策	事業側	最優先	災害時の復旧目標（2 つの場面に分けてお答えください）
Q05	NFR-DR-008	① 規模・可用性・災害対策	事業側 + アプリチーム	最優先	切り替え時にログイン状態を引き継ぐか
Q06	P-04	① 規模・可用性・災害対策	事業側	最優先	稼働率を契約でお約束するか
Q07	NFR-SCL-004	① 規模・可用性・災害対策	事業側	通常	新しいお客様企業をつなぐまでの日数
Q08	NFR-AVL-001b	① 規模・可用性・災害対策	事業側	通常	稼働率の測り方（責任の範囲）
Q09	NFR-AVL-002a	① 規模・可用性・災害対策	事業側 + アプリチーム	通常	計画停止の頻度と時間帯
Q10	NFR-DR-004	① 規模・可用性・災害対策	事業側	通常	バックアップの保存期間
Q11	NFR-DR-005	① 規模・可用性・災害対策	事業側	通常	どこまで細かく巻き戻せるか
Q12	NFR-DR-007	① 規模・可用性・災害対策	事業側 + アプリチーム	通常	復旧訓練の回数
Q13	NFR-AVL-002b	① 規模・可用性・災害対策	事業側 + アプリチーム	後回し可	計画停止の事前通知
Q14	FR-FED-001	② ログイン基盤連携・SSO	事業側	最優先	Auth0 を使っているお客様企業の数
Q15	FR-FED-002	② ログイン基盤連携・SSO	事業側	最優先	Entra ID（旧 Azure AD）を使っているお客様企業の数
Q16	FR-FED-003	② ログイン基盤連携・SSO	事業側	最優先	Okta を使っているお客様企業の数
Q17	FR-FED-004	② ログイン基盤連携・SSO	事業側	最優先	Google Workspace を使っているお客様企業の数
Q18	FR-FED-013a	② ログイン基盤連携・SSO	事業側	最優先	ログイン画面に接続先の一覧を出さない方式のご了承
Q19	FR-FED-013b	② ログイン基盤連携・SSO	事業側 + アプリチーム	最優先	利用者に入力していただく ID の形
Q20	P-14	② ログイン基盤連携・SSO	アプリチーム	最優先	新しく作るアプリの連携方式の統一
Q21	FR-FED-009a	② ログイン基盤連携・SSO	アプリチーム	通常	お客様から受け取る利用者情報のそろえ方
Q22	FR-FED-009b	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	お客様固有の追加項目を受け取る必要の有無
Q23	FR-FED-011	② ログイン基盤連携・SSO	事業側	通常	新しいお客様を接続する作業の実施主体
Q24	FR-FED-014a	② ログイン基盤連携・SSO	事業側	通常	ログイン画面の URL を全社共通にしてよいか
Q25	FR-FED-014b	② ログイン基盤連携・SSO	事業側	通常	ログイン画面のデザインを全社共通にしてよいか
Q26	FR-SSO-002	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	既にお客様側でログイン済みの利用者をそのまま通すか
Q27	FR-SSO-003a	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	ログアウトしたときにどこまで切るか
Q28	FR-SSO-003b	② ログイン基盤連携・SSO	アプリチーム	通常	サーバー側処理を持たない画面だけのアプリの有無
Q29	FR-SSO-004	② ログイン基盤連携・SSO	アプリチーム	通常	ログアウト後の戻り先 URL の扱い
Q30	FR-SSO-005	② ログイン基盤連携・SSO	事業側	通常	お客様企業のログイン基盤側まで一緒にログアウトさせるか
Q31	FR-AUTH-010	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	前に使ったパスワードの使い回し禁止
Q32	FR-AUTH-011a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	何回間違えたらロックするか
Q33	FR-AUTH-012	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	パスワードを定期的に変えさせるか
Q34	FR-AUTH-013a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	パスワードを忘れたときの再設定方法
Q35	FR-AUTH-013b	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	管理者がリセットするときの本人確認
Q36	FR-MFA-001	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	認証アプリの 6 桁コードを認めるか
Q37	FR-MFA-002	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	端末に保存する鍵を第一の手段にするか
Q38	FR-MFA-003	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	SMS で送る確認コードの要否
Q39	FR-MFA-004	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	メールで送る確認コードを使わない方針の確認
Q40	FR-MFA-005a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	予備コードを配るか
Q41	FR-MFA-008a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	一度確認した端末を覚える機能を使うか
Q42	FR-AUTH-011b	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	ロックをどう解除するか
Q43	FR-AUTH-014	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	最初に配ったパスワードの強制変更
Q44	FR-MFA-005b	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	予備コードを使い切ったときの再発行
Q45	FR-MFA-008b	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	確認を省略できる期間
Q68	B-MIG-1 / B-MIG-10	③ ログイン方法・パスワード・追加の本人確認	アプリチーム	最優先	旧システムからの移し替え時に、パスワードを変えずに済むか
Q46	NFR-COMP-002	④ 法令・運用体制・利用者番号	事業側	最優先	日本国外に住む利用者への対応
Q47	NFR-COMP-007b	④ 法令・運用体制・利用者番号	事業側	最優先	「7 年」という年数の根拠
Q48	NFR-OPS-008a	④ 法令・運用体制・利用者番号	事業側	最優先	障害対応の受付時間帯と、24 時間 365 日体制に移る時期
Q49	P-08b	④ 法令・運用体制・利用者番号	アプリチーム	最優先	各アプリ側が利用者を管理する番号の統一
Q50	G-DPA-a	④ 法令・運用体制・利用者番号	事業側	最優先	基盤ベンダーの保守要員が海外から関与することの可否
Q51	NFR-COMP-003	④ 法令・運用体制・利用者番号	事業側	通常	第三者による監査の証明書
Q52	NFR-COMP-005b	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	カード決済に関わるアプリを将来つなぐ見込み
Q53	NFR-COMP-006b	④ 法令・運用体制・利用者番号	事業側	通常	将来、認定暗号方式を求める顧客が現れる見込み
Q54	NFR-COMP-007a	④ 法令・運用体制・利用者番号	事業側	通常	記録（監査ログ）を残す期間
Q55	NFR-COMP-009a	④ 法令・運用体制・利用者番号	事業側	通常	本人からの開示・削除などの請求への対応要否
Q56	NFR-COMP-009b	④ 法令・運用体制・利用者番号	事業側	通常	「消してほしい」と「記録は残す」の境界
Q57	NFR-OPS-006a	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	緊急の脆弱性が見つかったときの修正期限
Q58	NFR-OPS-006b	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	緊急でない更新をまとめて当てる頻度
Q59	NFR-OPS-007a	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	設定変更の申請・承認の流れと所要日数
Q60	NFR-OPS-007b	④ 法令・運用体制・利用者番号	事業側	通常	緊急時に手順を飛ばして変更する場合の扱い
Q61	NFR-OPS-008b	④ 法令・運用体制・利用者番号	事業側	通常	基盤ベンダーの有償サポート契約の要否
