要件ID	種別	優先度	要件実現対象	構築場所	担当	担当の理由	項目	概要	① 基本設計	② 詳細設計	③ 製造	④ テスト	状況	Keycloak-IdP 側	縮小版
FR-INT-007-b	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	アプリ開発者向けガイドとサンプル実装・試用環境を本基盤が提供する	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	GD-16 GD-18	DDJ-05	MKJ-05	UAT-04	全工程あり	—	対象
FR-INT-008	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	全体の共通基盤へ出して集約する	監査ログ外部出力（CloudWatch / S3 / Kinesis）	監査の記録を外部へ出力できること	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	IT-09	全工程あり	—	一部
FR-INT-009	機能要件	Could	対象外	—	—	共通基盤側の範囲	監査ログ SIEM 連携（Splunk / Datadog）	監査の記録を分析製品へ連携できること					Phase 1 では作らない	—	対象外
FR-INT-010	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	Terraform / IaC 管理	構成をコードで管理できること	HA-16 HA-17	DDG-13	MKA-19	OP-11	全工程あり	—	対象
NFR-AVL-001	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	顧客IdP を持たない顧客のログインは Keycloak-IdP（アプリ運用）の稼働にも依存する。約束する稼働率の範囲と除外条件を HK-02 で明示する	サービス稼働率 SLA	顧客に約束する稼働率を定めて満たすこと	HK-02			OP-06	🔺 一部の工程のみ	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	一部
NFR-AVL-002	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	—	計画メンテナンス窓	計画的に止める時間の枠を定めること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	OP-10 SEC-09	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	一部
NFR-AVL-003	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	マルチ AZ 配置	複数の区画に分けて配置し、片方が落ちても動くこと	HJ-17 HJ-19	DDG-04	MKA-05 MKA-06 MKD-01	DR-03	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	対象
NFR-AVL-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	自動復旧（コンテナ障害）	部品が落ちたときに自動で立ち上がり直すこと	HJ-17 HJ-19	DDG-04	MKA-05 MKA-06 MKD-01	PT-03	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	対象
NFR-AVL-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	単一障害点の排除	1 か所が落ちると全部止まる箇所を無くすこと	HD-01 HD-04 HD-25 HJ-17 HJ-19	DDD-05 DDD-06 DDG-04	MKA-05 MKA-06 MKD-01	IT-14 PT-03 PT-04	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	対象
NFR-AVL-006	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	デプロイ時のダウンタイム	入れ替えのときにログインを止めないこと	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	OP-10 SEC-09	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	一部
NFR-PERF-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	—	認証応答時間（P50 / P95 / P99）	ログインの応答時間が目標に収まること	HA-21	DDA-02	MKA-09	PT-05	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	対象外
NFR-PERF-002	非機能要件	TBD	対象	Keycloak-Broker	インフラ（本基盤）	—	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	E-4a E-4d E-4e HA-21	DDA-02 DDA-03	MKA-09 MKB-28	PT-01	全工程あり	アプリ（Keycloak-IdP 側でも同じ要件を満たす。本基盤は ROSA の引き渡しまで）	対象外
NFR-PERF-003-a	非機能要件	推奨値あり	対象	その他	アプリ（業務アプリ）	業務アプリ側の実装。本基盤はガイドとサンプルで示す	API 入口での JWT 検証の応答時間（アプリ側）（アプリの実装）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提					アプリ側で実施	—	対象外
NFR-PERF-003-b	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ（本基盤）	アプリ開発者向けガイドとサンプル実装・試用環境を本基盤が提供する	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	GD-16 GD-18	DDJ-05	MKJ-05	UAT-04	全工程あり	—	対象
