ID	仕分け	対応する既存Q	理由・内容
A-2	A 既存Qと重複	Q02	利用者数の増え方（開始時/1年後/3年後）を聞いており A-2「3年後の想定」を包含
A-4	A 既存Qと重複	Q46	「日本国外に住む利用者の有無」が A-4「拠点の地理分布」の実質的な確認
P-05	A 既存Qと重複	Q04	災害時の復旧目標を 2 場面 3 択で聞いており P-05 の RTO/RPO そのもの
FR-USER-010	A 既存Qと重複	Q35	残論点は B-IDM-6「リセット依頼者の本人確認」で、Q35 がそのもの
B-DPA-2	A 既存Qと重複	Q50	「保守要員が海外から関与することの可否」= 地理制限の契約保証と同一論点
NFR-OPS-011	A 既存Qと重複	Q07	「新しいお客様企業をつなぐまでの日数」がテナント追加の運用 SLA そのもの
FR-ADMIN-012	A 既存Qと重複	Q25	「ログイン画面のデザインを全社共通にしてよいか」がカスタマイズ可否と同一
FR-ADMIN-011	A 既存Qと重複	—	B-TAP-1（管理画面の必要性 🔴）と同一論点。B-TAP-1 側に設問を作れば足りる
A-7	B 既存Qへ追記	Q07	Q07 は「つなぐまでの日数」だが A-7 は「月平均何社追加するか」。**頻度は未確認**なので Q07 に小問を足す
FR-FED-005	B 既存Qへ追記	Q14〜Q17	製品名は聞いているが「SAML か OIDC か」を聞いていない。4 問に接続方式の小問を足す
NFR-SCL-003	B 既存Qへ追記	Q14〜Q17	接続する顧客企業の総数。製品別社数の合計として回収できるが、明示の設問が無い
FR-FED-008	B 既存Qへ追記	—	FR-FED-008 自体は確定。残論点は **B-401-2（新規作成時の初期権限）** で、そちらに設問が必要
FR-ADMIN-008	C 新規設問が必要	—	設定変更履歴を顧客に開示するか。開示するなら粒度と保持期間
FR-ADMIN-010	C 新規設問が必要	—	管理者ロールの細分化（誰がどこまで操作できるか）。ADR-038 の 3 層スコープの確認
NFR-PERF-006	C 新規設問が必要	—	顧客別・全体の流量上限をいくつにするか。B-TENANT-ISO-1 と一体で聞ける
B-TENANT-ISO-1	C 新規設問が必要	—	顧客ごとのレート制限の既定値と、大口・規制対象顧客を別領域へ分ける基準
NFR-SEC-010-2	C 新規設問が必要	—	漏えい済みパスワードの照合（HIBP 相当）を導入するか。外部サービス利用の可否
NFR-SEC-013	C 新規設問が必要	—	疑似攻撃検査の頻度・範囲・実施主体。**説明資料の未確定事項 #6 に該当**
B-GD-1	C 新規設問が必要	—	顧客側 ID 基盤の署名鍵入れ替えの事前通知体制。1000 社規模の運用前提
B-KMS-3	C 新規設問が必要	—	顧客ごとに専用の暗号鍵を用意する必要があるか（規制業種の要求）
B-AUTHZLOG-1	C 新規設問が必要	—	監査人が求める認可証跡の粒度と保持期間。方式は D-U9-20 で決定済み、残は顧客要求
NFR-OPS-009	C 新規設問が必要	—	運用工数（人月）の想定。ADR-040 の 10 名体制と突合
B-401-2	C 新規設問が必要	—	**新規 ID**。新規作成時の初期権限（最小権限か基本ロール付与か）。FR-FED-008 の残論点
NFR-SEC-020	D 顧客ヒアリング不要	—	セッション固定攻撃対策は実装の既定値。顧客が選ぶ性質ではない → 説明資料側で「対策済み」と示せば足りる
NFR-OPS-010	D 顧客ヒアリング不要	—	デプロイ自動化（CI/CD）は社内の実装方式。D-U9-12 で決定済み → 社内判断へ
FR-ADMIN-007	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SCL-002	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-003	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-004	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-005	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-006	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
