ID	状況	決定内容・残論点	次のアクション	対応区分
FR-AUTH-006	検討中	画面のない機器・CLI 向けログイン方式（Device Code Flow）。製品としては対応可（P-01 Keycloak、00 計画 §141「Keycloak 必須化 6 条件は P-01 で吸収済み」）。ただし Phase 1 で実際に有効にするかのスコープ決定が設計書に無い。要件表は TBD のまま	対象となるアプリ（テレビ・機器・コマンド操作）の有無を確認し、Phase 1 で有効化するか否かを U5 に起票する	個別対応
FR-AUTH-007	方向性確定（条件付き）	アプリの本人確認方式。決定 D-U7-10b により Phase 1 = 合言葉方式（client_secret_post）+ Secrets Manager 90 日自動ローテ + 2 世代並走、電子署名方式（private_key_jwt）= Phase 2 に一括昇格、証明書方式（mTLS）= Phase 3 条件付き。切替判定は B-FAPI-1 の回答	B-FAPI-1 の回答を待つ。回答が「当面不要」なら Phase 3 のまま据え置きで確定できる	個別対応
FR-SSO-001	確定	同じ発行元の中で複数アプリを 1 回のログインで使える。U2 §2.1 で Broker KC = 単一 Realm broker + Organizations と決定済み。Realm 内の Client 間 SSO は製品標準で成立し、PoC Phase 1/7 で実証済み	なし（確定）。要件表に基本設計の参照（U2 §2.1）を追記するのみ	個別対応
B-TENANT-ISO-1	方向性確定（条件付き）	お客様企業どうしの相互影響の遮断。決定 D-U6-14（U6 §6.6.3）で ①ログイン・通行証発行にお客様企業別の流量上限を設ける ②tenant_id の一貫強制 ③Realm 分離へ移る条件 を明文化済み。単一 Realm は論理的な分離であり資源・障害の自動分離を伴わないことを前提に「契約として明記する」方針	契約文言の確定（顧客合意）。設計側の追加作業はない	個別対応
FR-USER-006	確定	利用者の有効化・無効化。実体は U3 の Soft Delete（enabled=false）と U10 §10.x の削除連鎖（L1 側 Soft Delete → SAML 認証拒否で L2 も遮断、sys_user は残置）で決定済み。※要件 ID での明示紐付けが設計書側に無い	要件表 → 基本設計の参照リンク（U3 Soft Delete / U10 削除連鎖）を追記する	個別対応
FR-ADMIN-009	確定	お客様企業ごとの設定分離。U2 §2.1（単一 Realm + Organizations）+ tenant_id クレーム（通行証に載せる所属企業の識別値）（U2 §2.6）+ D-U6-14（隔離契約）で決定済み。方式は ADR-017 の L2（単一 Pool/Realm + 複数 IdP）	なし（確定）。要件表に参照を追記するのみ	個別対応
FR-INT-002	確定	接続情報の自動配布（OIDC Discovery）。決定 D-U5-15（U5 §5.6.3b）で案内するパス形式を規約化済み。正は OIDC 形式（issuer にパスを追記）。別形式（RFC 8414 = パス挿入）の提供有無は実機確認（00a A-11）	A-11 の実機確認結果を D-U5-15 に反映する	個別対応
FR-INT-003	確定	署名鍵の公開先（JWKS）。決定 D-U5-15 で ①JWKS は必須（アプリ形態によらず、検証する側が必要）②jwks_uri は必ず自動配布情報から解決しハードコードさせない ③API Gateway の標準検証機能を使う限り公開到達性が必須（IP 制限で絞れない）を確定	なし（確定）	個別対応
FR-INT-004	検討中	SAML の接続情報。受信側（お客様 IdP の情報取り込み・自動更新）は A-9 の実機確認待ちで、機能が存在しない場合は運用代替（D-12）が必要。発行側（ServiceNow 向け）は U10 の CL-SN-01 で決定済み。要件の重要度は Should	A-9（2 人日）を実施し、結果を D-12 に反映する	個別対応
FR-INT-010	確定	設定をコードで管理する（IaC）。決定 D-U9-12（CI=GitHub Actions / CD=OpenShift GitOps / Registry=ECR / Secret=ESO）+ 禁則 K-5（管理画面からの直接変更禁止）+ 禁則 K-9（1 つの Terraform 管理単位に 1000 件規模を置かない）で確定	なし（確定）	個別対応
NFR-PERF-004	確定	通行証の検証性能。U9 §9.2.1 の注記で「検証はアプリ側で基盤に問い合わせずに完結するため、基盤の処理能力の律速ではない」と整理済み。基盤側の関連目標は JWKS の可用性 99.99% / 応答 100ms 未満（D-U9-04）	なし（確定）。要件表の「>1,000 req/s」は基盤負荷ではなくアプリ側の指標である旨を注記する	個別対応
NFR-PERF-005	確定	署名鍵情報の保持時間。決定 D-U5-15 + D-U7-03 で「既定 1 時間 + 鍵識別子が一致しないときは即時再取得」をセットで必須化。不変条件として「鍵の並走期間 > 全検証者の最大保持時間」を明示。保持時間を自分で制御できない検証者（API Gateway 標準機能 = AWS 側が最大 2 時間保持）を含めて満たす必要がある	なし（確定）。要件表の「1 時間（Lambda 内）」を上記の不変条件つき記述に差し替える	個別対応
NFR-PERF-008	検討中	データベース応答時間。D-U9-04 の内部目標表にデータベース単体の行が無い（ログイン / 通行証発行 / 管理 / JWKS / 管理画面 / 権限確認 の 6 行のみ）。要件表の P95 < 50ms を独立目標として残すか、通行証発行の p99 < 200ms に内包するかが未決	U9 で「データベース応答を独立した測定対象にするか」を判断し、D-U9-04 の表に行を足すか要件を取り下げるかを決める	個別対応
