親 ID	WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態	人日
E-4	E-4a	本番設定: 同時受付数の上限	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手	1
E-4	E-4b	本番設定: 外部に出さないパスの遮断表	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手	1
E-4	E-4c	本番設定: クラスタ内通信の暗号化と 30 日入替	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手	1
E-4	E-4d	本番設定: クラスタ内のノード発見方式	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手	1
E-4	E-4e	本番設定: ログイン状態の永続化の確認	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手	1
HC-01	HC-01a	画面（認証製品内）：画面一覧・画面 ID 体系（12 画面）	設計書の執筆	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	対象	当初あり	システム全体でどんな画面があるかを一覧にし、番号を付ける	画面一覧。約 32 画面に番号が付き、重複や抜けがない	未着手	1
HC-01	HC-01b	画面（管理画面）：画面一覧・画面 ID 体系（20 画面）	設計書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	対象	当初あり	システム全体でどんな画面があるかを一覧にし、番号を付ける	画面一覧。約 32 画面に番号が付き、重複や抜けがない	未着手	1
HC-05a	HC-05a-1	画面（管理画面）：顧客一覧	設計書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み	未着手	0.5
HC-05a	HC-05a-2	画面（管理画面）：顧客の登録・設定	設計書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み	未着手	0.5
HC-05a	HC-05a-3	画面（管理画面）：接続先一覧	設計書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み	未着手	0.5
HC-05a	HC-05a-4	画面（管理画面）：接続先の登録	設計書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み	未着手	0.5
HC-05a	HC-05a-5	画面（管理画面）：接続先の設定・証明書更新	設計書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み	未着手	0.5
