シート	ID	種別	列	旧	新
WBS(詳細設計_製造)	MKA-12	変更	項目	データ複製の設定	控えの別地域への複製の設定
WBS(詳細設計_製造)	MKA-12	変更	概要・完了定義	本番のデータが切替先へ複製され、遅れが監視できる	本番の控え（スナップショット）が切替先の地域へ複製され、遅れが監視できる
WBS(詳細設計_製造)	MKA-13	変更	項目	切替と切り戻しの自動化	再構築手順のコード化（切替と切り戻し）
WBS(詳細設計_製造)	MKA-13	変更	概要・完了定義	手順が自動で流れ、戻すこともできる	作り直しの手順がコードから流れ、戻すこともできる
要件マッピング	FR-FED-001	変更	担当の理由	Auth0 は PoC の代替。Phase 1 の契約対象 IdP かは要確認（Entra が Must、Okta が Should、Google が Could）	Auth0 も Phase 1 の対象（2026-09-07 決定）。PoC で使った接続を実機突合（RI-02）に流用する
要件マッピング	FR-USER-013	変更	担当の理由	顧客IdP 経由で自動作成したユーザだけが対象。Keycloak-IdP 収容ユーザはアプリ側の判断。要否は B-JIT-LC-1 で最終確認	対象で計上（2026-09-07 決定）。顧客IdP 経由で自動作成したユーザだけが対象で、Keycloak-IdP 収容ユーザはアプリ側の判断
要件マッピング	FR-AUTH-009	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-AUTH-010	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-AUTH-011	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-AUTH-012	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-AUTH-013	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-AUTH-014	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-MFA-001	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-MFA-002	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-MFA-005	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-MFA-007	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-MFA-009	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-USER-004	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-USER-010	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	NFR-SEC-009	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	NFR-SEC-010-2	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	NFR-MIG-001	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	NFR-MIG-002	変更	担当	アプリ	アプリ（Keycloak-IdP）
要件マッピング	FR-AUTHZ-003	変更	担当	アプリ	アプリ（業務アプリ）
要件マッピング	FR-AUTHZ-009	変更	担当	アプリ	アプリ（業務アプリ）
要件マッピング	FR-AUTHZ-010	変更	担当	アプリ	アプリ（業務アプリ）
要件マッピング	FR-AUTHZ-004	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-USER-005	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-USER-008	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-USER-009	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-USER-012	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-ADMIN-001	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-ADMIN-005	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-ADMIN-006	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-ADMIN-010	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-ADMIN-011	変更	担当	アプリ	アプリ（管理画面・idm-api）
要件マッピング	FR-AUTH-002	変更	担当	インフラ	インフラ（本基盤）
