種別	対象 ID	列	新しい値	理由
機能ID	HA-05	機能ID	NF-ARC-02	機能名「ネットワーク構成」と機能ID「NF-ARC-01（全体構成）」が食い違っている。項目は物理構成図なので、下の案 A か案 B のどちらかで揃える
機能名	HA-05	機能名	全体構成（論理・物理）	【案 A・推奨】項目が「全体構成図（物理）」なので機能名を合わせる。この場合 機能ID は NF-ARC-01 のまま。ネットワーク構成には G-4.2 だけが残る
並び	G-1.4	（行の移動）	G-1.3 の直後へ移動	同じ機能名「運用手順書」が離れた 2 箇所にあり、機能ごとのまとまりが崩れている
状態	HI-03	状態	未着手	空欄
状態	HI-04	状態	未着手	空欄
状態	HI-05	状態	未着手	空欄
状態	HI-06	状態	未着手	空欄
状態	HI-07	状態	未着手	空欄
状態	HI-08	状態	未着手	空欄
状態	HK-03	状態	未着手	「廃止（→ H-Lへ全面展開）」のまま残っている。現在は対象行なので未着手に直す
依存	HB-F-AUTH-05	依存	—	参照先 HB-01 / HB-08 が削除済みで参照切れ
依存	HB-F-AUTH-06	依存	—	同上
依存	HB-F-AUTH-01	依存	—	同上
依存	HB-F-AUTH-10	依存	—	同上
依存	HB-F-AUTH-12	依存	—	同上
依存	HB-F-BAT-04	依存	—	同上
依存	HB-F-BAT-05	依存	—	同上
依存	HB-F-BAT-07	依存	—	同上
依存	HJ-02a	依存	—	参照先 A-2 が削除済み
依存	HJ-10a	依存	—	参照先 A-1 が削除済み
依存	HJ-10b	依存	—	参照先 A-1 が削除済み
依存	D-11	依存	—	参照先 A-5 が削除済み
依存	D-12	依存	—	参照先 A-9 が削除済み
依存	（残りの参照切れ行すべて）	依存	—	D-19 / D-U9-21 / F-4 / C-10 / A-15 / F-3 / E-1 / A-11 / 22 / 23 / 02 / HJ-03〜05 / HA〜HK / HE-04〜08 を指す行。参照先が削除済み、または ID の書式が壊れている
概要	HG-08	概要	想定される攻撃の経路を洗い出し、それぞれの対策を対応づける。ログイン口への総当たり・過大な流量への対策は WAF 側で行う前提とし、本基盤側で実装しない範囲をここで明示する	ログイン口の対策を WAF に委ねる判断が、どこにも書かれていない
概要	G-4.2	概要	ネットワークの区画・経路・通信の許可範囲を図にする。使用する IP アドレス範囲は確定済みの値を用いる	IP アドレス範囲が確定済みという前提を残す
