対象	機能ID	機能グループ	機能名	提供する API（機能の粒度）	エンドポイント	呼ぶ主体	区分	コスト	備考
Broker	F-AUTH-05	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	接続情報の公開	GET /realms/{r}/.well-known/openid-configuration	アプリ（M2M）	✅ 標準	標準内	アプリはこの 1 本から他の入口を自動取得できる。手で URL を配らない
Broker	F-AUTH-05	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	ログイン開始（認可）	GET /realms/{r}/protocol/openid-connect/auth	ブラウザ（画面遷移）	✅ 標準	標準内	認可コード + PKCE。顧客IdP への振り分けはこの先で Keycloak が行う
Broker	F-AUTH-05	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	JWT の取得・更新	POST /realms/{r}/protocol/openid-connect/token	アプリ（M2M）	✅ 標準	標準内	認可コード交換 / リフレッシュ / システム間の 3 用途が同じ入口
Broker	F-AUTH-05	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	ユーザ情報の取得	GET /realms/{r}/protocol/openid-connect/userinfo	エンドユーザ本人	✅ 標準	標準内	JWT に載せない属性をここで補う。JWT を軽くしたいときの受け皿
Broker	F-AUTH-05	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	署名鍵の公開	GET /realms/{r}/protocol/openid-connect/certs	アプリ（M2M）	✅ 標準	標準内	アプリ側の JWT 検証に必須。鍵の入れ替えに自動追随する前提
Broker	F-AUTH-06	フェデレーションログイン	顧客IdPへのログイン委譲（SAML）	SAML の接続情報	GET /realms/{r}/protocol/saml/descriptor	アプリ（M2M）	✅ 標準	標準内	顧客IdP・業務システムとの交換用
Broker	F-AUTH-06	フェデレーションログイン	顧客IdPへのログイン委譲（SAML）	SAML の送受信	POST/GET /realms/{r}/protocol/saml	ブラウザ（画面遷移）	✅ 標準	標準内	受け入れ（SP）と提供（IdP）の両方が同じ入口
Broker	F-AZ-07	JWT の発行・交換	システム間 JWT の発行	システム間 JWT の発行	POST /realms/{r}/protocol/openid-connect/token（client_credentials）	アプリ（M2M）	✅ 標準	標準内	アプリ・バッチが API を呼ぶための資格。スコープで範囲を絞る
Broker	F-AZ-08	JWT の発行・交換	JWT の交換	JWT の交換	POST /realms/{r}/protocol/openid-connect/token（token-exchange）	アプリ（M2M）	✅ 標準	標準内	Phase 1 対象外（FR-AUTH-005）。必要になったら設定で有効化
Broker	F-AZ-10	認可・権限判定	JWT に載せる項目の定義	JWT に載せる項目	（API なし）Protocol Mapper / Client Scope の設定	アプリ（M2M）	⚙ 設定のみ	標準内	載せる項目はアプリごとにスコープで出し分ける。設計は必要だがアプリが呼ぶ API は無い
Broker	F-AUTH-23	セッション・ログアウト	ログイン状態の保持とタイムアウト	ログイン状態の保持	POST /realms/{r}/protocol/openid-connect/token（refresh_token）	アプリ（M2M）	✅ 標準	標準内	有効期間は Realm 設定。上限 12 時間（2026-09-07 決定）
Broker	F-AUTH-24	セッション・ログアウト	アプリへのログアウト連携	ログアウト	GET/POST /realms/{r}/protocol/openid-connect/logout	ブラウザ（画面遷移）	✅ 標準	標準内	本人のログイン状態を破棄。顧客IdP 側への連鎖は IdP ごとの設定
Broker	F-AUTH-24	セッション・ログアウト	アプリへのログアウト連携	他アプリへのログアウト通知	（Keycloak → アプリ）Back-Channel Logout	アプリ（M2M）	✅ 標準	標準内	**アプリ側が受信の入口を作る**。Keycloak が呼びに行く向きなので、提供 API ではなくアプリへの実装要求
Broker	F-AZ-10	認可・権限判定	JWT に載せる項目の定義	JWT の失効	POST /realms/{r}/protocol/openid-connect/revoke	アプリ（M2M）	⚠ 標準（制約）	標準内	リフレッシュトークンは即時に効く。アクセストークンは署名だけで検証するアプリには最大 30 分残る（FR-SSO-009）
Broker	F-AZ-10	認可・権限判定	JWT に載せる項目の定義	JWT の有効性照会	POST /realms/{r}/protocol/openid-connect/token/introspect	アプリ（M2M）	✅ 標準	標準内	失効を即座に反映したい重要な操作で使う。毎回呼ぶと Keycloak の負荷になる
Broker	F-ADM-16	顧客IdP管理	顧客IdPの接続登録	顧客IdP の登録	POST /admin/realms/{r}/identity-provider/instances	管理画面	⚠ 標準（制約）	標準内	標準にある。ただし Admin API は Realm 全体に効くため、そのままアプリへは渡せない（後述の権限の絞り込みが前提）
Broker	F-ADM-17	顧客IdP管理	接続設定の変更・証明書更新	顧客IdP の変更・証明書更新	PUT /admin/realms/{r}/identity-provider/instances/{alias}	管理画面	⚠ 標準（制約）	標準内	同上
Broker	F-ADM-16	顧客IdP管理	顧客IdPの接続登録	顧客IdP の接続情報の取り込み	POST /admin/realms/{r}/identity-provider/import-config	管理画面	✅ 標準	標準内	相手の接続情報（メタデータ URL）から設定値を起こす
Broker	F-INT-11	顧客IdP管理	接続情報の自動追随	接続情報の自動追随	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	定期的に取り込み直す仕組みは標準に無い。Admin API を叩くバッチを作る
Broker	F-ADM-14	顧客・組織管理	顧客の作成	顧客の作成	POST /admin/realms/{r}/organizations	管理画面	⚠ 標準（制約）	標準内	Keycloak 26 の Organizations を顧客の単位に使う
Broker	F-ADM-15	顧客・組織管理	顧客設定の編集	顧客設定の編集	PUT /admin/realms/{r}/organizations/{id}	管理画面	⚠ 標準（制約）	標準内	ドメイン・表示名など
Broker	F-ADM-23	顧客・組織管理	顧客の解約	顧客の解約	DELETE /admin/realms/{r}/organizations/{id}	管理画面	⚠ 標準（制約）	標準内	所属ユーザの扱いは別途の手順が要る（消さずに止める方針）
Broker	F-ADM-16	顧客IdP管理	顧客IdPの接続登録	顧客と顧客IdP の紐付け	POST /admin/realms/{r}/organizations/{id}/identity-providers	管理画面	⚠ 標準（制約）	標準内	顧客ごとに使える顧客IdP を限定する。越境防止の土台
Broker	F-ADM-01	ユーザ管理（管理画面・API）	ユーザの検索・一覧	ユーザの検索・一覧	GET /admin/realms/{r}/users	管理画面	⚠ 標準（制約）	標準内	標準にある。件数の区切りと検索条件も標準
Broker	F-ADM-02	ユーザ管理（管理画面・API）	ユーザの詳細参照	ユーザの詳細参照	GET /admin/realms/{r}/users/{id}	管理画面	⚠ 標準（制約）	標準内	
Broker	F-ADM-03	ユーザ管理（管理画面・API）	ユーザの登録	ユーザの登録	POST /admin/realms/{r}/users	管理画面	⚠ 標準（制約）	標準内	
Broker	F-ADM-04	ユーザ管理（管理画面・API）	ユーザの変更	ユーザの変更	PUT /admin/realms/{r}/users/{id}	管理画面	⚠ 標準（制約）	標準内	属性の追加は User Profile で宣言した項目のみ
Broker	F-ADM-05	ユーザ管理（管理画面・API）	ユーザの利用可否の切替	ユーザの利用可否の切替	PUT /admin/realms/{r}/users/{id}（enabled）	管理画面	⚠ 標準（制約）	標準内	停止・再開はこの 1 本
Broker	F-PROV-10	ユーザの停止・再開・消去	ユーザの停止（消さずに無効化）	ユーザの停止	PUT /admin/realms/{r}/users/{id}（enabled=false）	バッチ・システム	⚠ 標準（制約）	標準内	停止日時の記録は属性で持つ（標準の項目に無いため User Profile で宣言）
Broker	F-PROV-11	ユーザの停止・再開・消去	停止済みユーザの再開	停止済みユーザの再開	PUT /admin/realms/{r}/users/{id}（enabled=true）	バッチ・システム	⚠ 標準（制約）	標準内	誤って戻さない条件の判定は呼ぶ側の責任
Broker	F-ADM-06	ユーザ管理（管理画面・API）	ユーザの削除	ユーザの削除	DELETE /admin/realms/{r}/users/{id}	管理画面	⚠ 標準（制約）	標準内	Phase 1 は消さずに止める方針のため通常は使わない
Broker	F-ADM-10	セッション・ログアウト	強制ログアウト（管理者）	強制ログアウト（1 人）	POST /admin/realms/{r}/users/{id}/logout	管理画面	⚠ 標準（制約）	標準内	
Broker	F-ADM-10	セッション・ログアウト	強制ログアウト（管理者）	強制ログアウト（全員）	POST /admin/realms/{r}/logout-all	管理画面	⚠ 標準（制約）	標準内	事故対応用。顧客単位の一括は標準に無く、対象を絞って繰り返す
Broker	F-ADM-01	ユーザ管理（管理画面・API）	ユーザの検索・一覧	ログイン状態の一覧	GET /admin/realms/{r}/users/{id}/sessions	管理画面	⚠ 標準（制約）	標準内	
