WBS ID	列	新しい値
HB-F-PROV-09	概要	その利用者がどの経路で登録されたかを区別し、後の自動処理の対象を判断できるようにする仕組み。登録経路（JIT / SCIM / 管理画面 / アプリ API / 運用者 / 移行）の区別であり、OIDC / SAML の区別ではない（それは IdP 接続の属性）
HB-F-BAT-01	概要	長期間ログインのない利用者を自動で使えない状態にする定期処理。1 本のバッチで、SCIM 管理下の利用者は除外条件で外す（顧客 IdP が正なので基盤側で勝手に止めない）
HB-F-AUTH-07	概要	顧客の認証システムで認証された人が初めてログインしたとき、基盤側に利用者の控えを自動で作る機能。認証製品の初回ログイン処理と、その結果として利用者を作るポリシー（属性・重複時の扱い）を 1 冊で書く
HB-F-AUTH-02	概要	ログイン画面で入力された ID から、その人がどの接続先（顧客の認証システム）の利用者かを判定し、自動で振り分ける。接続先の一覧を画面に出さずに済ませるための仕組み。判定できないときのパスワード入力への切替（フォールバック）を含む
HD-25	概要	検索を速くするための索引と、大きな表の分割方法を決める。Aurora のパラメータ・接続プール方針・認証製品の標準表の索引方針を含む
HF-01	概要	定期的に自動実行する処理が全部でいくつあり、それぞれ何のために動くのかを一覧にする。基盤が持つバッチは 6 本（90 日休眠 / 整合突合 / JWT 署名鍵ローテ / client_secret ローテ / 証明書期限監視 / 物理削除）
HE-14	概要	標準方式の認証連携で、やり取りする情報の仕様。内訳: 認可エンドポイント / トークンエンドポイント / クレーム / ログアウト
HE-15	概要	旧方式の認証連携で、やり取りする情報の仕様。内訳: メタデータ / Assertion / シングルログアウト
HE-16	概要	業務システムとの接続仕様。内訳: SSO / JIT 属性 / ログアウト
HE-13	概要	アプリへ変更を通知する仕組みの仕様。内訳: イベント 7 種と本文 / 署名（HMAC）/ 再送と順序
HE-09	概要	顧客システムから利用者情報を受け取る接続の仕様。認証製品の標準 SCIM 受信は使わず（成熟度不足）、受信窓口は自作またはプラグインの方針
HB-F-PROV-03	概要	顧客の人事システムなどから利用者の新規登録を受け取る機能。受信窓口は自作またはプラグインの方針（認証製品の標準 SCIM 受信は使わない）
A-6.1	概要	実際の顧客認証システム 1 社と接続し、受け取る情報が想定どおりかを確かめる。仮の IdP を用意して実施
A-6.2	概要	もう 1 社と接続し、差分を確かめる。旧方式での接続もあわせて確認する。仮の IdP を用意して実施
A-6.3	概要	実際の顧客認証システム経由で拡張機能が動き、多要素認証の実施記録が正しく載るかを確かめる。仮の IdP を用意して実施
A-6.4	概要	確認で見つかった差を、属性の対応づけと振り分けの設計へ反映する。仮の IdP を用意して実施
D-5	概要	アカウントをまたぐイベントの受け渡しで、呼び出す側にどの権限を持たせるかを決める。例: 管理 API（Lambda）→ 認証製品の管理用の口、バッチ → 管理 API。アカウント越境の配送が対象外になったので範囲は縮小
HC-07	概要	身体的な制約がある人でも使えるようにするための設計基準。認証製品内の 12 画面分は基盤が対応する
D-16.2	概要	利用者を止めたときに業務システム側でも使えなくなる連鎖の仕組みを決める。ADR-023 では「ServiceNow 側の利用者は残したまま認証で遮断」と決めているが、顧客要件としては未確認
HB-F-ADM-19	概要	付与済みの権限が今も妥当かを定期的に確認させる機能。定期起動（旧 BAT-08）を含む
HD-22	概要	どの機能がどの表を作成・参照・更新・削除するかの対応表を作る。対象は権限 DB と認証製品の利用者属性（認証製品の標準表は触らない）
