区分	ID	作業	内容	頻度	1 回の工数（時間）	初年度 回数	初年度 人日	定常 回数	定常 人日	担当
日次	OPD-01	監視の確認と一次対応	通知された内容を確認し、一次対応するか担当へ引き継ぐ	毎営業日	0.5	250	15.62	250	15.62	基盤チーム
日次	OPD-02	定期処理の結果確認	前夜に動いた定期処理が正常に終わったかを確認する	毎営業日	0.25	250	7.81	250	7.81	基盤チーム
週次	OPW-01	通知の見直し	誤検知や取りこぼしを見て、閾値と宛先を調整する	週 1 回	1	50	6.25	50	6.25	基盤チーム
週次	OPW-02	変更の確認	申請された設定変更を確認し、適用の可否を判断する	週 1 回	1	50	6.25	50	6.25	基盤チーム
週次	OPW-03	脆弱性情報の確認	認証製品と使っている部品の脆弱性情報を確認し、対応要否を判断する	週 1 回	1	50	6.25	50	6.25	基盤チーム
月次	OPM-01	サービスレベルの集計と報告	稼働率と応答時間を集計し、顧客向けの報告を作る	月 1 回	4	12	6.00	12	6.00	基盤チーム
月次	OPM-02	使用量の確認と増強判断	利用者数・接続先数・データ量の伸びを見て、増強の要否を判断する	月 1 回	2	12	3.00	12	3.00	基盤チーム
月次	OPM-03	控えの取得確認と抜き取り復元	控えが取れていることを確認し、抜き取りで復元できることを確かめる	月 1 回	4	12	6.00	12	6.00	基盤チーム
月次	OPM-04	運用者アカウントの棚卸し	運用に使うアカウントと権限を確認し、不要なものを止める	月 1 回	2	12	3.00	12	3.00	基盤チーム
月次	OPM-05	費用の確認	想定と実績の差を確認し、増えている要因を調べる	月 1 回	2	12	3.00	12	3.00	基盤チーム
月次	OPM-06	記録の保全確認	監査ログが共通基盤に欠けずに貯まっていることを確認する	月 1 回	2	12	3.00	12	3.00	基盤チーム
四半期	OPQ-01	手順書の見直し	実施した作業をもとに手順書を直す	四半期 1 回	8	4	4.00	4	4.00	基盤チーム
四半期	OPQ-02	障害と問題のふりかえり	発生した障害を振り返り、再発防止を決めて追跡する	四半期 1 回	4	4	2.00	4	2.00	基盤チーム
四半期	OPQ-03	接続用パスワードの入れ替え確認	自動で入れ替わったことを確認し、アプリ側の追随を確かめる	四半期 1 回	4	4	2.00	4	2.00	基盤チーム
年次	OPY-01	署名鍵の入れ替え確認	自動で入れ替わったことを確認し、並走期間の動作を確かめる	年 1 回	8	1	1.00	1	1.00	基盤チーム
年次	OPY-02	本基盤の証明書の更新	通信に使う証明書を期限前に入れ替える	年 1 回	8	1	1.00	1	1.00	基盤チーム
年次	OPY-03	認証製品の版上げ	検証環境で確認してから本番の版を上げる。自社拡張の作り直しを含む	年 2 回	40	2	10.00	2	10.00	基盤チーム
年次	OPY-04	災害復旧の訓練	別地域への切替を実際に行い、目標時間内に戻せることを確かめる	年 1 回	40	1	5.00	1	5.00	基盤チーム
年次	OPY-05	疑似攻撃検査の受入	外部に依頼した検査の結果を受け取り、是正して再確認する	年 1 回	24	1	3.00	1	3.00	基盤チーム
年次	OPY-06	顧客監査への対応	顧客から求められた資料を用意し、質問に答える	年 2 回	8	2	2.00	2	2.00	基盤チーム
年次	OPY-07	運用体制の見直しと教育	担当の入れ替わりに合わせて教育し、体制を見直す	年 1 回	16	1	2.00	1	2.00	基盤チーム
随時	OPS-01	顧客（テナント）の追加	顧客を登録し、接続先を登録して疎通を確認する	件数に連動	8	50	50.00	30	30.00	基盤チーム
随時	OPS-02	顧客の解約	停止・データの持ち出し・消去を手順どおりに行う	件数に連動	4	2	1.00	5	2.50	基盤チーム
随時	OPS-03	アプリの接続登録	ひな形からアプリを登録し、接続情報を渡す	件数に連動	4	20	10.00	10	5.00	基盤チーム
随時	OPS-04	顧客側の証明書入れ替えへの対応	自動で追随できなかった分を手作業で入れ替える	件数に連動	2	10	2.50	17	4.25	基盤チーム
随時	OPS-05	問い合わせ対応	顧客とアプリチームからの問い合わせに答える	月 20 件想定	1	240	30.00	240	30.00	基盤チーム
随時	OPS-06	障害対応	サービスに影響のある障害の対応と報告	年 4 件想定	8	4	4.00	4	4.00	基盤チーム
随時	OPS-07	設定変更の適用	承認された設定変更を適用し、記録を残す	月 4 件想定	2	48	12.00	48	12.00	基盤チーム
