WBS ID	項目（新）
A-1.7	調査計画：仮定値の根拠整理
A-3.1	調査計画：SCIM 受信窓口の試作
A-3.2	調査計画：SCIM 適合検査に通るか
A-3.3	調査計画：SCIM の作成・更新・削除の写像
A-6.1	調査計画：顧客 IdP 実機①（仮の IdP）との差
A-6.2	調査計画：顧客 IdP 実機②（仮の IdP・SAML）との差
A-6.3	調査計画：実機での拡張の発火と記録
A-6.4	調査計画：実機差の設計反映
A-13	調査計画：メール非保有者の 3 経路完走
A-11	調査計画：テナントの存在を推測されないか
A-15	調査計画：記録の可視性（承認ゲートの照会）
A-20	調査計画：管理用の口からパスワードのハッシュが読めないことの実機確認
B-2.1	配信基盤（CloudFront）から境界管理組織の入口までの繋ぎ方の技術検討
B-2.2	境界管理組織との協議用の比較資料の作成
B-3	使用する IP アドレス範囲の確定と重複確認
B-4.1	外向き通信の許可運用に関する境界管理組織との合意資料
B-5	死活監視を攻撃と誤検知させないための境界管理組織との合意
D-16.1	運用設計：業務システム（ServiceNow）への移行を 4 段階で進める手順
D-16.3	運用設計：業務システムにしかいない利用者の移行方針
D-19	認証システムのまとまり数の決定記録（Realm 統合）
E-3	継続的な費用管理（AWS 基盤チームの仕組みに倣い、本基盤固有の項目のみ）
E-4a	本番設定: 同時受付数の上限
E-4b	本番設定: 外部に出さないパスの遮断表
E-4c	本番設定: クラスタ内通信の暗号化と 30 日入替
E-4d	本番設定: クラスタ内のノード発見方式
E-4e	本番設定: ログイン状態の永続化の確認
G-3	運用設計：当番体制と通知先の割り当て
HA-01	前提：設計書 総則（目的・範囲・読み方）
HA-02	前提：前提条件一覧
HA-03	前提：用語集・略語集
HA-04	構成図：全体構成図（論理・清書を含む）
HA-05	構成図：全体構成図（物理・清書を含む）
G-4.2	構成図：ネットワーク詳細図
HJ-17	構成：クラスタ構成設計書（ノード群・配置制約・自動増減）
HJ-18	構成：認証製品の導入部品・設定定義の設計（版数・更新戦略）
HJ-19	構成：クラスタ運用の境界と責任分界（ベンダー保守との分担）
HA-06	共通：エラー処理方式設計（方針は 1 冊、個別のエラーは各 API 仕様書）
HA-07	共通：ログ出力方式設計（レベル/フォーマット/ローテーション）
HG-04	運用設計：監査ログ イベント一覧
HG-05	運用設計：監査ログ 取得項目・保持年数・置き場所
HG-06	運用設計：認可判定の記録の統合
E-7	ログの中央集約（他組織の監査アカウント）の制約確認
D-20	運用設計：運用委託先から個人情報を見せない記録方式
HA-09	共通：排他制御・同時実行設計
HA-11	共通：文字コード・日時・タイムゾーン方式
HA-12	共通：多言語・i18n 方式設計（認証製品のテーマ言語設定を含む）
HA-13	共通：キャッシュ方式設計
HA-14	共通：採番設計（ID 採番方式・重複回避）
HA-16	共通：命名規約（リソース/API/DB）
HA-17	共通：Terraform 設計規約
HA-18	共通：API 設計規約（命名・エラー・ページング・冪等・版管理と廃止方針）
HA-19	共通：画面設計規約
HA-21	共通：性能設計書（目標値・処理方式・チューニング方針）
HA-22	共通：キャパシティ・データ量見積（テーブル別・増加率・5 年後）
HA-25	共通：トレーサビリティ維持運用ルール
HA-27	共通：システム用アカウント台帳の設計
HB-01	共通：機能一覧の成果物化
HB-F-AUTH-02	機能仕様書: HRD（識別子先行による IdP 解決。判定できないときのパスワード入力への切替を含む）
HB-F-AUTH-07	機能仕様書: 初回フェデレーションログイン時の利用者自動登録（JIT）
HB-F-AUTH-14	機能仕様書: 2 台目の認証器登録時の本人再確認
HB-F-AUTH-21	機能仕様書: アカウント列挙対策（応答同一化・画面文言）
HA-10	認証：セッション管理方式設計（ログイン状態の保持・タイムアウト・ログアウト）
HB-F-PROV-03	機能仕様書: SCIM 受信 利用者作成
HB-F-PROV-04	機能仕様書: SCIM 受信 利用者更新
HB-F-PROV-05	機能仕様書: SCIM 受信 利用者削除（消さずに無効化へ読み替え）
HB-F-PROV-06	機能仕様書: SCIM 受信 利用者検索・絞り込み
HB-F-PROV-07	機能仕様書: SCIM 受信 グループ連携
HB-F-PROV-08	機能仕様書: 項目名の変換・統一（顧客ごとの項目名 → 基盤の統一名。統一名の辞書を含む）
HD-05	利用者属性に載せる項目の宣言設計（メール非保有対応を含む）
HD-18	IdP ごとの項目名変換方針（変換表の置き場所と変換規則）
D-8b	顧客ごとの追加項目（社員番号・部署など）の受入上限と形式
HB-F-PROV-10	機能仕様書: 利用者の停止（消さずに無効化・停止日時の記録）
HD-24	利用者と記録の保持・停止・消去の全体方針
HB-F-BAT-01	機能仕様書: 90 日休眠バッチ（JIT・直接収容の利用者が対象、SCIM 利用者は除外）
D-8a	管理画面・アプリ経由で作った利用者の区分と自動停止の扱い
HB-F-ADM-14	運用設計：テナント（Organization）作成
HB-F-ADM-15	運用設計：テナント設定編集
HB-F-ADM-16	運用設計：IdP 接続 登録（6 ステップ）
HB-F-ADM-17	運用設計：IdP 接続 編集・証明書更新
HB-F-ADM-18	運用設計：監査ログ照会
HB-F-ADM-19	運用設計：権限棚卸しキャンペーン（定期起動を含む）
HB-F-AZ-05a	機能仕様書: テナント越境の防止（認証製品側：他テナントの IdP で入れない）
HB-F-AZ-05b	機能仕様書: テナント越境の防止（権限データ側：他テナントのデータに触れない）
D-5	システム同士が API を呼ぶときに持たせる権限の範囲（呼び出し元ごと）
HB-F-INT-11	運用設計：顧客 IdP 接続情報の自動追随（証明書入替への追随）
HC-01a	画面（認証製品内）：画面一覧・画面 ID 体系（12 画面）
HC-01b	画面（管理画面）：画面一覧・画面 ID 体系（20 画面）
HC-03b	画面遷移図（管理画面・テナント管理者向け）
HC-04a	画面（認証製品内）：識別子の入力画面（HRD）
HC-04b	画面（認証製品内）：パスワードの入力画面
HC-04c	画面（認証製品内）：接続先の選択画面
HC-04d	画面（認証製品内）：追加認証の入力画面
HC-04e	画面（認証製品内）：追加認証の登録画面
HC-04f	画面（認証製品内）：復旧コードの入力画面
HC-04g	画面（認証製品内）：復旧コードの表示画面
HC-04h	画面（認証製品内）：パスワードの変更画面
HC-04i	画面（認証製品内）：パスワードの再設定画面
HC-04j	画面（認証製品内）：エラー・案内の表示画面
HC-04k	画面（認証製品内）：ログイン後の遷移先画面（認証製品の外の着地ページになり得る）
HC-04l	画面（認証製品内）：同意の確認画面
HC-05a-1	画面（管理画面）：顧客一覧
HC-05a-2	画面（管理画面）：顧客の登録・設定
HC-05a-3	画面（管理画面）：接続先一覧
HC-05a-4	画面（管理画面）：接続先の登録
HC-05a-5	画面（管理画面）：接続先の設定・証明書更新
HC-05a-6	画面（管理画面）：顧客追加の承認
HC-05b-1	画面（管理画面）：利用者一覧・検索
HC-05b-2	画面（管理画面）：利用者詳細
HC-05b-3	画面（管理画面）：利用者の登録
HC-05b-4	画面（管理画面）：利用者の変更
HC-05b-5	画面（管理画面）：利用者の停止・再開
HC-05b-6	画面（管理画面）：パスワード初期化・追加認証の解除
HC-05b-7	画面（管理画面）：利用者の招待
HC-05b-8	画面（管理画面）：一括登録・ファイル出力
HC-05c-1	画面（管理画面）：使えるアプリの割当
HC-05c-2	画面（管理画面）：アプリ内の役割の割当
HC-05c-3	画面（管理画面）：組織属性の設定
HC-05c-4	画面（管理画面）：権限のひな形・棚卸し
HC-05d-1	画面（管理画面）：操作記録の照会
HC-05d-2	画面（管理画面）：権限判定の記録の照会
HE-22a	API エラーコード体系（認証製品の標準エラー）
HE-22b	API エラーコード体系（管理 API）
HB-F-BAT-03	機能仕様書: システム間の整合突合（どのシステム間で何を合わせるかの一覧を含む）
HD-22	機能とテーブルの CRUD 対応表（権限設計との突合を含む）
HD-25	索引・分割・DB チューニング方針（権限 DB ＋ 認証製品 DB）
HE-01	共通：IF 一覧（内部・同期／非同期）
HE-03	共通：IF 一覧（外部）
HE-09	SCIM 受信仕様（顧客の人事システム・IdP → 本基盤：窓口・項目の対応づけ・絞り込み・削除の無効化読み替え）
HE-18a	外部 IF 漏えいパスワード検知（HIBP）
HE-18b	外部 IF メール送信（SES）
HE-19a	鍵・証明書一覧：署名に使う鍵
HE-19b	鍵・証明書一覧：通信を暗号化する証明書
HE-19c	鍵・証明書一覧：システム同士が相互に確認する証明書
HE-19d	鍵・証明書一覧：顧客から受け取る証明書
HA-26	共通：鍵管理設計書（3 階層の鍵と暗号化の境界）
D-12	証明書（顧客 IdP の SAML 署名・本基盤の SAML 署名・TLS）を止めずに入れ替える運用手順
HF-01	バッチ一覧
HG-07	セキュリティ：不審な挙動を判定する条件と主要指標の定義
HG-08	セキュリティ：攻撃経路対応表（33 経路×対策）
HH-01	運用設計：監視項目一覧（メトリクス）
HH-02	運用設計：監視項目一覧（ログ・合成監視）
HH-03	運用設計：閾値・通知先設計
HH-04	運用設計：顧客の受け入れ設計（設計面。手順書とは別）
HH-05	運用設計：環境設計書（本番 / stg / dev の構成差分）
HJ-01a	Realm / Organizations 構成設計書
HJ-02a	認証フローの組み立て順序（3 系統）
HJ-03	HRD：自社拡張の仕様書（接続先の自動振り分け・判定ロジック）
HJ-07	JWT（通行証）に載せる項目と要求範囲の定義書
HJ-10a	認証製品の設定値一覧
