WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態
GD-01	第1部 本ガイドについて	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	このガイドの目的・想定読者・読み進め方をまとめた導入。改訂の方針もここに書く	ガイド 1 章。対象読者と前提知識が明示され、どの章から読めばよいかの案内がある	未着手
GD-02	第1部 本基盤の全体像	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	本基盤がどんな仕組みで、どこまでを引き受け、どこからがアプリ側の責任かを示す全体像	ガイド 1 章。提供する範囲と提供しない範囲が対比で示されている	未着手
GD-03	第1部 用語集	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	このガイドで使う言葉の意味を揃える用語集	ガイド 1 章。本文で使う用語が漏れなく定義され、本文からリンクされている	未着手
GD-04	第1部 統合前に決めること	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	接続作業を始める前にアプリ側で決めておくべきことを一覧にした章。アプリの種類・認証の強さ・情報の保持方法など	ガイド 1 章。決定事項が選択肢つきで列挙され、決めないと先に進めない項目が明示されている	未着手
GD-05	第2部 クライアント登録の申請プロセス	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	接続の申請手続きと、申請から利用開始までにかかる期間の案内	ガイド 1 章。申請様式・審査観点・標準的な所要日数が示されている	未着手
GD-06	第2部 環境と接続情報	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	開発・検証・本番それぞれの接続先情報の受け取り方と、環境ごとの違い	ガイド 1 章。接続先はアプリ内に直接書かず設定から読む方式であることが明記されている	未着手
GD-07	第2部 Discovery / エンドポイント案内	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	接続に必要な情報を自動取得する仕組みと、その入口となるアドレスの案内	ガイド 1 章。取得すべき入口が 1 つに定まり、個別のアドレスを直接書かない原則が明記されている	未着手
GD-08	第2部 クレデンシャル管理	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	アプリに配る接続用パスワードの管理方法と、定期的な入れ替えへの追随方法	ガイド 1 章。入れ替え時に接続が切れないための実装要件が示されている	未着手
GD-09	第3部 Webアプリ（BFF / SSR）	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	サーバー側で処理を受け持つ形式のアプリ向けの実装手順。本基盤の推奨形式	ガイド 1 章。推奨する理由と、この形式でしか使えない機能が明示されている	未着手
GD-10	第3部 SPA（ブラウザ）	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	ブラウザだけで動く形式のアプリ向けの実装手順と、認める条件	ガイド 1 章。通行証をブラウザに保存してはいけない範囲と、使えない機能の制約が明示されている	未着手
