区分	ID	機能グループ	機能名	テスト項目	テスト観点	人日	対応要件	前提
A 結合	IT-01	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	顧客IdPとのつなぎ目（OIDC）	接続情報の自動取得ができる／署名鍵を取得して検証に使える／要求できる範囲と返る項目が仕様どおり／相手側がエラーを返したときにユーザへ正しく伝わる／相手側の応答が遅いときに設計した時間で打ち切る／相手側の署名鍵が入れ替わったときに追随できる	4	FR-FED-001〜004 / FR-INT-001・002・003	検証用の顧客IdPが用意できていること
A 結合	IT-02	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	顧客IdPとのつなぎ目（SAML）	接続情報の交換ができる／正しい署名を受け入れる／署名が不正なものを拒否する／期限切れの主張を拒否する／暗号化された主張を復号できる／ユーザを指す値の形式が仕様どおり／時計のずれをどこまで許すかが設計どおり	4	FR-FED-005 / FR-INT-004	検証用の旧方式の認証システムが用意できていること
A 結合	IT-03	パスワードによるログイン	Keycloak-IdP 側の引き渡しと責任分界	Keycloak-IdP 側の基盤の引き渡し状態の確認	既定の状態で起動する／アプリチームがKeycloak-Brokerを載せられる状態にある／引き渡す範囲が取り決めどおり／渡した後の責任範囲が文書で確認できる	2	NFR-OPS-012	引き渡し範囲の取り決めが合意されていること
A 結合	IT-04	ユーザ管理	顧客IdP からのユーザ情報の同期	顧客システムからの受信窓口とKeycloak-Brokerのつなぎ目	登録・更新・削除・検索がKeycloak-Brokerに反映される／呼び出し元の確認に失敗したとき受け付けない／項目の対応づけが設計どおりに効く／一度に多くの件数が来たときの区切り方が仕様どおり／途中で失敗したときに中途半端な状態が残らない／同じ要求が二度来ても結果が変わらない	5	FR-USER-003 / FR-FED-009	受信窓口の実装が完了していること
A 結合	IT-05	認可・権限判定	顧客番号と基盤識別子の対応づけ	識別子の採番と対応づけ	設計した形式の識別子が付く／重複しない／一度付いた値が変わらない／顧客側の番号と対応づく／アプリから一意に指せる	2	FR-AUTHZ-001	A 結合の前提が揃っていること
A 結合	IT-06	JWT の発行	システム間 JWT の発行	システム間 JWT の発行と失効	システムとして入口を呼べる資格が発行される／要求した範囲だけが許可される／範囲外の呼び出しが拒否される／有効期限が切れたら使えない／失効させたら直ちに使えない／顧客システム連携の呼び出し元がこの資格で確認できる	2	FR-AUTH-004 / FR-AUTHZ-005	A 結合の前提が揃っていること
A 結合	IT-07	アプリ連携	アプリの接続登録（クライアント登録）	アプリとのつなぎ目（接続情報・JWT）	ひな形からアプリを登録できる／接続情報の公開先が仕様どおりに読める／署名鍵の公開先が読める／アプリ側でJWT を検証できる／接続用パスワードを入れ替えてもアプリが追随できる	4	FR-INT-002・003・006 / FR-AUTH-002・003	クライアント登録のひな形ができていること
A 結合	IT-08	業務システムへの認証提供	業務システムへの認証提供	業務システムとのつなぎ目	旧方式で情報を交換できる／渡した属性が相手側に反映される／相手側でユーザが自動作成される／ログアウトが相手側へ伝わる／Keycloak-Broker で止めたユーザが相手側で使えなくなる	4	FR-FED-006 / FR-INT-004	業務システムの検証環境が用意できていること
A 結合	IT-09	監査・記録	監査ログの出力と保管	記録の出力と全体の共通基盤への集約	設計した項目が設計した形式で出る／欠落せずに共通基盤へ届く／個人情報が伏せられている／遅延したときに順序と重複がどうなるかが設計どおり／保持年数の設定が効いている／共通基盤側で必要な条件で引ける	4	FR-INT-008 / NFR-OPS-003・004 / NFR-COMP-007・010	共通基盤への出力経路が開通していること
A 結合	IT-10	非機能: システム構成	全体構成（論理・物理）	構成図と実機の一致	図に描いた要素がすべて実機にある／実機にあって図に無いものが無い／経路が図のとおり／差分があれば図を直す	1.5	—	構築が完了していること
A 結合	IT-11	非機能: システム構成	ネットワーク構成	ネットワーク経路の疎通と遮断	外部の入口からKeycloak-Brokerまで通る／外向きの通信が許可した範囲だけ通る／名前解決が経路ごとに設計どおりに解決する／外部に出さない経路が塞がっている／管理用の経路が限定された元からだけ通る	4	NFR-SEC-011・016・017・018	ネットワークの構築と境界組織との接続が完了していること
A 結合	IT-12	非機能: システム構成	Realm・ブランド区画構成	区画の分離	区画をまたいでユーザが見えない／発行元の値が区画ごとに設計どおり／区画ごとの設定が独立している／一方の設定変更が他方に影響しない	2	FR-AUTHZ-008 / FR-ADMIN-009	区画の構築が完了していること
A 結合	IT-13	非機能: システム構成	環境構成（本番 / stg / dev）	環境ごとの差分の確認	環境で変わる値だけが変わっている／本番と検証で挙動が変わらない／検証環境に本番のデータが入っていない／環境の取り違えが起きない	2	NFR-OPS-013	3 環境の構築が完了していること
A 結合	IT-14	非機能: システム構成	データベース設計（Keycloak-Broker）	Keycloak-Brokerとデータベースのつなぎ目	設計した数まで接続を張れる／上限を超えた要求が待たされるか断られるかが設計どおり／接続が切れたあと自動でつなぎ直す／データベースの切替中にログインが継続する／止まる範囲が設計どおり／日本語・記号・絵文字が化けずに保存・取り出しできる／日時が意図した時間帯で保存・取り出しできる	3	NFR-PERF-008 / NFR-SCL-007	データベースの構築が完了していること
A 結合	IT-15	非機能: 設計標準・規約	API 設計規約	エラー応答の共通規約	エラーの種類と番号が一覧どおり／本文の形式が統一されている／内部の情報が漏れない／アプリ側が番号で分岐できる	2	FR-INT-006	同上
A 結合	IT-16	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-IdP とのつなぎ目	閉域経路で接続情報と署名鍵が取れる／識別子が引き継がれ再入力が要らない／追加認証の結果が写る／Keycloak-IdP 側がエラーを返したときの表示／2 回目以降は Keycloak-IdP を呼ばない	4	FR-FED-015	アプリチームの Keycloak-IdP が検証環境で起動し、接続仕様（HE-23）が合意されていること
A 結合	IT-17	アプリ連携	アプリ向け管理 API の公開	管理 API の内部到達と権限範囲	内部経路から呼べる／外部から呼べない／許した操作だけ通る／範囲外の操作が拒否され記録される	2	FR-INT-006 / FR-SSO-010 / FR-USER-001	システム間 JWT の実装が完了していること
B 総合	ST-01	ログインの振り分け	顧客IdPの自動振り分け	顧客IdPの振り分けの一連	入力から顧客IdPが判定できる／判定できないときパスワード入力へ切り替わる／1 顧客に複数あるとき選択できる／存在しない入力でも実在の有無が分からない／大文字小文字・前後の空白の扱いが設計どおり／判定に使う値が変わったときの反映時間／判定の記録が残る	3	FR-FED-013 / NFR-SEC-010	自社拡張の実装が完了していること
B 総合	ST-02	ログインの振り分け	振り分け失敗時のパスワード入力への切替	振り分けできないときの切替	判定できないときパスワード入力へ切り替わる／切替後も最後までログインできる／切り替えたことが記録に残る	1	FR-FED-013	自社拡張の実装が完了していること
B 総合	ST-03	ログインの振り分け	顧客IdPの選択（1 顧客に複数）	顧客IdPの選択	複数あるとき選択できる／並び順が設計どおり／選択した先へ正しく送られる	1	FR-FED-013	自社拡張の実装が完了していること
B 総合	ST-04	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	フェデレーションログインの一連（新方式）	初めての人がログインでき、ユーザが作られる／2 回目以降は作られず属性が更新される／顧客側で属性が変わったら次のログインで反映される／同じ人が別の顧客IdPから来たときの扱いが設計どおり／途中で中断したときに半端なユーザが残らない／相手側で拒否されたときの案内が出る／必須の項目が来なかったときの扱いが設計どおり	4	FR-FED-008・009 / FR-AUTH-002	A 結合が完了していること
B 総合	ST-05	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	フェデレーションログインの一連（旧方式）	初回・2 回目の動きが新方式と同じ結果になる／署名が不正なときに入れない／時計がずれた主張の扱いが設計どおり／属性名が顧客ごとに違っても正しく写る	5	FR-FED-005・008・009	同上
B 総合	ST-06	顧客IdP 連携ログイン	初回ログイン時のユーザ自動作成（JIT）	初回登録と属性の更新	初めての人でユーザが作られる／2 回目以降は作られない／2 回目以降に属性が更新される／更新しない項目が上書きされない／同じ人と判断する条件が設計どおり／作成の途中で失敗したときに半端なユーザが残らない	2	FR-FED-008・009	A 結合が完了していること
