ID	変更前の対応区分	変更後の対応区分	状況の変更	理由
FR-USER-001	社内判断待ち	顧客ヒアリング		「役割分担で決定するが未定」= テナント管理者にどこまでやらせるかの責任分界。社内では決まらない。B-TAP-1（管理画面の必要性 🔴）/ B-TAP-3（機能範囲）が同じ論点
FR-USER-004	社内判断待ち	顧客ヒアリング		同上。**既存ヒアリング B-402（セルフサービス機能の範囲）がそのまま該当**
FR-USER-012	社内判断待ち	顧客ヒアリング		同上。招待メールを送る運用にするかは顧客の運用方針。※本基盤はメール非保有を前提とするため、送れない利用者の扱いも併せて確認
FR-ADMIN-002	社内判断待ち	顧客ヒアリング		同上。テナント追加・削除の実施主体。B-TENANT-EXIT-1（サービス離脱）と連動
FR-ADMIN-003	社内判断待ち	顧客ヒアリング		同上。**質問状 Q23（FR-FED-011 新しいお客様を接続する作業の実施主体）と実質同一。二重に聞かないこと**
FR-ADMIN-005	社内判断待ち	顧客ヒアリング		同上。ロール定義を誰が管理するか。ADR-038 の 3 層スコープ・B-TAP-3 と連動
FR-USER-009	社内判断待ち	社内ヒアリング（アプリチーム）		一括登録の実施主体と上限件数。**移行がアプリ側になった（NFR-MIG-001）ため投入経路はアプリが決める**。B-403 / B-TAP-7 と連動
FR-ADMIN-004	社内判断待ち	社内ヒアリング（アプリチーム）		アプリの登録と設定変更を誰がどの手順で行うか。アプリ台帳のスキーマ（00a D-9）と連動
FR-INT-006	社内判断待ち	社内ヒアリング（アプリチーム）		「IdP 側の専用アプリでラップして公開。そのアプリを**誰が作るか未定**」= 基盤チームとアプリチームの分担。00a D-5 で確定させる
B-FAPI-1	社内判断待ち	顧客ヒアリング		金融グレードを求める顧客が来るかは営業・事業情報。社内の技術判断ではない
B-IPSIE-1	社内判断待ち	顧客ヒアリング		調達条件になる見込みがあるかは営業・事業情報
B-IGA-REC-1	社内判断待ち	顧客ヒアリング		棚卸しの**頻度と実施主体**（弊社 / テナント / 監査）は責任分界。範囲は 2026-08-16 に確定済みで、残るのはこの 2 点のみ
G-SCIM	社内判断待ち	設計タスク		判断ではなく**PoC 実施待ち**（00a A-3、20 人日）。実施は確定済み
G-UProfile-Email	社内判断待ち	設計タスク		同上（DU-U2-06）。実施は確定済み
G-IdP-Scale	社内判断待ち	設計タスク		同上（00a A-1、25 人日）。2026-07-30 に仮定値化して非ブロッカー、後追い検証
D-IDMAPI-1	検討中	設計タスク（変更なし）	確定	**ADR-062 で Lambda 確定**。残は 00a D-5（内部ルート + サービス間認可、3 人日）のみ
P-BRAND-1	検討中	設計タスク（変更なし）	確定	**ADR-063 で確定**（brand=Realm、2026-08-15 ユーザー承認）。**Git 側に P-19 として正式採番したので ID を P-19 に置換推奨**
D-DEPROV-1	検討中	設計タスク（変更なし）	確定	**ADR-064 outbox で確定**。残は DU-U3-09（reactivation 対称伝播、9 人日）のみ
FR-ADMIN-007	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
