ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HB-F-AUTH-02	HB-F 機能仕様書	設計書の執筆	ログイン振り分け（HRD）	顧客IdPの自動振り分け	機能仕様書: 顧客IdPの自動振り分け（HRD）	入力された ID から、その人がどの顧客IdPのユーザかを判定し、自動で送り先を決める	機能仕様書。判定に使う値・判定の順序・判定できたときの送り先が定まっている	1	基盤チーム	基盤チーム	認証の中核	顧客IdPが複数ある前提で、ユーザが自分の顧客IdPにたどり着く唯一の手段	対象	新規: 機能追加	—	未着手		F-AUTH-02
HJ-03	HJ Keycloak-Brokerの作り込み	設計書の執筆	ログイン振り分け（HRD）	顧客IdPの自動振り分け	HRD：自社拡張の仕様書（判定ロジック・切替）	判定を行う自社拡張の入出力・動作条件・Keycloak-Brokerへの組み込み位置を決める	拡張の仕様書。入出力と、どのフローのどこに置くかが定まっている	2	基盤チーム	基盤チーム	認証の中核	Keycloak-Brokerの標準機能では実現できず、自社拡張で作る必要がある	対象	新規: 機能追加	—	未着手		F-AUTH-02
HB-F-AUTH-03	HB-F 機能仕様書	設計書の執筆	ログイン振り分け（HRD）	振り分け失敗時のパスワード入力への切替	機能仕様書: 振り分けできないときのパスワード入力への切替	顧客IdPを判定できなかったときに、パスワード入力へ切り替えて処理を続ける動き	機能仕様書。切り替える条件と、切り替えた後の扱いが定まっている	0.5	基盤チーム	基盤チーム	事故防止	どの顧客か分からない状態でもユーザを止めないための逃げ道	対象	新規: 機能追加	—	未着手		F-AUTH-03
HB-F-AUTH-04	HB-F 機能仕様書	設計書の執筆	ログイン振り分け（HRD）	顧客IdPの選択（1 顧客に複数）	機能仕様書: 顧客IdPの選択画面	1 つの顧客に顧客IdPが複数ある場合に、ユーザにどれを使うか選ばせる	機能仕様書。選ばせる条件と、並び順の決め方が定まっている	0.5	基盤チーム	基盤チーム	認証の中核	グループ会社や部門ごとに認証システムを持つ顧客がいるため	対象	新規: 機能追加	—	未着手		F-AUTH-04
HB-F-AUTH-05	HB 機能設計	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	機能仕様書: フェデレーションログイン（OIDC）	顧客が持っている認証システムに認証を委ね、その結果を受け取ってログインさせる機能（標準的な連携方式）	機能仕様書 1 本。委譲時に渡す情報・受け取る情報と、拒否された場合の扱いが定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手	ADR-033、U2 §2.2	F-AUTH-05
HE-14	HE つなぎ目設計	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	認証プロトコルIF（OIDCエンドポイント・クレーム）	標準方式の認証連携で、やり取りする情報の仕様。内訳: 認可エンドポイント / トークンエンドポイント / クレーム / ログアウト	仕様書。顧客IdPの情報と、渡す項目が定まっている	4	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
HJ-02a	HJ Keycloak の作り込み	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	認証フローの組み立て順序（3 系統）	ログイン処理の組み立て順序を決める（外部連携を受ける側の 3 系統）	処理順序の設計書。3 系統それぞれの分岐が図で示されている	1	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
HJ-10a	HJ Keycloak の作り込み	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	Keycloak-Brokerの設定値一覧	Keycloak-Brokerの設定値を決める（外部連携を受ける側）	設定値一覧。有効期間・回数制限などが数値で定まっている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
HE-17	HE つなぎ目設計	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	外部IF 顧客IdP（SAML/OIDC差分）	顧客IdPごとの接続仕様の差分整理	差分表。製品ごとの違いが一覧化されている	2	基盤チーム	基盤チーム	認証の中核	【省略・吸収】HE-14 / HE-15 の認証プロトコル IF に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	—	未着手		F-AUTH-05
GD-09	GD アプリ向けガイド	ガイド・手順書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	第3部 Webアプリ（BFF / SSR）	サーバー側で処理を受け持つ形式のアプリ向けの実装手順。Keycloak-Broker の推奨形式	ガイド 1 章。推奨する理由と、この形式でしか使えない機能が明示されている	1	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
