種別	対象 ID	列	新しい値	理由
ID重複	HI-02（2 件目）	ID	HI-03	同じ ID が 7 行にあり、参照が壊れる。回ごとに採番し直す
ID重複	HI-02（3 件目）	ID	HI-04	同上
ID重複	HI-02（4 件目）	ID	HI-05	同上
ID重複	HI-02（5 件目）	ID	HI-06	同上
ID重複	HI-02（6 件目）	ID	HI-07	同上
ID重複	HI-02（7 件目）	ID	HI-08	同上
ID重複	HI-03（既存・第5回レビュー）	ID	HI-09	上の採番と衝突するため後ろへずらす
ID重複	HI-04（既存・第5回指摘対応）	ID	HI-10	同上
空欄	HI-03〜HI-08（新採番の 6 行）	スコープ	対象	空欄だと集計から漏れる
空欄	HI-03〜HI-08（新採番の 6 行）	判断根拠	横断（対象縮小）	空欄だとフィルタで落ちる
空欄	HI-03〜HI-08（新採番の 6 行）	根拠の補足	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	空欄
空欄	HI-03〜HI-08（新採番の 6 行）	当初想定	新規: 自社構築	空欄
空欄	HI-03〜HI-08（新採番の 6 行）	機能ID	NF-MGT-06	空欄
スコープ	D-18.1	スコープ	対象	災害対策を対象に戻す指示による
スコープ	D-18.2	スコープ	対象	同上
スコープ	D-18.3	スコープ	対象	同上
スコープ	D-18.4	スコープ	対象	同上
スコープ	G-1.8	スコープ	対象	同上
スコープ	G-1.9	スコープ	対象	同上
スコープ	G-1.11	スコープ	対象	同上
根拠の補足	D-18.1	根拠の補足	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	災害対策を対象に戻したため、対象外を前提にした文言を差し替える
根拠の補足	D-18.2	根拠の補足	同上	同上
根拠の補足	D-18.3	根拠の補足	同上	同上
根拠の補足	D-18.4	根拠の補足	同上	同上
根拠の補足	G-1.8	根拠の補足	同上	同上
根拠の補足	G-1.9	根拠の補足	同上	同上
根拠の補足	G-1.11	根拠の補足	同上	同上
概要	HG-04	概要	記録に残すできごとの一覧を作る。あわせて、ログをどの水準でどんな形式で出し、どれだけ保つかの出力方式もここで決める	ログ出力方式は別行を立てず、この行の工数内で扱う
概要	HG-05	概要	記録に残す項目と保持年数、置き場所を決める。管理操作の記録の置き場所（D-9.2）を含む	吸収先を明示する
根拠の補足	D-11	根拠の補足	【省略・吸収】HE-15 認証プロトコル IF（SAML メタデータ・Assertion）に吸収。人日は復活時のために残す	吸収先だった HJ-14 が基本設計から消えており、宙に浮いている
根拠の補足	HE-17	根拠の補足	【省略・吸収】HE-14 / HE-15 の認証プロトコル IF に吸収。人日は復活時のために残す	同上
