§	サブ§	Phase	優先度	ヒアリング回	ID	タイトル	1行サマリー（何を確認するか）	詳細参照	回答	状態
1	1.1	A	🔥	M1	A-5-2	受け入れる利用者カテゴリ	P-1〜P-6 のうち本基盤が認証を引き受ける範囲	hearing-script/00-common.md		⏳
1	1.2	A	🔥	M1	A-5-3	採用シナリオ α/β/γ/δ	ローカルユーザー受入範囲（4 シナリオ、業界推奨は γ）	hearing-script/00-common.md		⏳
1	1.3	A	🔥	M1	A-5-4	インフラ運用者カテゴリ I-1〜I-5	本基盤を operate する人と人数（AWS IAM 認証経路）	hearing-script/00-common.md		⏳
1	1.4	D	🔥	M1	D-6	Identity Broker パターン採用前提合意	Hub-and-Spoke 型アーキテクチャの合意	hearing-script/11-operations.md		⏳
1	1.5	A	🔥	M1	A-11	ブランディング軸 1（アプリ別）	アプリ別カスタマイズ Yes/No → パターン A/A'	hearing-script/00-common.md		⏳
1	1.5	A	🔥	M1	A-11-α	ブランディング軸 2（顧客別）	顧客別カスタマイズ No/Yes部分/完全分離 → パターン A/B/C	hearing-script/00-common.md		⏳
2	2.1	A	🔥	M1	A-1	想定 MAU 規模（1 年後）	1 年後の月次アクティブユーザー数	hearing-script/00-common.md		⏳
2	2.1	A	🔥	M1	A-2	想定 MAU 規模（3 年後）	3 年後の MAU 目標値	hearing-script/00-common.md		⏳
2	2.1	A	🔥	M1	A-3	対象システム数	共有基盤の初期スコープのシステム数 + 優先度	hearing-script/00-common.md		⏳
2	2.1	A	🔥	M1	A-4	顧客拠点の地理分布	国内のみ / グローバル / 一部海外	hearing-script/00-common.md		⏳
2	2.1	A	🟡	M1	A-7	新規顧客追加の頻度	月平均何社の追加想定	hearing-script/00-common.md		⏳
2	2.1	A	🟢	M1	A-12	海外展開時期	GDPR / CCPA 対応の必要時期	hearing-script/00-common.md		⏳
2	2.1	A	🔥	M1	A-15	顧客企業数の現状と 5 年後想定	現状件数 + 5 年後想定 + 増加カーブ（Cognito Hard Limit 抵触判定の最重要入力）	hearing-script/00-common.md		⏳
2	2.2	A	🟡	M1	A-8	データ所在地要件	国内限定 / 特定リージョン制約	hearing-script/00-common.md		⏳
2	2.2	A	🟡	M1	A-9	業界規制	業界名 + 規制名（PCI DSS / FFIEC / FISC 等）	hearing-script/00-common.md		⏳
2	2.2	C	🔥	M1	C-201	FIPS 140-2 認定	業界規制で必須か（Yes → RHBK 必須）	hearing-script/10-security-compliance.md		⏳
2	2.2	C	🔥	M1	C-202	コンプライアンス認証	SOC2 / ISO27001 / PCI DSS / FFIEC の必要性	hearing-script/10-security-compliance.md		⏳
2	2.2	C	🟢	M1	C-209	個人データ削除権	GDPR 等の対応必要か	hearing-script/10-security-compliance.md		⏳
2	2.3	B	🔥	M2	B-306	テナント分離粒度	共有 DB+tenant_id / DB 分離 / アカウント分離	hearing-script/06-multitenancy.md		⏳
