WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態
HB-01	共通：機能一覧の成果物化	設計書の執筆	NF-MGT-02	非機能: 設計管理	機能一覧・業務フロー	基盤チーム	アプリチーム	横断（対象縮小）	機能の数が減れば分量は減るが、体系そのものは残る	対象	当初あり	すでに洗い出し済みの機能一覧（91 機能・6 系統・31 グループ）を、正式な成果物として体裁化する	機能一覧 1 本。番号体系・系統・グループ・中核判定が揃い、レビュー承認済み	未着手
HB-08	作る範囲の確定後の最終突合と承認	レビュー・合意	NF-MGT-02	非機能: 設計管理	機能一覧・業務フロー	基盤チーム	アプリチーム	横断（対象縮小）	機能の数が減れば分量は減るが、体系そのものは残る	対象	当初あり	作る範囲が確定した時点で、機能一覧に抜けがないかをこれまでの決定と最終突合し、承認を得る	突合結果と承認記録。決定事項がすべて機能に紐づき、未登録のものが無いことが確認されている	未着手
HB-15	業務フロー（エンドユーザー系6シナリオ）	設計書の執筆	NF-MGT-02	非機能: 設計管理	機能一覧・業務フロー	基盤チーム	アプリチーム	横断（対象縮小）	【省略・吸収】各機能仕様書の「主要な流れ」に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	利用者から見た業務の流れを、代表的な 6 場面について図にする	業務フロー 6 本。利用者とシステムのやり取りが追える	未着手
HB-16	業務フロー（管理者系5シナリオ）	設計書の執筆	NF-MGT-02	非機能: 設計管理	機能一覧・業務フロー	基盤チーム	アプリチーム	横断（対象縮小）	【省略・吸収】各機能仕様書の「主要な流れ」に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	管理者から見た業務の流れを、代表的な 5 場面について図にする	業務フロー 5 本	未着手
HB-17	業務フロー（連携系4シナリオ）	設計書の執筆	NF-MGT-02	非機能: 設計管理	機能一覧・業務フロー	基盤チーム	アプリチーム	横断（対象縮小）	【省略・吸収】各機能仕様書の「主要な流れ」に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	外部システムとの連携の流れを、代表的な 4 場面について図にする	業務フロー 4 本	未着手
HB-18	状態遷移設計（ユーザーライフサイクル S1-S10）	設計書の執筆	F-PROV-10	ユーザの停止・再開・消去	利用者の停止（消さずに無効化）	基盤チーム	アプリチーム	事故防止	【省略・吸収】状態は HD-21 値の一覧と PROV-09/10/11 で表現するため省略。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	利用者が登録されてから使えなくなるまでの状態の移り変わりを図にする	状態遷移図。すべての状態と移り変わりの条件が定まっている	未着手
HB-19	状態遷移設計（トークン/セッション状態）	設計書の執筆	F-AUTH-23	セッション・ログアウト	ログイン状態の保持とタイムアウト	基盤チーム	アプリチーム	事故防止	【省略・吸収】同上（トークン・セッションは HA-10 で表現）。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	通行証とログイン状態の移り変わりを図にする	状態遷移図。有効期限切れや強制終了の扱いが示されている	未着手
HB-20	検索・一覧表示設計（検索条件/ページング/ソート）（新規）	設計書の執筆	F-ADM-01	ユーザ管理（管理画面・API）	利用者の検索・一覧	アプリチーム	アプリチーム	画面のみ	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	一覧画面での検索条件・並び順・件数の区切り方を決める	設計。大量データでも実用的な速さで返る条件が定まっている	未着手
HB-21	ファイル入出力設計（CSV一括登録/エクスポート）（新規）	設計書の執筆	F-ADM-20	ユーザ管理（管理画面・API）	利用者の一括登録	アプリチーム	アプリチーム	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	対象	新規: 機能追加	まとめて登録するためのファイルの形式と取り込み方を決める	設計。形式・上限件数・一部が失敗した場合の扱いが定まっている	未着手
HB-22	レポート/エクスポート設計（監査レポート・利用統計）（新規）	設計書の執筆	F-ADM-21	ユーザ管理（管理画面・API）	一覧・記録のファイル出力	アプリチーム	アプリチーム	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	対象	新規: 機能追加	一覧や記録をファイルとして出力する機能の設計	設計。出力項目と、個人情報の扱いの注意が定まっている	未着手
HK-03	アプリ側の実装ガイド（アプリ開発者向け）／渡す相手: 接続アプリ開発者	ガイド・手順書の執筆	NF-DOC-01	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	（廃止）アプリ開発者向けの実装ガイド。章ごとに分割したため、この行では作業しない	作業なし。分割先の各章で実施する	廃止（→ H-Lへ全面展開）
