ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HB-F-AUTH-02	HB-F 機能仕様書	設計書の執筆	ログイン振り分け（HRD）	接続先の自動振り分け	機能仕様書: 接続先の自動振り分け（HRD）	入力された ID から、その人がどの顧客の認証システムの利用者かを判定し、自動で送り先を決める	機能仕様書。判定に使う値・判定の順序・判定できたときの送り先が定まっている	1	基盤チーム	基盤チーム	認証の中核	顧客の認証システムが複数ある前提で、利用者が自分の接続先にたどり着く唯一の手段	対象	新規: 機能追加	—	未着手		F-AUTH-02
HJ-03	HJ 認証製品の作り込み	設計書の執筆	ログイン振り分け（HRD）	接続先の自動振り分け	HRD：自社拡張の仕様書（判定ロジック・切替）	判定を行う自社拡張の入出力・動作条件・認証製品への組み込み位置を決める	拡張の仕様書。入出力と、どのフローのどこに置くかが定まっている	2	基盤チーム	基盤チーム	認証の中核	認証製品の標準機能では実現できず、自社拡張で作る必要がある	対象	新規: 機能追加	—	未着手		F-AUTH-02
HB-F-AUTH-03	HB-F 機能仕様書	設計書の執筆	ログイン振り分け（HRD）	振り分け失敗時のパスワード入力への切替	機能仕様書: 振り分けできないときのパスワード入力への切替	接続先を判定できなかったときに、パスワード入力へ切り替えて処理を続ける動き	機能仕様書。切り替える条件と、切り替えた後の扱いが定まっている	0.5	基盤チーム	基盤チーム	事故防止	どのテナントか分からない状態でも利用者を止めないための逃げ道	対象	新規: 機能追加	—	未着手		F-AUTH-03
HB-F-AUTH-04	HB-F 機能仕様書	設計書の執筆	ログイン振り分け（HRD）	接続先の選択（1 テナントに複数 IdP）	機能仕様書: 接続先の選択画面	1 つのテナントに接続先が複数ある場合に、利用者にどれを使うか選ばせる	機能仕様書。選ばせる条件と、並び順の決め方が定まっている	0.5	基盤チーム	基盤チーム	認証の中核	グループ会社や部門ごとに認証システムを持つ顧客がいるため	対象	新規: 機能追加	—	未着手		F-AUTH-04
HB-F-AUTH-07	HB-F 機能仕様書	設計書の執筆	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	機能仕様書: 初回ログイン時のユーザ自動作成（JIT）	顧客の認証システム経由で初めてログインした人を、その場で本基盤の利用者として作る	機能仕様書。作る条件・持たせる項目・重複したときの扱いが定まっている	1	基盤チーム	基盤チーム	認証の中核	これが無いとフェデレーションのログインが完了しない。認証製品の初回連携フローに直結する	対象	新規: 機能追加	—	未着手		F-PROV-01
HB-F-PROV-02	HB-F 機能仕様書	設計書の執筆	フェデレーションログイン	ログイン時の属性更新	機能仕様書: ログイン時の属性更新	2 回目以降のログインで、顧客側の最新の情報を使って属性を更新する	機能仕様書。更新する項目と、更新しない項目の区別が定まっている	0.5	基盤チーム	基盤チーム	認証の中核	属性が古いままだとアプリ側の判断が誤る	対象	新規: 機能追加	—	未着手		F-PROV-02
HD-05	HD データ設計	設計書の執筆	ユーザ属性の統一	項目名の変換・統一	利用者属性に載せる項目の宣言設計	認証製品の利用者情報に、独自に持たせる項目を宣言する	宣言の設計。項目名・型・必須かどうかが一覧で定まっている	1.5	基盤チーム	アプリチーム	認証の中核	通行証に載せる項目の入力元。これが無いと出力だけ設計している状態になる	対象	新規: 機能追加	—	未着手		F-PROV-08
HD-18	HD データ設計	設計書の執筆	ユーザ属性の統一	項目名の変換・統一	IdP ごとの項目名の変換方針	顧客ごとにバラバラな項目名を基盤の統一名へ変換する規則と、その置き場所を決める	変換方針。規則の書き方と、顧客が増えたときの追加方法が定まっている	1.5	基盤チーム	アプリチーム	認証の中核	顧客ごとに項目名が違うため、写し方の規則が無いと属性が入らない	対象	新規: 機能追加	—	未着手		F-PROV-08
HE-09	HE つなぎ目設計	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	SCIM 受信仕様（窓口・項目の対応づけ・絞り込み・削除の読み替え）	顧客の人事システムや認証システムから利用者情報を受け取る窓口の仕様を決める	接続仕様。入口・認証方法・項目の対応・応答が定まっている	3	基盤チーム	アプリチーム	認証の中核	ログインを待たずに利用者を反映する唯一の経路。認証製品の標準機能は使わず自作または部品を使う方針	対象	新規: 機能追加	—	未着手		F-PROV-03
HB-F-PROV-03	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	機能仕様書: SCIM 受信 利用者の登録	顧客システムから利用者の新規登録を受け取る	機能仕様書。受け取る項目と、重複したときの扱いが定まっている	1	基盤チーム	アプリチーム	認証の中核	顧客システム連携の中核	対象	新規: 機能追加	—	未着手		F-PROV-03
