WBS ID	機能グループ（新）	機能名（新）
A-2.4	横断	横断（自社拡張全般）
A-19	ローカル認証	ローカルログイン
HA-09	横断	利用者の変更／定期実行処理全般
HC-04d	多要素認証	追加認証（数字コード）
HC-04e	多要素認証	追加認証（生体・セキュリティキー）
HC-04f	多要素認証	追加認証の登録（数字コード）
HC-04j	横断	横断（全機能共通）
HC-04k	横断	横断（全機能共通）
HC-04l	横断	横断（同意管理）
HE-05c	権限管理	使えるアプリの設定
HE-05d	権限管理	使えるアプリの設定
HE-05e	権限管理	使えるアプリの設定
HE-05f	権限管理	使えるアプリの設定
HE-05g	権限管理	使えるアプリの設定
HE-05i	権限管理	使えるアプリの設定
HE-05j	権限管理	使えるアプリの設定
HE-09	横断	顧客システムからの利用者情報受け取り
HE-19b	横断	横断（全機能共通）
HE-19c	横断	横断（全機能共通）
HF-05	横断	鍵・証明書・権限見直しの定期処理
HF-01	横断	定期実行処理全般
HF-06	横断	定期実行処理全般
HF-07	横断	定期実行処理全般
HK-04	横断	管理画面の機能全般
