# 凡例（コード → 値）
## アプリ移管
1	アプリ移管
2	基盤
3	基盤（縮小）
4	追加移管候補
## 判断根拠
1	事故防止
2	他組織との調整
3	代替手段あり
4	利用者が 1 箇所になり不要
5	後から追加可能
6	改ざん防止
7	業務データ
8	業務ルール依存
9	構成の前提
10	権限移管に伴い不要
11	横断（対象縮小）
12	法令・契約
13	画面のみ
14	製品機能
15	認証の中核
16	運用に必須
## 構成前提
1	—（構成に依存しない）
2	アカウントを分ける（未判断）
3	ネットワークを 2 つに分ける（採用）
4	切替先を持つ（不採用）
5	境界を他組織が管理（前提・選べない）
6	規模 1000 万・接続先 1000 超（採用）
7	記録を 7 年保管（前提・選べない）
8	認証製品を 2 つ持つ（不採用）
## 当初想定
1	当初あり
2	新規: 機能追加
3	新規: 自社構築
4	新規: 規模
5	新規: 非機能・運用
## 体制案（器のみ）
1	アプリチーム（作り込み）
2	共同（分けきれない）
3	基盤チーム（器・運用）
4	増える（説明・調整）

WBS ID	アプリ移管	判断根拠	構成前提	当初想定	体制案
A-19	2	1	1	1	3
A-20	2	1	3	3	3
D-18.5	2	12	1	2	3
D-21	2	9	1	2	3
B-1.1	2	2	5	3	3
B-1.2	2	2	5	3	3
B-1.3	2	2	5	3	3
B-2.1	2	2	5	3	3
B-2.2	2	2	5	3	3
B-3	2	2	3	3	3
B-4.1	2	2	5	3	3
B-4.2	2	2	4	3	3
B-5	2	3	5	5	1
E-1.1	2	9	1	3	3
E-1.2	2	9	1	3	3
E-1.3	2	9	1	3	3
E-2	2	9	6	4	3
E-3	2	9	1	3	3
E-4	2	9	1	3	3
E-5	2	9	1	3	3
E-6	2	9	1	3	3
E-7	4	13	1	5	3
E-8	2	1	1	4	3
F-1	2	12	1	5	3
F-2	2	12	1	5	3
F-3	2	12	1	5	3
F-4	2	12	1	5	3
G-1.1	2	15	1	2	1
G-1.2	2	16	1	5	3
G-1.3	2	1	1	5	1
G-1.4	2	16	1	5	3
G-1.5	2	1	1	5	3
G-1.6	2	16	1	5	3
G-1.7	2	15	1	5	1
G-1.8	2	16	4	5	3
G-1.9	2	16	4	5	3
G-1.10	2	16	1	5	3
G-1.11	2	16	4	5	3
G-3	2	16	1	5	3
G-4.1	2	16	1	5	3
G-4.2	2	16	3	5	3
A-1.7	2	9	6	3	3
A-2.1	2	9	8	3	3
A-2.2	2	3	1	1	1
A-2.3	2	9	1	3	3
A-2.4	2	9	1	3	3
A-3.1	2	5	1	2	1
A-3.2	2	5	1	2	1
A-3.3	2	1	1	2	1
A-6.1	2	15	1	1	3
A-6.2	2	15	1	1	3
A-6.3	2	15	1	1	3
A-6.4	2	15	1	1	3
A-13	2	3	1	2	1
A-16	2	9	1	3	3
A-17	2	9	3	3	3
A-18	2	9	1	3	3
A-7	2	9	4	3	3
A-9	2	15	1	2	1
A-11	2	3	1	4	1
A-14	2	5	1	2	1
A-15	2	9	1	3	3
D-1	2	9	1	2	3
D-2	2	3	1	1	1
D-5	2	1	1	5	1
D-6	2	14	1	5	3
D-7a	2	5	4	5	3
D-7b	2	9	4	2	3
D-8a	2	15	1	2	1
D-8b	2	15	1	2	1
D-8c	2	1	1	2	1
