WBS ID	機能ID	機能グループ	機能名	最小構成	アプリ移管	判断根拠	根拠の補足	構成前提	Phase 1 スコープ	概要	成果物と完了条件
HD-01	横断	横断	横断（全機能共通）	必須	基盤（縮小）	認証の中核	どのデータをどこに置くかの整理は、ストアが減っても必要	—（構成に依存しない）	対象	どのデータがどこに保管されているかを 1 枚の図にする	構成図。全データストアと保管内容が対応づいている
HD-02	横断	横断	横断（全機能共通）	必須	基盤（縮小）	認証の中核	どのデータをどこに置くかの整理は、ストアが減っても必要	—（構成に依存しない）	対象	同じ情報が複数の場所にある場合に、どれを正とし、どう揃えるかの方針を決める	整合方針。正となる場所と、ずれた場合の直し方が定まっている
HD-03	横断	横断	横断（ログイン処理全般）	必須	基盤	製品機能	認証製品が持つ構造なので、我々は使う範囲を決めるだけでよい	認証製品を 2 つ持つ	対象	認証製品が持つデータ構造のうち、利用する範囲と手を加えない範囲を整理する（Broker 側）	整理表。使う範囲と触らない範囲が明確で、独自変更をしない方針が示されている
HD-04	F-AUTH-01	ローカル認証	ローカルログイン	必須	基盤	利用者が 1 箇所になり不要	収容側の製品スキーマの利用範囲整理。認証製品が 1 つになるため受付側（HD-03）に統合される	認証製品を 2 つ持つ	対象外（Realm 統合）	認証製品が持つデータ構造のうち、利用する範囲と手を加えない範囲を整理する（利用者収容側）	整理表。パスワードの保管場所を含め、触らない範囲が明確になっている
HD-05	F-PROV-08, F-PROV-09	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一／登録経路の区分判定	必須	基盤	認証の中核	顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	—（構成に依存しない）	対象	認証製品側の利用者情報に、独自に持たせる項目を宣言する設計	宣言設計。持たせる項目とその用途、必須かどうかが定まっている
HD-06	F-AZ-03	権限判定	アプリ利用可否の判定	アプリ分担	アプリ移管	業務ルール依存	権限の構造は業務ごとに違い、アプリが持てば基盤で描く必要が無くなる	—（構成に依存しない）	対象	自前で持つ権限データの構造を、業務の意味に沿って図にする	論理データ構造図。権限・組織・利用者の関係が示されている
HD-07	F-AZ-03	権限判定	アプリ利用可否の判定	アプリ分担	アプリ移管	業務ルール依存	同上。権限をアプリが持てば図そのものが不要になる	—（構成に依存しない）	対象	自前で持つ権限データの構造を、実際の保管形に落とした図	物理データ構造図。テーブルと項目の対応が示されている
HD-08	F-ADM-11, F-ADM-12, F-AZ-03	権限管理／権限判定	使えるアプリの設定／アプリ内の役割の設定／アプリ利用可否の判定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違うため、アプリ側で定義する	—（構成に依存しない）	対象	誰がどのアプリを使えるか、アプリ内でどんな役割かを保持する表の定義	表定義。項目・型・制約と、テナントをまたげない仕組みが定まっている
HD-09	F-PROV-16	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	顧客番号と基盤識別子の対応づけ	必須	アプリ移管	業務データ	対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	—（構成に依存しない）	対象	顧客側の利用者番号と基盤側の識別子を対応づける表の定義	表定義。番号が変わった場合の履歴の持ち方も定まっている
HD-10	F-AZ-01, F-PROV-17	権限情報の提供／識別子と権限の連携	権限情報の一括取得／参照用データの更新	アプリ分担	アプリ移管	業務ルール依存	アプリが自分のデータを引けば足りるため、基盤に置く必然性が無い	—（構成に依存しない）	対象	アプリが 1 回の問い合わせで読む参照用データの表の定義	表定義。更新の入力元と、古い情報を返さないための仕組みが定まっている
HD-11	F-PROV-12	退職者の遮断と復職対応（停止・再開の伝播）	停止の確実な伝播	必須	基盤	利用者が 1 箇所になり不要	送信予定のイベントを記録する表。伝える処理が無くなるため、記録する必要も無い	—（構成に依存しない）	対象外（Realm 統合）	送信予定のイベントを記録しておく表の定義	表定義。送信済みの判定方法と、再送の管理方法が定まっている
HD-12	F-ADM-22	監査・一括処理	システム用アカウントの台帳管理	別途切り出し	基盤	法令・契約	誰が管理しているか分からないアカウントを無くすため、台帳は基盤が持つ	—（構成に依存しない）	対象	人ではないシステム用アカウントを管理する台帳の表の定義	表定義。管理責任者と用途を必須とする仕組みが定まっている
HD-13	横断	横断	横断（同意管理）	必須	追加移管候補	業務データ	何に同意させるかは業務が決めることで、基盤には正解が無い	—（構成に依存しない）	対象	利用者から同意を得た記録と、撤回の記録を保持する表の定義	表定義。いつ何に同意したかを後から示せる項目が定まっている
HD-14	F-ADM-18	監査・一括処理	操作記録の照会	必須	基盤	改ざん防止	記録する側と操作する側を分けないと、記録の意味が無くなる	記録を 7 年保管	対象	誰が何をしたかの記録を保持する表の定義。顧客のまとまりごとに分けて持つ	表定義。記録する項目と、他テナントの記録が混ざらない仕組みが定まっている
HD-15	F-ADM-18	監査・一括処理	操作記録の照会	必須	基盤	改ざん防止	消せない設定で 7 年保管する責任は基盤側にあり、他所に渡せない	記録を 7 年保管	対象	記録を長期間（7 年）保存する領域の構造設計	構造設計。保存形式・分割方法と、消せないようにする仕組みが定まっている
HD-16	F-AZ-01	権限情報の提供	権限情報の一括取得	アプリ分担	アプリ移管	業務ルール依存	権限を持たなくなるため、開示するデータそのものが存在しなくなる	—（構成に依存しない）	対象	顧客へ開示する読み取り専用データを別に持つかどうかを判断し、持つ場合の構造を決める	判断記録と構造設計。持たない場合はその理由が記録されている
HD-17	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	どのデータをどこに置くかの整理は、ストアが減っても必要	—（構成に依存しない）	対象	利用者の属性項目の意味を統一する辞書を作る	属性辞書。各項目の意味・型・必須かどうかが定まっている
HD-18	F-PROV-08	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一	必須	基盤	認証の中核	顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	—（構成に依存しない）	対象	顧客ごとにバラバラな項目名の変換表を、どこで一元管理するかを決める	管理方式の設計。変換表の置き場所と更新方法が定まっている
HD-19	F-PROV-16	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	顧客番号と基盤識別子の対応づけ	必須	アプリ移管	業務データ	対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	—（構成に依存しない）	対象	利用者を識別する 3 段階の番号体系を決める	体系設計。3 段階それぞれの用途と作り方が定まっている
HD-20	F-AZ-05	アクセス制御	テナント越境の防止	必須	基盤	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	アカウントを分ける	対象	顧客のまとまりとブランドを識別する番号体系を決める	体系設計。付け方と、重複しない仕組みが定まっている
HD-21	F-PROV-09	受け取ったデータの整形（項目名・区分の統一）	登録経路の区分判定	必須	基盤	認証の中核	どの経路で入った人かで扱いを変えるため、これが無いと後続が全て破綻する	—（構成に依存しない）	対象	登録経路の区分と、利用者の状態を表す値の一覧を決める	値の一覧。取りうる値がすべて列挙されている
HD-22	横断	横断	横断（全機能共通）	必須	基盤（縮小）	認証の中核	どのデータをどこに置くかの整理は、ストアが減っても必要	—（構成に依存しない）	対象	どの機能がどの表を作成・参照・更新・削除するかの対応表を作る	対応表。すべての表に少なくとも 1 つの機能が紐づいている
HD-23	F-AZ-06	アクセス制御	管理操作の3段階権限確認	必須	アプリ移管	事故防止	権限が無くなれば突き合わせる対象も消える	—（構成に依存しない）	対象	上記の対応表と権限の設計に食い違いがないかを突き合わせる	突合結果。権限がないのに更新できる組み合わせがないことが確認されている
HD-24	F-PROV-10	退職者の遮断と復職対応（停止・再開の伝播）	利用者の停止（消さずに無効化）	必須	基盤（縮小）	事故防止	止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	記録を 7 年保管	対象	データを何年保ち、いつ消すかの設計	保持設計。保存年数・消去の起算日・消去方法が定まっている
HD-25	F-AZ-01	権限情報の提供	権限情報の一括取得	アプリ分担	基盤（縮小）	業務ルール依存	権限以外の自前データにも索引は要るため、対象が減るだけで消えはしない	—（構成に依存しない）	対象	検索を速くするための索引と、大きな表の分割方法を決める	索引・分割設計。想定する検索が目標時間内に収まる根拠がある
HJ-01a	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	必須	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	認証製品を 2 つ持つ	対象	顧客をまとめる単位と区画の構成を決める（外部連携を受ける側）	構成設計書。顧客の収容方法と区画の分け方が定まっている
HJ-01b	F-AUTH-01	ローカル認証	ローカルログイン	必須	基盤	利用者が 1 箇所になり不要	収容側の構成設計。受付側（HJ-01a）に統合されるため単独では不要	認証製品を 2 つ持つ	対象外（Realm 統合）	顧客をまとめる単位と区画の構成を決める（利用者を直接収容する側）	構成設計書。収容方法と区画の分け方が定まっている
HJ-02a	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	必須	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	認証製品を 2 つ持つ	対象	ログイン処理の組み立て順序を決める（外部連携を受ける側の 3 系統）	処理順序の設計書。3 系統それぞれの分岐が図で示されている
HJ-02b	F-AUTH-01	ローカル認証	ローカルログイン	必須	基盤	利用者が 1 箇所になり不要	収容側のログイン処理の順序設計。受付側（HJ-02a）に統合される	認証製品を 2 つ持つ	対象外（Realm 統合）	ログイン処理の組み立て順序を決める（利用者を直接収容する側の 2 系統）	処理順序の設計書。2 系統それぞれの分岐が図で示されている
