シート	ID	種別	列	旧	新
機能名一覧	F-AUTH-09	変更	概要	基盤内部で 2 段構えになっていた認証システム同士の連携。Realm 統合により対象外	Keycloak-Broker から見て Keycloak-IdP を顧客IdP の 1 つ（共有エントリ）として接続する。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値を含む。Keycloak-IdP 側の Client・Realm 設定は要求仕様としてアプリチームへ渡す（2026-09-07 復活: 2 台構成に戻したため）
機能名一覧	F-AUTH-09	変更	アプリ	-	△
機能名一覧	F-AUTH-01	変更	概要	顧客側に認証システムが無い顧客のユーザと、基盤の運用者が、ID とパスワードで直接ログインする	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤
機能名一覧	F-AUTH-01	変更	アプリ	-	△
機能名一覧	F-PROV-12	変更	概要	片方で止めた事実をもう一方へ必ず伝える。Realm 統合により対象外	片方で止めた事実をもう一方へ必ず伝える。2026-09-07 決定: 伝播しない。Keycloak-IdP 側で止めた後の残存は Keycloak-Broker のセッション上限（12 時間）で受容する
機能名一覧	F-PROV-13	変更	概要	再開も止めたときと同じ経路で伝える。Realm 統合により対象外	再開も止めたときと同じ経路で伝える。2026-09-07 決定: 伝播しない。Keycloak-IdP 側で止めた後の残存は Keycloak-Broker のセッション上限（12 時間）で受容する
機能名一覧	F-BAT-02	変更	概要	止めた事実が確実に伝わったかを短い間隔で突き合わせる。Realm 統合により対象外	止めた事実が確実に伝わったかを短い間隔で突き合わせる。2026-09-07 決定: 伝播しない。Keycloak-IdP 側で止めた後の残存は Keycloak-Broker のセッション上限（12 時間）で受容する
機能名一覧	F-BAT-01	変更	概要	長期間ログインのないユーザを自動で使えない状態にする定期処理	長期間（90 日）ログインのないユーザを自動で使えない状態にする定期処理。顧客IdP 経由で自動作成したユーザのみが対象で、Keycloak-IdP 収容ユーザと顧客システム連携ユーザは対象外
機能名一覧	F-AUTH-28	変更	概要	利用規約などへの同意を画面で取り、いつ誰がどの版に同意したかを記録する	利用規約などへの同意を画面で取り、いつ誰がどの版に同意したかを記録する。要否は顧客回答待ち（D-22）
機能名一覧	F-AUTH-29	追加	—		Keycloak-IdP 側の引き渡しと責任分界
機能名一覧	F-INT-14	追加	—		管理 API の内部公開（idm-api 向け）
機能名一覧	NF-OPS-11	追加	—		運用者アカウントと権限の保護
WBS(基本設計)	HJ-20	変更	機能名	Keycloak-IdP 収容ユーザのログイン	Keycloak-IdP 側の引き渡しと責任分界
WBS(基本設計)	HJ-20	変更	機能ID	F-AUTH-01	F-AUTH-29
WBS(基本設計)	HJ-10b	変更	スコープ	対象外：Keycloak-Brokerを 1 つに統合	対象外：Keycloak-IdP 側の責務
WBS(基本設計)	HJ-10b	変更	判断根拠	ユーザが 1 箇所になり不要	構成の前提
WBS(基本設計)	HJ-10b	変更	根拠の補足	収容側の設定値一覧。受付側（HJ-10a）に統合される	Keycloak-IdP 側の設定値はアプリチームが決める。本基盤が求める値は接続仕様（HE-23）に限る
WBS(基本設計)	HB-F-AUTH-01	変更	概要	ユーザ ID とパスワードで直接ログインする機能。顧客側に認証システムがない顧客のユーザと、基盤の運用担当者が使う	本基盤の運用者が Keycloak-Broker に ID とパスワード＋WebAuthn で直接ログインする機能。顧客のユーザ分（Keycloak-IdP 収容）はアプリ側の仕様とし、本仕様書は運用者分のみ
WBS(基本設計)	HB-F-AUTH-01	変更	成果物と完了条件	機能仕様書 1 本。パスワード桁数・履歴・初回変更の扱いと、失敗時にユーザへ返す内容が定義されレビュー承認済み	機能仕様書 1 本。運用者の認証手段・失敗時にユーザへ返す内容が定義されレビュー承認済み（パスワード桁数等の顧客ユーザ向け規則は対象外）
WBS(基本設計)	HB-F-AUTH-01	変更	根拠の補足	顧客側に認証の仕組みが無い場合の受け皿で、顧客IdPを持たない顧客の受け皿として成立させる前提	Keycloak-Broker にローカルで残るのは運用者だけ。顧客ユーザのパスワード規則は Keycloak-IdP（アプリ責務）
WBS(基本設計)	HB-F-AUTH-09	追加	—		機能仕様書: Keycloak-IdP へのログイン委譲
WBS(基本設計)	HE-23	追加	—		Keycloak-Broker ⇄ Keycloak-IdP 接続仕様（要求仕様としてアプリチームへ渡す）
WBS(基本設計)	HI-11	追加	—		接続仕様のアプリチームとの合意
WBS(基本設計)	D-21	追加	—		Keycloak-IdP 側の非機能責任表（可用性・復旧・監視・更新・鍵・ログ）
WBS(基本設計)	HG-09	追加	—		運用者アカウントの認証と権限モデル（WebAuthn 必須・常時全権の禁止・緊急時との関係）
WBS(基本設計)	HB-F-BAT-01	追加	—		機能仕様書: 長期未使用者の自動停止（90 日）
WBS(基本設計)	HJ-22	追加	—		自社拡張と実行イメージの供給網対策（依存の検査・署名・部品一覧）
WBS(基本設計)	HH-06	追加	—		運用設計：不正兆候の検知項目と通知
WBS(基本設計)	HE-24	追加	—		管理 API の内部公開経路と呼び出し元の権限範囲
WBS(基本設計)	HK-10	追加	—		境界（WAF・NWFW）への要求仕様書／渡す相手: 境界を管理する組織
