機能グループ	機能名	① 基本設計	② 詳細設計	③ 製造	合計	②③ 行数
ログイン振り分け（HRD）	接続先の自動振り分け	3	4	7	14	4
ログイン振り分け（HRD）	振り分け失敗時のパスワード入力への切替	0.5	0	1.5	2	1
ログイン振り分け（HRD）	接続先の選択（1 テナントに複数 IdP）	0.5	0	1.5	2	1
フェデレーションログイン	顧客認証システムへのログイン委譲（OIDC）	13.5	9	12	34.5	6
フェデレーションログイン	顧客認証システムへのログイン委譲（SAML）	4.5	7.5	6	18	5
フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	1	4	5	10	4
フェデレーションログイン	ログイン時の属性更新	0.5	1.5	2	4	2
ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	2	2	8	12	3
セッション・ログアウト	ログイン状態の保持とタイムアウト	5	4	3	12	4
セッション・ログアウト	アプリへのログアウト連携	4	3	3.5	10.5	3
ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	4	6	11	21	4
ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の更新	0.75	1	0	1.75	1
ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 削除通知（無効化へ読み替え）	1	1	1.5	3.5	2
ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の検索	0.5	2	0	2.5	1
ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: グループ連携	0.5	0	0	0.5	0
ユーザ属性の統一	項目名の変換・統一	3	3	3	9	2
ユーザ属性の統一	登録経路の区分判定	0.75	1.5	1.5	3.75	2
ユーザの停止・再開・消去	利用者の停止（消さずに無効化）	0.75	1.5	2	4.25	2
ユーザの停止・再開・消去	停止済み利用者の再開	0.75	0.5	1	2.25	2
顧客・組織管理	顧客の解約	1	1.5	1.5	4	2
接続先（顧客 IdP）管理	接続設定の変更・証明書更新	3	2	3	8	2
権限管理	顧客番号と基盤識別子の対応づけ	3	2	2	7	2
認可・権限判定	通行証（JWT）に載せる項目の定義	4	4	4.5	12.5	4
認可・権限判定	テナント越境の防止（認証製品側）	0.5	1.5	2.5	4.5	3
アプリ・外部連携	アプリの接続登録（クライアント登録）	1	2	4	7	3
業務システム連携（ServiceNow）	業務システムへの認証提供	7	5	6	18	4
業務システム連携（ServiceNow）	業務システム側の利用者自動作成	2	0	2	4	1
業務システム連携（ServiceNow）	業務システムから他アプリへの連携	1	0	1	2	1
監査・記録	監査ログの取得・保管方式	2	4	4.5	10.5	4
鍵・証明書管理	署名鍵の定期入れ替え	2.5	2	3	7.5	3
鍵・証明書管理	接続用パスワードの定期入れ替え	0.5	1.5	2	4	2
鍵・証明書管理	証明書期限の監視	0.5	1.5	2	4	2
非機能: システム構成	全体構成（論理・物理）	2	2	2	6	2
非機能: システム構成	ネットワーク構成	4	5	12	21	3
非機能: システム構成	クラスタ構成	2	4	15	21	4
非機能: システム構成	Realm・ブランド区画構成	4	3	4	11	2
非機能: システム構成	環境構成（本番 / stg / dev）	1	2	10	13	3
非機能: システム構成	データベース設計（ブローカー）	3	5	0	8	2
非機能: 性能・拡張性	性能目標・チューニング方針	4	3	3	10	2
非機能: 性能・拡張性	キャパシティ・データ量見積	5	2	1	8	2
非機能: 性能・拡張性	同時実行・上限値の設定	3	2	2	7	2
非機能: 性能・拡張性	性能試験の計画	4	2	2	8	2
非機能: 可用性・災害対策	災害対策（別地域への切替）	11.5	9	22	42.5	7
非機能: 可用性・災害対策	バックアップ・復元	2	2	4	8	2
非機能: 可用性・災害対策	稼働率・復旧目標（SLA / SLO）	1	0	0	1	0
非機能: セキュリティ	攻撃経路と対策	4	3	6	13	3
非機能: セキュリティ	鍵・暗号化の管理方式	3	3	4	10	2
非機能: セキュリティ	個人情報の取り扱い	3	2	3	8	2
非機能: 運用・監視	監視項目・閾値・通知	3	3	8	14	2
非機能: 運用・監視	運用体制・当番	1	0	1	2	1
非機能: 運用・監視	運用手順書	2	0	1	3	1
非機能: 運用・監視	緊急時の管理者アクセス	0.5	1.5	2	4	2
非機能: 運用・監視	製品更新・保守	5	6	7	18	4
非機能: 移行・環境	開発・検証環境	1	0	0	1	0
非機能: 移行・環境	既存からの移行	1.5	2	2	5.5	2
非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	3.5	3	2	8.5	2
非機能: 設計標準・規約	API 設計規約	2	2	0	4	1
非機能: 設計標準・規約	命名・構成管理規約	1.5	2	4	7.5	2
非機能: 設計管理	設計書の総則・前提・用語	2.5	1.5	0	4	1
非機能: 設計管理	トレーサビリティ	7	3	2	12	2
非機能: 設計管理	設計レビュー・説明会	15	9	6	30	2
非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	1	2	4	7	2
非機能: 提供ドキュメント	顧客向け説明資料	3	0	0	3	0
