系統	機能グループ	機能名	機能ID	概要	基盤	アプリ	行数	人日	うち対象
認証	ログイン振り分け（HRD）	顧客IdPの自動振り分け	F-AUTH-02	ログイン画面で入力された ID から、その人がどの顧客IdPのユーザかを判定し、自動で振り分ける	○	-	2	3	3
認証	ログイン振り分け（HRD）	振り分け失敗時のパスワード入力への切替	F-AUTH-03	顧客IdPを判定できなかったときに、パスワード入力欄に切り替えて処理を続ける逃げ道	○	-	1	0.5	0.5
認証	ログイン振り分け（HRD）	顧客IdPの選択（1 顧客に複数）	F-AUTH-04	1 つの顧客に顧客IdPが複数ある場合に、ユーザにどれを使うか選ばせる	○	-	1	0.5	0.5
認証	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	F-AUTH-05	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	○	-	9	15.5	13.5
認証	フェデレーションログイン	顧客IdPへのログイン委譲（SAML）	F-AUTH-06	顧客が持つ認証システムに SAML で認証を委ね、その結果を受け取ってログインさせる	○	-	3	6.5	4.5
認証	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	F-PROV-01	顧客IdP経由で初めてログインした人を、その場で Keycloak-Broker のユーザとして作成する	○	-	1	1	1
認証	フェデレーションログイン	ログイン時の属性更新	F-PROV-02	2 回目以降のログインで、顧客側の最新情報を使って属性を更新する	○	-	1	0.5	0.5
認証	フェデレーションログイン	初回ログイン時の権限側への識別子連携	F-PROV-14	初めてログインした人の識別子を、権限を管理する側へ知らせる	-	○	0	0	0
認証	フェデレーションログイン	初回ログイン時の権限側の受け皿作成	F-PROV-15	権限管理側に、まだ権限が設定されていないユーザの受け皿となる行を作る	-	○	0	0	0
認証	フェデレーションログイン	Keycloak-Broker と Keycloak-IdP の連携	F-AUTH-09	Keycloak-Broker から見て Keycloak-IdP を顧客IdP の 1 つ（共有エントリ）として接続する。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値を含む。Keycloak-IdP 側の Client・Realm 設定は要求仕様としてアプリチームへ渡す（2026-09-07 復活: 2 台構成に戻したため）	○	△	3	4.5	4.5
認証	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	F-AUTH-01	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	○	△	2	2.5	0.5
認証	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 側の引き渡しと責任分界	F-AUTH-29	Keycloak-IdP 用の基盤（ROSA）をどこまで作って渡すか、渡した後の非機能（可用性・復旧・監視・更新・鍵・ログ）を誰が持つか。本基盤は ROSA の引き渡しまで、以降はアプリ責務	○	△	2	3	3
認証	多要素認証	追加認証（数字コード）	F-AUTH-10	スマートフォンアプリで生成する 6 桁の数字による追加認証	○	-	1	0.5	0
認証	多要素認証	追加認証（生体・セキュリティキー）	F-AUTH-11	端末の生体認証やセキュリティキーを使った追加認証。Keycloak-Broker の推奨方式	○	-	0	0	0
認証	多要素認証	追加認証の登録（数字コード）	F-AUTH-12	スマートフォンアプリの追加認証を初めて登録する流れ	○	-	1	0.5	0
認証	多要素認証	追加認証の登録（生体・セキュリティキー）	F-AUTH-13	生体認証やセキュリティキーを初めて登録する流れ	○	-	0	0	0
認証	多要素認証	2 台目の認証器登録時の本人再確認	F-AUTH-14	2 台目以降の認証器を登録するとき、すでに持っている認証器で本人確認してから登録させる	○	-	0	0	0
認証	多要素認証	追加認証の解除（管理者）	F-ADM-09	管理者がユーザの追加認証の登録を解除する。端末紛失時の復旧に使う	△	△	0	0	0
認証	多要素認証	重要操作時の追加認証	F-AUTH-17	重要な操作の直前に追加の認証を求める。ステップアップ認証は不要と決定したため対象外	○	-	0	0	0
認証	パスワード・アカウント復旧	パスワードの自己再設定	F-AUTH-18	ユーザが自分でパスワードを再設定する	○	-	0	0	0
認証	パスワード・アカウント復旧	パスワード変更・初回強制変更	F-AUTH-19	パスワードの変更と、初回ログイン時に変更を強制する動き	○	-	0	0	0
認証	パスワード・アカウント復旧	パスワード初期化（管理者）	F-ADM-07	管理者がユーザのパスワードを初期化する	△	△	0	0	0
認証	パスワード・アカウント復旧	復旧用コードの発行・利用	F-AUTH-15	端末を失くしたときに使う一度きりのコードを発行し、利用させる	○	-	0	0	0
認証	パスワード・アカウント復旧	メールを持たない人の復旧	F-AUTH-16	メールアドレスを持たないユーザが端末を失くした場合の復旧手段。管理者の承認を経て復旧する	○	-	0	0	0
認証	不正アクセス対策	連続失敗時の一時締め出し	F-AUTH-20	パスワードの連続失敗を検知して一時的に受け付けなくする	○	-	0	0	0
認証	不正アクセス対策	ユーザの存在推測の防止	F-AUTH-21	その ID が実在するかが応答の違いから分からないようにする。1 件ずつ試して実在者を割り出されるのを防ぐ	○	-	1	1	1
認証	不正アクセス対策	流出パスワードの使用拒否	F-AUTH-22	入力されたパスワードが過去に流出したものでないかを確認し、該当する場合は使わせない	○	-	0	0	0
認証	セッション・ログアウト	ログイン状態の保持とタイムアウト	F-AUTH-23	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	○	-	3	5	5
認証	セッション・ログアウト	アプリへのログアウト連携	F-AUTH-24	1 箇所でログアウトしたとき、他のアプリのログイン状態も切る仕組み	○	-	2	4	4
認証	セッション・ログアウト	強制ログアウト（管理者）	F-ADM-10	管理者がユーザのログイン状態を強制的に終了させる。個別・顧客単位・全体の 3 段階	△	△	0	0	0
認証	ログイン画面・エラー画面	ログイン画面の表示（ブランド・並び順）	F-AUTH-25	ログイン画面の見せ方。ブランドごとの表示切替と、顧客IdPの並び順	○	-	1	1	1
認証	ログイン画面・エラー画面	エラー・案内画面（Keycloak-Broker）	F-AUTH-26	Keycloak-Brokerが出すエラー・案内の画面。ログインや振り分けに失敗したときの文言と誘導	○	-	1	1	1
認証	ログイン画面・エラー画面	エラー・案内画面（アプリ）	F-AUTH-27	アプリ側が出す案内画面。権限が無い（403）ときの Sorry 画面への誘導規約	○	-	0	0	0
認証	同意管理	利用規約への同意取得と記録	F-AUTH-28	利用規約などへの同意を画面で取り、いつ誰がどの版に同意したかを記録する。要否は顧客回答待ち（D-22）	△	△	1	0.5	0.5
ユーザ管理	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの登録	F-PROV-03	顧客の人事システムや IdP から SCIM でユーザの新規登録を受け取る	○	-	2	4	4
ユーザ管理	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの更新	F-PROV-04	SCIM で顧客側からのユーザ情報の変更を受け取って反映する	○	-	1	0.75	0.75
ユーザ管理	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 削除通知（無効化へ読み替え）	F-PROV-05	SCIM で顧客側からの削除通知を受け取り、基盤側では消さずに使えない状態にする	○	-	1	1	1
ユーザ管理	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの検索	F-PROV-06	SCIM で顧客側からユーザを検索・絞り込みで問い合わせられるようにする	○	-	1	0.5	0.5
ユーザ管理	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: グループ連携	F-PROV-07	SCIM で顧客側のグループ情報を受け取る。初期リリースでは対象外	○	-	1	0.5	0.5
ユーザ管理	ユーザ属性の統一	項目名の変換・統一	F-PROV-08	顧客ごとにバラバラな項目名を基盤内の統一名に変換して取り込む。統一名の辞書と 顧客IdPごとの変換表を含む	○	-	2	3	3
ユーザ管理	ユーザ属性の統一	登録経路の区分判定	F-PROV-09	そのユーザがどの経路（JIT / SCIM / 管理画面 / アプリ API / 運用者 / 移行）で登録されたかを区別する	△	△	1	0.75	0.75
ユーザ管理	ユーザの停止・再開・消去	ユーザの停止（消さずに無効化）	F-PROV-10	ユーザを削除せず使えない状態にし、停止日時を記録する	○	-	1	0.75	0.75
ユーザ管理	ユーザの停止・再開・消去	停止済みユーザの再開	F-PROV-11	一度止めたユーザを再び使えるようにする。誤って復活させない条件を含む	○	-	1	0.75	0.75
ユーザ管理	ユーザの停止・再開・消去	長期未使用者の自動停止	F-BAT-01	長期間（90 日）ログインのないユーザを自動で使えない状態にする定期処理。顧客IdP 経由で自動作成したユーザのみが対象で、Keycloak-IdP 収容ユーザと顧客システム連携ユーザは対象外	○	-	1	1	1
ユーザ管理	ユーザの停止・再開・消去	保存期限切れデータの消去	F-BAT-09	保存期限を過ぎたデータを実際に消去する。初期リリースでは準備のみ	○	-	1	1.5	1.5
