シート	現在の ID	新しい ID	機能グループ	項目
WBS(詳細設計_製造)	DDB-16	DDB-05	不正アクセス対策	応答の同一化と試行回数の制限の実装設計
WBS(詳細設計_製造)	MKB-28	MKB-07	不正アクセス対策	応答の同一化と試行回数の制限の実装
WBS(詳細設計_製造)	MKI-18	MKI-05	不正アクセス対策	単体試験: 応答の同一化と試行回数の制限
WBS(詳細設計_製造)	MKB-07	MKB-08	セッション・ログアウト	ログイン状態の保持とタイムアウトの設定
WBS(詳細設計_製造)	MKI-05	MKI-06	セッション・ログアウト	単体試験: ログイン状態の保持
WBS(詳細設計_製造)	MKB-08	MKB-09	セッション・ログアウト	ログアウト連携の設定
WBS(詳細設計_製造)	MKI-06	MKI-07	セッション・ログアウト	単体試験: ログアウト連携
WBS(詳細設計_製造)	MKC-04	MKC-03	ログイン画面・エラー画面	識別子の入力画面の実装
WBS(詳細設計_製造)	MKI-16	MKI-08	ログイン画面・エラー画面	単体試験: 識別子の入力画面
WBS(詳細設計_製造)	MKC-05	MKC-04	ログイン画面・エラー画面	エラー・案内画面の実装
WBS(詳細設計_製造)	MKI-07	MKI-09	ユーザ登録（顧客システム連携・SCIM）	単体試験: 受信窓口
WBS(詳細設計_製造)	MKB-09	MKB-10	ユーザ属性の統一	属性の宣言と変換の設定
WBS(詳細設計_製造)	DDB-05	DDB-06	ユーザ属性の統一	登録経路の区分の実装設計
WBS(詳細設計_製造)	MKB-10	MKB-11	ユーザ属性の統一	登録経路の区分の実装
WBS(詳細設計_製造)	DDB-06	DDB-07	ユーザの停止・再開・消去	停止と再開の実装設計
WBS(詳細設計_製造)	MKB-11	MKB-12	ユーザの停止・再開・消去	停止と再開の実装
WBS(詳細設計_製造)	DDB-07	DDB-08	ユーザの停止・再開・消去	再開の条件判定の実装設計
WBS(詳細設計_製造)	MKB-12	MKB-13	ユーザの停止・再開・消去	再開の実装
WBS(詳細設計_製造)	DDB-14	DDB-09	顧客・組織管理	顧客と接続先の登録手順の実装設計
