要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
FR-INT-006	管理 REST API	管理のための API があること	F-INT-14	管理 API の内部公開（idm-api 向け）	アプリ側の管理 API（idm-api）が Keycloak-Broker の管理 API を呼ぶための内部経路と、呼び出し元の資格・許す操作の範囲。ユーザの停止・全セッション破棄など管理画面からの操作はここを通る	インフラ（本基盤）	全工程あり
FR-INT-006	管理 REST API	管理のための API があること	NF-STD-02	API 設計規約	API の命名・エラーの返し方・件数の区切り方・冪等・版管理と廃止方針	インフラ（本基盤）	全工程あり
FR-INT-007-a	API 入口での JWT 検証との統合（アプリの実装）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	アプリ（業務アプリ）	アプリ側で実施
FR-INT-007-b	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	F-AZ-10	JWT に載せる項目の定義	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	インフラ（本基盤）	全工程あり
FR-INT-007-b	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	F-BAT-04	署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
FR-INT-007-b	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	インフラ（本基盤）	全工程あり
FR-INT-008	監査ログ外部出力（CloudWatch / S3 / Kinesis）	監査の記録を外部へ出力できること	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
FR-INT-009	監査ログ SIEM 連携（Splunk / Datadog）	監査の記録を分析製品へ連携できること	—	—（本基盤に作る機能なし）	共通基盤側の範囲	—	Phase 1 では作らない
FR-INT-010	Terraform / IaC 管理	構成をコードで管理できること	NF-STD-04	命名・構成管理規約	リソース・API・DB の命名と、構成をコードで管理するときの規約	インフラ（本基盤）	全工程あり
NFR-AVL-001	サービス稼働率 SLA	顧客に約束する稼働率を定めて満たすこと	NF-AVL-03	稼働率・復旧目標（SLA / SLO）	顧客に約束する稼働率と復旧目標、および約束しない範囲	インフラ（本基盤）	🔺 一部の工程のみ
NFR-AVL-002	計画メンテナンス窓	計画的に止める時間の枠を定めること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-AVL-003	マルチ AZ 配置	複数の区画に分けて配置し、片方が落ちても動くこと	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-AVL-003	マルチ AZ 配置	複数の区画に分けて配置し、片方が落ちても動くこと	NF-AVL-02	バックアップ・復元	誤操作やデータの壊れからの復元手順。同一地域内で行う	インフラ（本基盤）	全工程あり
NFR-AVL-004	自動復旧（コンテナ障害）	部品が落ちたときに自動で立ち上がり直すこと	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-AVL-005	単一障害点の排除	1 か所が落ちると全部止まる箇所を無くすこと	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-AVL-005	単一障害点の排除	1 か所が落ちると全部止まる箇所を無くすこと	NF-ARC-07	データベース設計（Keycloak-Broker）	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	インフラ（本基盤）	全工程あり
NFR-AVL-006	デプロイ時のダウンタイム	入れ替えのときにログインを止めないこと	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-PERF-001	認証応答時間（P50 / P95 / P99）	ログインの応答時間が目標に収まること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-002	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	F-PROV-03	SCIM 受信: ユーザの登録	顧客の人事システムや IdP から SCIM でユーザの新規登録を受け取る	インフラ（本基盤）	全工程あり
NFR-PERF-002	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-002	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	NF-PRF-03	同時実行・上限値の設定	同時に受け付ける数の上限や、重い処理が他を止めないための設定	インフラ（本基盤）	全工程あり
NFR-PERF-003-a	API 入口での JWT 検証の応答時間（アプリ側）（アプリの実装）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	アプリ（業務アプリ）	アプリ側で実施
NFR-PERF-003-b	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	F-AZ-10	JWT に載せる項目の定義	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	インフラ（本基盤）	全工程あり
NFR-PERF-003-b	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	F-BAT-04	署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
NFR-PERF-003-b	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	インフラ（本基盤）	全工程あり
NFR-PERF-004	JWT 検証スループット	JWT の検証を目標の件数まで捌けること	F-AZ-10	JWT に載せる項目の定義	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	インフラ（本基盤）	全工程あり
NFR-PERF-004	JWT 検証スループット	JWT の検証を目標の件数まで捌けること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-005	JWKS キャッシュ TTL	署名鍵の取得結果を一定時間持ち回して負荷を下げること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-PERF-005	JWKS キャッシュ TTL	署名鍵の取得結果を一定時間持ち回して負荷を下げること	NF-STD-01	共通方式（エラー・ログ・整合・排他ほか）	エラー処理・ログ出力・整合性・排他制御・キャッシュ・採番・文字コード・多言語の共通方針	インフラ（本基盤）	全工程あり
NFR-PERF-006	流量制限（同時受付数の上限）	過大な要求を受けたときに Keycloak-Broker 側で流量を絞れること（API Gateway は使わない。境界側の流量制限は NFR-SEC-011）	NF-PRF-03	同時実行・上限値の設定	同時に受け付ける数の上限や、重い処理が他を止めないための設定	インフラ（本基盤）	全工程あり
NFR-PERF-007	認証ピーク時間帯への耐性	始業時などの山に耐えられること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-007	認証ピーク時間帯への耐性	始業時などの山に耐えられること	NF-PRF-04	性能試験の計画	どの経路をどれだけの負荷で測るかの計画	インフラ（本基盤）	全工程あり
NFR-PERF-008	DB 応答時間（Keycloak のみ）	データベースの応答時間が目標に収まること	NF-ARC-07	データベース設計（Keycloak-Broker）	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SCL-001	MAU スケール上限	想定するユーザ数まで伸ばせること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-SCL-002	ピーク時同時セッション数	同時にログインしている数の山に耐えられること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-SCL-002	ピーク時同時セッション数	同時にログインしている数の山に耐えられること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-SCL-003	顧客テナント数（IdP 数）スケール	顧客IdP の数が増えても捌けること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
NFR-SCL-003	顧客テナント数（IdP 数）スケール	顧客IdP の数が増えても捌けること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-SCL-004-a	IdP 追加リードタイム（本基盤側の作業）	顧客IdP を追加してから使えるまでの時間が目標に収まること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SCL-004-b	IdP 追加リードタイム（境界側の外向き許可）	顧客IdP を追加してから使えるまでの時間が目標に収まること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	他組織（境界・共通基盤）	他組織で実施
NFR-SCL-005	自動スケーリング	負荷に応じて自動で増減すること	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-SCL-006	マルチリージョン対応（複数地域での同時稼働）	複数の地域で同時に動かせること	—	—（本基盤に作る機能なし）	災害対策の結論に従属。Phase 1 では別地域は待機のみ	—	Phase 1 では作らない
NFR-SCL-007	データベーススケール（Keycloak）	データベースを増強できること	NF-ARC-07	データベース設計（Keycloak-Broker）	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-001	通信暗号化	通信が暗号化されていること	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-001	通信暗号化	通信が暗号化されていること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-SEC-002	データ暗号化（at-rest）	保管したデータが暗号化されていること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-SEC-002	データ暗号化（at-rest）	保管したデータが暗号化されていること	NF-SEC-03	個人情報の取り扱い	運用委託先や記録から個人情報が漏れないようにする方式	インフラ（本基盤）	全工程あり
NFR-SEC-003	トークン署名アルゴリズム	JWT の署名方式が安全なものであること	F-AZ-10	JWT に載せる項目の定義	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	インフラ（本基盤）	全工程あり
NFR-SEC-003	トークン署名アルゴリズム	JWT の署名方式が安全なものであること	F-BAT-04	署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
NFR-SEC-004	Access Token TTL	JWT の有効期限が適切に短いこと	F-AZ-10	JWT に載せる項目の定義	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	インフラ（本基盤）	全工程あり
NFR-SEC-005	Refresh Token TTL	更新用の資格の有効期限が定められていること。設定上限は 30 日だが、実効はセッションの上限（12 時間）に従属する	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
NFR-SEC-006	ID Token TTL	本人確認結果の有効期限が定められていること	F-AZ-10	JWT に載せる項目の定義	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	インフラ（本基盤）	全工程あり
NFR-SEC-007	Refresh Token Rotation	更新用の資格を使うたびに入れ替えること	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
NFR-SEC-008	トークン失効（Revocation）	発行済みの資格を失効させられること（アクセストークンの残存 30 分は FR-SSO-009 と同じ）	F-PROV-10	ユーザの停止（消さずに無効化）	ユーザを削除せず使えない状態にし、停止日時を記録する	インフラ（本基盤）	全工程あり
NFR-SEC-009	パスワード保管アルゴリズム	パスワードを安全な方式で保管すること	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	F-AUTH-02	顧客IdPの自動振り分け	ログイン画面で入力された ID から、その人がどの顧客IdPのユーザかを判定し、自動で振り分ける	インフラ（本基盤）	全工程あり
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	F-AUTH-21	ユーザの存在推測の防止	その ID が実在するかが応答の違いから分からないようにする。1 件ずつ試して実在者を割り出されるのを防ぐ	インフラ（本基盤）	全工程あり
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	F-AUTH-26	エラー・案内画面（Keycloak-Broker）	Keycloak-Brokerが出すエラー・案内の画面。ログインや振り分けに失敗したときの文言と誘導	インフラ（本基盤）	全工程あり
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	全工程あり
NFR-SEC-011-a	WAF 適用（境界側の実装）	外部からの攻撃を入口で遮ること（WAF）	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-011-a	WAF 適用（境界側の実装）	外部からの攻撃を入口で遮ること（WAF）	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-011-b	WAF 適用（要求仕様と受入確認）	外部からの攻撃を入口で遮ること（WAF）	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-011-b	WAF 適用（要求仕様と受入確認）	外部からの攻撃を入口で遮ること（WAF）	NF-ARC-06	他組織との構成調整	インターネット境界を管理する他組織との要求事項のやり取りと合意	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-011-b	WAF 適用（要求仕様と受入確認）	外部からの攻撃を入口で遮ること（WAF）	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-012-a	DDoS 対策（境界側の実装）	大量の通信で止められないようにすること	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-012-a	DDoS 対策（境界側の実装）	大量の通信で止められないようにすること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-012-b	DDoS 対策（要求仕様と受入確認）	大量の通信で止められないようにすること	NF-ARC-06	他組織との構成調整	インターネット境界を管理する他組織との要求事項のやり取りと合意	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-012-b	DDoS 対策（要求仕様と受入確認）	大量の通信で止められないようにすること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-013	ペネトレーションテスト	疑似攻撃検査を定期的に受けること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	全工程あり
NFR-SEC-014	脆弱性スキャン	部品の弱点を定期的に検査すること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-SEC-015	シークレット管理	接続用パスワードや鍵を安全に保管すること	F-BAT-05	接続用パスワードの定期入れ替え	アプリごとの接続用パスワードを定期的に入れ替える	インフラ（本基盤）	全工程あり
NFR-SEC-015	シークレット管理	接続用パスワードや鍵を安全に保管すること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-SEC-016	ネットワーク分離（Private Subnet）	外から直接触れない区画に置くこと	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-017	管理画面アクセス制御	管理のための入口を限られた元からだけ通すこと	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-017	管理画面アクセス制御	管理のための入口を限られた元からだけ通すこと	NF-OPS-04	緊急時の管理者アクセス	通常経路が使えないときに管理者が入る仕組み	インフラ（本基盤）	全工程あり
NFR-SEC-018	JWKS エンドポイント保護	署名鍵の公開先を守ること	NF-ARC-06	他組織との構成調整	インターネット境界を管理する他組織との要求事項のやり取りと合意	インフラ（本基盤）	全工程あり
NFR-SEC-018	JWKS エンドポイント保護	署名鍵の公開先を守ること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	全工程あり
