WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態
A-1.7	調査計画：仮定値の根拠整理	実機検証・照会	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	構成が成立するかの確認で、機能を減らしても確かめる必要は残る	対象	新規: 自社構築	接続先の数を実測せず仮定値のまま設計を進めるため、その根拠と、あとで見直す条件を文書に残す	根拠の整理メモ。仮定値の出どころと見直しの判断基準が明記されている	未着手
A-3.1	調査計画：SCIM 受信窓口の試作	実機検証・照会	F-PROV-03	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの利用者登録	基盤チーム	アプリチーム	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	対象	新規: 機能追加	顧客の認証システムから利用者情報を受け取る窓口を、最小限の形で試作する	試作品。受信・認証・顧客の振り分けが動作する	未着手
A-3.2	調査計画：SCIM 適合検査に通るか	実機検証・照会	F-PROV-03	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの利用者登録	基盤チーム	アプリチーム	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	対象	新規: 機能追加	大手 2 社が提供する適合検査ツールに、試作した窓口が合格するかを確かめる	合格記録。不合格項目がある場合は原因と対処方針が整理されている	未着手
A-3.3	調査計画：SCIM の作成・更新・削除の写像	実機検証・照会	F-PROV-10	退職者の遮断と復職対応（停止・再開の伝播）	利用者の停止（消さずに無効化）	基盤チーム	アプリチーム	事故防止	止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	対象	新規: 機能追加	顧客側からの削除通知を「消さずに無効化」へ読み替える設計を詰める	写像設計。削除通知を受けたときの状態変化が定義されている	未着手
A-6.1	調査計画：顧客 IdP 実機①（仮の IdP）との差	実機検証・照会	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	実際の顧客認証システム 1 社と接続し、受け取る情報が想定どおりかを確かめる。仮の IdP を用意して実施	確認結果。項目名・形式の差が一覧化され、設計に反映できる	未着手
A-6.2	調査計画：顧客 IdP 実機②（仮の IdP・SAML）との差	実機検証・照会	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	もう 1 社と接続し、差分を確かめる。旧方式での接続もあわせて確認する。仮の IdP を用意して実施	確認結果。2 社の差と旧方式の差が一覧化されている	未着手
A-6.3	調査計画：実機での拡張の発火と記録	実機検証・照会	F-AUTH-05, F-AUTH-08	フェデレーション	顧客認証システムへのログイン委譲／ログイン後の属性取り込み	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	実際の顧客認証システム経由で拡張機能が動き、多要素認証の実施記録が正しく載るかを確かめる。仮の IdP を用意して実施	確認結果。記録が載ることが確認され、載らない場合の対処が判断できる	未着手
A-6.4	調査計画：実機差の設計反映	実機検証・照会	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	確認で見つかった差を、属性の対応づけと振り分けの設計へ反映する。仮の IdP を用意して実施	反映済みの設計。差分がすべて設計に取り込まれている	未着手
A-13	調査計画：メール非保有者の 3 経路完走	実機検証・照会	F-AUTH-16	アカウント復旧・パスワード	メールを持たない人の復旧	基盤チーム	アプリチーム	代替手段あり	件数が少ない前提なら管理者が代行でき、自己解決の仕組みは後回しにできる	対象	新規: 機能追加	メールアドレスを持たない利用者について、3 つの登録経路が最後まで通るかを確かめる	確認結果。3 経路すべてが完走し、既知の不具合を回避できることが確認されている	未着手
A-11	調査計画：テナントの存在を推測されないか	実機検証・照会	F-AUTH-02	接続先の振り分け	接続先の自動振り分け	基盤チーム	アプリチーム	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	対象	新規: 規模	振り分けのヒントから、存在する顧客名を外部に推測されないかを確かめる	確認結果。推測できてしまう場合の対処方針が決まっている	未着手
