シート	対象	列	新しい値	理由
WBS(基本設計)	HI-03	成果物と完了条件	レビュー記録。2 回目の指摘が一覧化されている	人日の値「1.5」が入っている（列ずれ）
WBS(基本設計)	HI-04	成果物と完了条件	改訂済みの設計書。2 回目の指摘がすべて処理されている	人日の値「2」が入っている（列ずれ）
WBS(基本設計)	HI-05	成果物と完了条件	レビュー記録。3 回目の指摘が一覧化されている	空欄
WBS(基本設計)	HI-06	成果物と完了条件	改訂済みの設計書。3 回目の指摘がすべて処理されている	空欄
WBS(基本設計)	HI-07	成果物と完了条件	レビュー記録。4 回目の指摘が一覧化されている	空欄
WBS(基本設計)	HI-08	成果物と完了条件	改訂済みの設計書。4 回目の指摘がすべて処理されている	空欄
WBS(基本設計)	分類が「H-B 機能設計」の行すべて	分類	HB 機能設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-E IF設計」の行すべて	分類	HE つなぎ目設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-J プロダクト固有設計」の行すべて	分類	HJ 認証製品の作り込み	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-L 認証実装ガイド」の行すべて	分類	GD アプリ向けガイド	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-11」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-A 全体・方式設計」の行すべて	分類	HA 全体・方式設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「G-1 Runbook」の行すべて	分類	G 手順書	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-12」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-15」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-G 権限・監査」の行すべて	分類	HG 権限・監査	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-9」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-D データ設計」の行すべて	分類	HD データ設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「G-4 drawio清書」の行すべて	分類	G 構成図	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-H 運用補完」の行すべて	分類	HH 運用設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「A-1 仮定値の扱い」の行すべて	分類	A 調査・PoC	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「E-4」の行すべて	分類	E 方式判断	分類の表記を 35 種類から 16 種類へ統一
