機能名	機能ID	系統	機能グループ	概要	行数	人日
ローカルログイン	F-AUTH-01	認証	ローカル認証	利用者 ID とパスワードで直接ログインする機能。顧客側に認証システムがないテナントの利用者と、基盤の運用担当者が使う	7	12.25
接続先の自動振り分け	F-AUTH-02	認証	接続先の振り分け	ログイン画面で入力された ID から、その人がどの接続先（顧客の認証システム）の利用者かを判定し、自動で振り分ける（HRD）。判定できないときのパスワード入力への切替を含む	6	10
振り分け失敗時のパスワード入力への切替	F-AUTH-03	認証	接続先の振り分け	接続先を判定できなかったときに、パスワード入力欄に切り替えて処理を続ける動き。どのテナントか分からない状態でも利用者を止めないための逃げ道	1	0.5
接続先の選択画面	F-AUTH-04	認証	接続先の振り分け	1 つのテナントに接続先が複数ある場合に、利用者にどれを使うか選ばせる画面の動き	2	1
顧客認証システムへのログイン委譲	F-AUTH-05	認証	フェデレーション	顧客が持っている認証システムに認証を委ね、その結果を受け取ってログインさせる機能（標準的な連携方式）	20	47.75
顧客認証システムへのログイン委譲（旧方式）	F-AUTH-06	認証	フェデレーション	顧客が持っている認証システムのうち、旧来の方式で連携する場合のログイン機能	3	6.75
初回ログイン時の利用者控え作成	F-AUTH-07	認証	フェデレーション	顧客の認証システムで認証された人が初めてログインしたとき、基盤側に利用者の控えを自動で作る機能	1	1
ログイン後の属性取り込み	F-AUTH-08	認証	フェデレーション	初回登録の後に毎回通る処理。属性の取り込みや必須項目の確認を行う	1	0.5
内部2段構えの認証連携	F-AUTH-09	認証	フェデレーション	基盤内部で 2 段構えになっていた認証システム同士の連携。Realm 統合により対象外	2	3.75
追加認証（数字コード）	F-AUTH-10	認証	多要素認証	スマートフォンアプリで生成する 6 桁の数字による追加認証	2	1
追加認証（生体・セキュリティキー）	F-AUTH-11	認証	多要素認証	端末の生体認証やセキュリティキーを使った追加認証。本基盤の推奨方式	4	3.25
追加認証の登録（数字コード）	F-AUTH-12	認証	多要素認証	スマートフォンアプリの追加認証を初めて登録する画面の流れ	2	1
追加認証の登録（生体・セキュリティキー）	F-AUTH-13	認証	多要素認証	生体認証やセキュリティキーを初めて登録する画面の流れ	1	0.5
2台目登録時の再認証	F-AUTH-14	認証	多要素認証	2 台目以降の認証器を登録するときに、追加認証をもう一度求める仕組み。乗っ取られた状態で勝手に端末を増やされるのを防ぐ	1	0.5
復旧用コードの発行・利用	F-AUTH-15	認証	アカウント復旧・パスワード	端末を失くしたときに使う一度きりのコードを発行し、利用させる機能	2	1
メールを持たない人の復旧	F-AUTH-16	認証	アカウント復旧・パスワード	メールアドレスを持たない利用者が端末を失くした場合の復旧手段。管理者の承認を経て復旧する	2	3.5
重要操作時の追加認証	F-AUTH-17	認証	多要素認証	重要な操作をするときだけ、その場で追加の認証を求める仕組み。ステップアップ認証は不要と決定したため対象外	3	5.75
パスワードの自己再設定	F-AUTH-18	認証	アカウント復旧・パスワード	利用者が自分でパスワードを再設定する機能	2	1
パスワード変更・初回強制変更	F-AUTH-19	認証	アカウント復旧・パスワード	パスワードの変更と、初回ログイン時に変更を強制する動き	2	1
連続失敗時の一時締め出し	F-AUTH-20	認証	不正アクセス対策	パスワードの連続失敗を検知して一時的に受け付けなくする機能	2	2.5
利用者の存在推測の防止	F-AUTH-21	認証	不正アクセス対策	その ID が実在するかどうかが応答の違いから分かってしまわないようにする対策。1 件ずつ試して実在する利用者を割り出されるのを防ぐ	1	0.5
流出パスワードの使用拒否	F-AUTH-22	認証	不正アクセス対策	入力されたパスワードが過去に流出したものでないかを確認し、該当する場合は使わせない機能	1	0.5
初回ログイン時の自動登録	F-PROV-01	プロビジョニング	自動登録	顧客の認証システム経由で初めてログインした人を、その場で利用者として登録する機能（JIT）。初回ログイン時の利用者控え作成と同じ出来事	1	0.75
ログイン時の属性更新	F-PROV-02	プロビジョニング	自動登録	2 回目以降のログイン時に、顧客側の最新情報で属性を更新する機能	1	0.5
顧客システムからの利用者登録	F-PROV-03	プロビジョニング	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客の人事システムや IdP から SCIM で利用者の新規登録を受け取る機能。受信窓口は自作またはプラグイン	3	9
顧客システムからの利用者更新	F-PROV-04	プロビジョニング	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	SCIM で顧客側からの利用者情報の変更を受け取って反映する機能	1	0.75
顧客システムからの削除通知	F-PROV-05	プロビジョニング	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	SCIM で顧客側からの削除通知を受け取り、基盤側では消さずに使えない状態にする機能	2	3
顧客システムからの利用者検索	F-PROV-06	プロビジョニング	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	SCIM で顧客側から利用者を検索・絞り込みで問い合わせられるようにする機能	1	0.5
顧客システムからのグループ連携	F-PROV-07	プロビジョニング	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	SCIM で顧客側のグループ情報を受け取る機能。初期リリースでは対象外	1	0.5
項目名の変換・統一	F-PROV-08	プロビジョニング	受け取ったデータの整形（項目名・区分の統一）	顧客ごとにバラバラな項目名を、基盤内の統一名に変換して取り込む仕組み。統一名の辞書と IdP ごとの変換表を含む。アプリへ渡す JWT の項目定義とは別	4	7.5
登録経路の区分判定	F-PROV-09	プロビジョニング	受け取ったデータの整形（項目名・区分の統一）	その利用者がどの経路（JIT / SCIM / 管理画面 / アプリ API / 運用者 / 移行）で登録されたかを区別し、後の自動処理の対象を判断できるようにする仕組み	4	5.25
利用者の停止（消さずに無効化）	F-PROV-10	プロビジョニング	退職者の遮断と復職対応（停止・再開の伝播）	利用者を削除せず使えない状態にし、停止日時を記録する機能。90 日休眠・SCIM の削除通知・管理者操作のいずれもここに集まる	4	6.75
停止済み利用者の再開	F-PROV-11	プロビジョニング	退職者の遮断と復職対応（停止・再開の伝播）	一度止めた利用者を再び使えるようにする機能。誤って復活させない条件を含む	1	0.75
停止の確実な伝播	F-PROV-12	プロビジョニング	退職者の遮断と復職対応（停止・再開の伝播）	片方のシステムで利用者を止めたとき、その事実をもう一方にも必ず伝えて確実に遮断する仕組み。Realm 統合により対象外	4	7
再開の確実な伝播	F-PROV-13	プロビジョニング	退職者の遮断と復職対応（停止・再開の伝播）	再び使えるようにした場合も、止めたときと同じ経路でもう一方に伝える仕組み。Realm 統合により対象外	1	0.5
初回ログイン者の識別子通知	F-PROV-14	プロビジョニング	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	初めてログインした人の識別子を、権限を管理する側へ知らせる仕組み	1	0.5
権限管理側の受け皿作成	F-PROV-15	プロビジョニング	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	権限管理側で、まだ権限が設定されていない利用者の受け皿となる行を作る機能	1	0.5
顧客番号と基盤識別子の対応づけ	F-PROV-16	プロビジョニング	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	顧客側の利用者番号と基盤側の識別子を対応づけて管理する機能	5	7
参照用データの更新	F-PROV-17	プロビジョニング	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	アプリが 1 回の問い合わせで必要な情報を得られるよう、複数の情報源をまとめた参照用データを最新に保つ仕組み	1	1
利用者の検索・一覧	F-ADM-01	管理	利用者管理	管理者が自分のテナントの利用者を検索・一覧表示する機能	4	4.25
利用者の詳細参照	F-ADM-02	管理	利用者管理	利用者 1 人の詳細情報を表示する機能	3	1.5
利用者の登録	F-ADM-03	管理	利用者管理	管理者が利用者を新規に登録する機能	2	1.25
利用者の変更	F-ADM-04	管理	利用者管理	管理者が利用者の情報を変更する機能	2	1.25
利用者の利用可否の切替（管理者操作）	F-ADM-05	管理	利用者管理	管理者が利用者を一時的に使えなくする／戻す機能	2	1.25
利用者の削除	F-ADM-06	管理	利用者管理	管理者が利用者を削除する機能。実際には消さずに使えない状態にする	2	1.25
パスワード初期化（管理者）	F-ADM-07	管理	利用者支援操作	管理者が利用者のパスワードを初期化する機能	2	1
利用者の招待	F-ADM-08	管理	利用者支援操作	新しい利用者に招待を送り、本人に初期設定させる機能	3	1.5
