工程	ID	分類	機能グループ	機能名	項目	概要・完了定義	人日	内訳
③ 製造	MKC-A01	MK-C 自社拡張の実装	ログイン振り分け（HRD）	振り分け失敗時のパスワード入力への切替	切替の実装	判定できないときにパスワード入力へ切り替わる	1.5	
② 詳細設計	DDH-A01	DD-H 自社拡張の詳細設計	ログイン振り分け（HRD）	接続先の自動振り分け	振り分けの判定ロジックの実装設計	判定に使う値の取り出し方・照合の順序・見つからないときの分岐が実装できる粒度で書かれている	3	
② 詳細設計	DDI-A01	DD-I 単体試験の仕様	ログイン振り分け（HRD）	接続先の自動振り分け	単体試験仕様: 振り分け	判定できる／できない／複数該当の観点と期待結果が定義されている	1	
③ 製造	MKC-A02	MK-C 自社拡張の実装	ログイン振り分け（HRD）	接続先の自動振り分け	振り分けの自社拡張の実装	入力された ID から送り先が決まり、実機で振り分く	5	
③ 製造	MKI-A01	MK-I 単体試験の実施	ログイン振り分け（HRD）	接続先の自動振り分け	単体試験: 振り分け	試験仕様どおりに実施し、不具合が是正されている	2	
③ 製造	MKB-A01	MK-B 認証製品の設定・構築	ログイン振り分け（HRD）	接続先の選択（1 テナントに複数 IdP）	接続先の選択の設定	複数ある場合に選択でき、並び順が設計どおりになる	1.5	
② 詳細設計	DDB-A01	DD-B 機能の詳細設計	フェデレーションログイン	ログイン時の属性更新	属性更新の実装設計	更新する項目・しない項目と、更新の起こし方が確定している	1.5	
③ 製造	MKB-A02	MK-B 認証製品の設定・構築	フェデレーションログイン	ログイン時の属性更新	属性更新の実装	ログインのたびに設計どおりの項目が更新される	2	
② 詳細設計	DDB-A02	DD-B 機能の詳細設計	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	初回作成の実装設計	作る条件・持たせる項目・重複時の扱いと、フローのどこで動かすかが確定している	3	
② 詳細設計	DDI-A02	DD-I 単体試験の仕様	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	単体試験仕様: 初回作成	初回・重複・項目不足の観点と期待結果が定義されている	1	
③ 製造	MKB-A03	MK-B 認証製品の設定・構築	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	初回作成の実装	初めてのログインで利用者が作られ、2 回目以降は作られない	3	
③ 製造	MKI-A02	MK-I 単体試験の実施	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	単体試験: 初回作成	試験仕様どおりに実施し、不具合が是正されている	2	
② 詳細設計	DDE-A01	DD-E つなぎ目（IF）の詳細設計	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	受信窓口の実装設計（入口・認証・応答）	入口の作り・呼び出し元の確認方法・応答と異常時の返し方が実装できる粒度で書かれている	4	入口2+認証1+応答1
② 詳細設計	DDE-A02	DD-E つなぎ目（IF）の詳細設計	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	項目の対応づけと絞り込みの実装設計	受け取る項目の対応と、絞り込み・件数の区切りの実装方法が確定している	2	
② 詳細設計	DDI-A03	DD-I 単体試験の仕様	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	単体試験仕様: 受信窓口	登録・更新・削除・検索と、規格への適合の観点が定義されている	2	
③ 製造	MKE-A01	MK-E つなぎ目（IF）の実装	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	受信窓口の実装	顧客システムから登録・更新・削除・検索ができる	8	部品の組み込み3+自作部分5
③ 製造	MKI-A03	MK-I 単体試験の実施	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の登録	単体試験: 受信窓口	試験仕様どおりに実施し、不具合が是正されている	3	
② 詳細設計	DDB-A03	DD-B 機能の詳細設計	ユーザ属性の統一	登録経路の区分判定	登録経路の区分の実装設計	区分の値と、どこで付けるかが確定している	1.5	
③ 製造	MKB-A04	MK-B 認証製品の設定・構築	ユーザ属性の統一	登録経路の区分判定	登録経路の区分の実装	経路ごとに正しい区分が付く	1.5	
② 詳細設計	DDD-A01	DD-D データの詳細設計	ユーザ属性の統一	項目名の変換・統一	属性の宣言と変換規則の実装設計	持たせる項目の宣言と、顧客ごとの変換規則の書き方が実装できる粒度で書かれている	3	
③ 製造	MKB-A05	MK-B 認証製品の設定・構築	ユーザ属性の統一	項目名の変換・統一	属性の宣言と変換の設定	宣言した項目が保持され、顧客ごとの変換が設計どおり動く	3	
② 詳細設計	DDB-A04	DD-B 機能の詳細設計	ユーザの停止・再開・消去	利用者の停止（消さずに無効化）	停止と再開の実装設計	止める条件・再開してよい条件・除外する条件が確定している	2	
③ 製造	MKB-A06	MK-B 認証製品の設定・構築	ユーザの停止・再開・消去	利用者の停止（消さずに無効化）	停止と再開の実装	削除通知で止まり、条件を満たす場合だけ再開できる	3	
② 詳細設計	DDB-A05	DD-B 機能の詳細設計	認可・権限判定	テナント越境の防止（認証製品側）	越境防止の実装設計	どこで判定し、弾いたときに何を記録するかが確定している	1.5	
③ 製造	MKB-A07	MK-B 認証製品の設定・構築	認可・権限判定	テナント越境の防止（認証製品側）	越境防止の実装	他テナントの接続先ではログインできない	1.5	
③ 製造	MKI-A04	MK-I 単体試験の実施	認可・権限判定	テナント越境の防止（認証製品側）	単体試験: 越境防止	正しい組み合わせと誤った組み合わせで実施し、不具合が是正されている	1	
② 詳細設計	DDB-A06	DD-B 機能の詳細設計	業務システム連携（ServiceNow）	業務システムへの認証提供	業務システム連携の実装設計	交換する情報・署名の扱い・ログアウトの伝え方が実装できる粒度で書かれている	4	
② 詳細設計	DDI-A04	DD-I 単体試験の仕様	業務システム連携（ServiceNow）	業務システムへの認証提供	単体試験仕様: 業務システム連携	ログイン・利用者の自動作成・ログアウトの観点と期待結果が定義されている	1	
③ 製造	MKB-A08	MK-B 認証製品の設定・構築	業務システム連携（ServiceNow）	業務システムへの認証提供	業務システム連携の設定と実装	業務システムへログインでき、相手側に利用者が作られる	6	接続設定4+属性の受け渡し2
③ 製造	MKI-A05	MK-I 単体試験の実施	業務システム連携（ServiceNow）	業務システムへの認証提供	単体試験: 業務システム連携	試験仕様どおりに実施し、不具合が是正されている	2	
② 詳細設計	DDD-A02	DD-D データの詳細設計	非機能: システム構成	データベース設計（ブローカー）	表の定義と索引・分割の実装設計	使う表・索引・分割の指定が実装できる粒度で書かれている	3	
② 詳細設計	DDD-A03	DD-D データの詳細設計	非機能: システム構成	データベース設計（ブローカー）	構造変更の適用方式と戻し方	構造を変えるときの適用手順と、元に戻す手順が確定している	2	
② 詳細設計	DDJ-A01	DD-J レビュー・整合	非機能: 移行・環境	既存からの移行	切替計画の詳細化	切替の単位・並行稼働の期間・戻す条件と手順が確定している	2	
③ 製造	MKJ-A01	MK-J レビュー・受入・引き渡し	非機能: 移行・環境	既存からの移行	切替の準備（ひな形・確認表）	アプリごとの切替手順とチェック表が使える状態になっている	2	
