根拠の補足	対象 WBS ID（カンマ区切り）
対象が減るぶん規模は縮むが、作業自体は残る	GD-01,GD-02,GD-03,GD-04,GD-05,GD-06,GD-07,GD-08,GD-11,GD-26,GD-27,GD-28,GD-29,GD-30,GD-31,GD-32,GD-33,GD-37,GD-38,GD-39,GD-40,GD-41,GD-42,GD-43,GD-44,GD-45,GD-46,GD-47,GD-48,GD-49,GD-50,GD-51,GD-52,GD-53
顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	A-6.1,A-6.2,A-6.3,A-6.4,D-11,HJ-01a,HJ-02a,HJ-10a,HE-14,HE-15,HE-17,HB-F-AUTH-05,HB-F-AUTH-06,GD-09,GD-10,GD-14,GD-15,GD-16,GD-17,GD-18,GD-21,GD-22,GD-23,GD-24
誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	D-9.1,HC-05c,HE-05a,HE-05b,HE-05c,HE-05d,HE-05e,HE-05f,HE-05g,HE-05h,HE-05i,HE-05j,HE-06a,HE-06b,HE-06d,HE-06e,HB-F-ADM-11,HB-F-ADM-12
方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	HA-01,HA-02,HA-03,HA-04,HA-06,HA-07,HA-08,HA-11,HA-12,HA-15,HA-16,HA-17,HA-18,HA-19,HA-22,HA-23,HA-24,HA-25
顧客と接続先を登録できないとサービスを開始できない	G-1.1,A-9,D-9.3a,HC-05a,HE-21a,HE-21b,HE-21c,HE-21d,HE-21e,HE-21f,HH-04,HJ-14,HK-05,HK-08,HB-F-ADM-14,HB-F-ADM-16,HB-F-ADM-17
構成の前提を決める判断で、先送りすると後続が全て止まる	D-1,D-7b,D-9.3c,D-15,D-18.1,D-18.2,D-18.3,D-18.4,D-19,D-20,D-3,D-4,D-10
操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	HE-04a,HE-04b,HE-04c,HE-04d,HE-04e,HE-04f,HE-04g,HE-04h,HE-04j,HE-04k,HE-04l,HE-06c,HE-06g
画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	HB-F-ADM-01,HB-F-ADM-02,HB-F-ADM-03,HB-F-ADM-04,HB-F-ADM-05,HB-F-ADM-06,HB-F-ADM-07,HB-F-ADM-08,HB-F-ADM-09,HB-F-ADM-20,HB-F-ADM-21,HB-21,HB-22
ログイン画面は認証製品のテーマ機能で作るため、切り離せない	HC-04a,HC-04b,HC-04c,HC-04d,HC-04e,HC-04f,HC-04g,HC-04h,HC-04i,HC-04j,HC-04k,HC-04l
機能の数が減れば分量は減るが、体系そのものは残る	HB-F-ADM-10,HB-01,HB-08,HB-09,HB-10,HB-11,HB-12,HB-13,HB-14,HB-15,HB-16,HB-17
