Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q01	NFR-SCL-001a	① 規模・可用性・災害対策	事業側	最優先	受け入れる利用者数の上限	本基盤が受け入れる利用者数の上限を「月に一度でも使う利用者が最大 1,000 万人」として設計を進めてよいでしょうか。 選択肢: - A) 1,000 万人を上限として設計する 【弊社の推奨・現行の暫定値（前提 P-02、2026-07-23 凍結）】 - B) これより小さい上限でよい（想定人数をご記入ください） - C) 1,000 万人を超える見込みがある（想定人数をご記入ください）	A) 1,000 万人を上限として設計する 【弊社の推奨・現行の暫定値（前提 P-02、2026-07-23 凍結）】 / B) これより小さい上限でよい（想定人数をご記入ください） / C) 1,000 万人を超える見込みがある（想定人数をご記入ください）	上限人数が処理サーバーの台数・データベースの大きさ・月額費用を直接決めるためです。	現行は 1,000 万人の混雑時に処理サーバーを 3〜7 台へ自動増減する前提で見積もっています（この増減分だけで月額数十万円規模の幅が生じます）。上限を下げれば常時分の台数と月額費用を削減でき、逆に上限を超える場合は基盤を複数に分割する再設計（設計・検証工数が大幅増）が必要になります。	
Q02	NFR-SCL-001b	① 規模・可用性・災害対策	事業側	最優先	利用者数の増え方	開始時・1 年後・3 年後に、月に一度でも使う利用者が何人になる見込みかを教えてください。 選択肢: - A) 実数をご記入いただく（開始時 ◯万人 / 1 年後 ◯万人 / 3 年後 ◯万人）【弊社の推奨。現行は実数が未確定のため、上限 1,000 万人のみを凍結して設計中】 - B) 実数は出せないので、上限 1,000 万人の前提だけで設計を進めてよい - C) 段階的に増設する前提とし、増設の判断時期だけ後日決める	A) 実数をご記入いただく（開始時 ◯万人 / 1 年後 ◯万人 / 3 年後 ◯万人）【弊社の推奨。現行は実数が未確定のため、上限 1,000 万人のみを凍結して設計中】 / B) 実数は出せないので、上限 1,000 万人の前提だけで設計を進めてよい / C) 段階的に増設する前提とし、増設の判断時期だけ後日決める	上限値だけでは初期にどこまでの設備を用意するかが決まらず、初年度の費用が確定しないためです。	B を選ぶと初期から上限相当の設備を用意することになり、初年度費用が最大想定になります。A・C なら初期は小さく始めて段階的に増設でき、初年度の月額費用を抑えられます。	A-1 / A-2 と同趣旨 — 二重に聞かない
Q03	NFR-AVL-001a	① 規模・可用性・災害対策	事業側	最優先	お約束する稼働率の数値	本基盤の稼働率の目標を 99.9% / 99.95% / 99.99% のどれにしますか。 選択肢: - A) 99.9%（1 か月あたり止まってよい時間 約 43.8 分）【弊社の推奨・現行の暫定値（前提 P-04）】 - B) 99.95%（約 21.9 分） - C) 99.99%（約 4.4 分）	A) 99.9%（1 か月あたり止まってよい時間 約 43.8 分）【弊社の推奨・現行の暫定値（前提 P-04）】 / B) 99.95%（約 21.9 分） / C) 99.99%（約 4.4 分）	稼働率の目標が構成の二重化の度合い・拠点の数・監視体制、ひいては月額費用を決めるためです。	現行構成を端から端まで積み上げた実力値は 99.87〜99.92% で、99.9% はほぼ上限です。律速しているのは他組織が管理するインターネットの入口部分で、ここに 99.95% 以上を保証いただくことが 99.95% 以上を約束する前提になります。加えて B・C では予備拠点を平時から動かし続ける構成（現在は採用していません）が必要となり、月額費用と設計・検証工数が大幅に増えます。	C-101 と同趣旨 — 二重に聞かない
Q04	NFR-DR-001/002/006	① 規模・可用性・災害対策	事業側	最優先	災害時の復旧目標（2 つの場面に分けてお答えください）	大阪で復旧するまでにかかってよい時間と、失ってよいデータ量の組み合わせを、次の 3 つからお選びください。 ／ この場面での「失ってよいデータ量」は 5 分以内でよろしいですか。	【案の内訳】大阪に平常時は何も置かない（現行の設計）   約 14 日   数時間ぶん   ゼロ ／ データの複製だけ常時流す（弊社の推奨）   数日   1 分未満   データ複製ぶんのみ ／ 設備も平常時から動かしておく   1 日以下   1 分未満   設備一式の月額が常時発生 ／ A) 5 分以内 【弊社の推奨・現行設計で達成済み】 / B) それより短くしたい（希望値をご記入ください） / C) もっと長くてよい / A) ① / B) ② 【弊社の推奨】 / C) ③ / D) 未確定	いただいた希望値（復旧 1 日 / データ 5 分）は ③ を選ばないと達成できません。技術的な理由は次のとおりです。データベースの「任意の時点に巻き戻す記録」は別の地域に複製できない仕組みになっており（AWS の仕様）、大阪へ運べるのは最短 1 時間おきの写しだけです。1 分未満にするには、平常時から大阪へデータを流し続ける必要があります。	① は追加費用ゼロですが復旧に約 2 週間かかります。② は費用を大きく増やさずにデータの取りこぼしだけ先に解決できる折衷案で、弊社の推奨です。③ は希望値を満たしますが、大阪の設備費が毎月かかります。	
Q05	NFR-DR-008	① 規模・可用性・災害対策	事業側 + アプリチーム	最優先	切り替え時にログイン状態を引き継ぐか	予備拠点へ切り替えた際に、全利用者がもう一度ログインし直す（ログイン中の状態は引き継がれない）ことを許容いただけますか。 選択肢: - A) 許容する（再ログインだけで業務を再開できればよい）【弊社の推奨・現行の暫定値（U8 D-U8-10、製品仕様として明文化する方針）】 - B) 条件付きで許容（条件をご記入ください） - C) 許容できない（切り替え後もログイン状態の維持が必要）	A) 許容する（再ログインだけで業務を再開できればよい）【弊社の推奨・現行の暫定値（U8 D-U8-10、製品仕様として明文化する方針）】 / B) 条件付きで許容（条件をご記入ください） / C) 許容できない（切り替え後もログイン状態の維持が必要）	切り替え時に引き継ぐのは利用者情報と設定だけで、ログイン中の状態は引き継がない設計であり、この可否が構成方式そのものを左右するためです。	A なら現行方式（平時は大阪に設備を置かず費用ゼロ、被災時に一から作る）が成立します。C は予備拠点を常時稼働させる方式が前提となり、月額費用と設計・検証工数が大幅に増えます（現在は将来検討扱いで Phase 1 では提供しません）。あわせて、切り替え時は発行済みのパスワード再設定リンクも無効になる点をご案内文に含めます。大多数の利用者はお客様企業側のログインの仕組みにログイン状態が残っていれば、パスワード再入力なしで再開できます。	B-DR-4 と同趣旨 — 二重に聞かない
Q06	P-04	① 規模・可用性・災害対策	事業側	最優先	稼働率を契約でお約束するか	稼働率 99.9% を、社内の管理目標に留めるのではなく、契約書に明記した「お約束」として扱いますか。 選択肢: - A) 契約に明記してお約束する 【弊社の推奨・現行の暫定値（前提 P-04、2026-07-23 凍結）】 - B) 社内の管理目標に留め、契約には書かない	A) 契約に明記してお約束する 【弊社の推奨・現行の暫定値（前提 P-04、2026-07-23 凍結）】 / B) 社内の管理目標に留め、契約には書かない	契約に書くかどうかで、計測方法・除外条件・未達時の対応まで文書として整える必要が生じるためです。	A の場合、① 何をもって「動いている」と測るかと除外条件（計画停止・お客様起因・お客様企業側のログインの仕組み起因）の契約記載、② 他組織が管理するインターネット入口起因の停止の扱い（NFR-AVL-001b の回答）、③ 月次の稼働率レポートを出す仕組みの構築、が必須作業として発生します。未達時の補償（利用料の控除など）の有無は現時点で未確定のため、別途ご相談させてください。また、災害からの復旧目標（約 14 日）と切り替え時の再ログインも、稼働率とは別項目として契約に明記する必要があります。	B-OBS-5 と同趣旨 — 二重に聞かない
Q07	NFR-SCL-004	① 規模・可用性・災害対策	事業側	通常	新しいお客様企業をつなぐまでの日数	新しいお客様企業のログイン連携を、お申し込みから何日で使える状態にする必要がありますか。 選択肢: - A) 1 営業日以内 【弊社の推奨・現行の暫定値】 - B) 3〜5 営業日でよい - C) 数時間以内（即日）が必要 ／ (b) 新しいお客様企業を、月平均で何社追加する見込みですか。	A) 1 営業日以内 【弊社の推奨・現行の暫定値】 / B) 3〜5 営業日でよい / C) 数時間以内（即日）が必要 / A) 具体的な社数をご記入ください（例: 月 5 社） / B) 概算（〜5 社 / 〜20 社 / 〜50 社 / それ以上） / C) 未確定	開通作業のうち「外部との通信を許可する申請」が他組織の対応時間に依存し、目標日数によって事前に合意すべき内容が変わるためです。	A を守るには、他組織に「通信許可の申請を 4 営業時間以内に処理する」ことを合意いただくか、許可枠をあらかじめ一括確保する必要があります（未合意のままでは 1 営業日以内は保証できず、目標値の見直しが必要になります）。C の場合は一括確保が必須で、他組織との調整工数が増えます。B なら基盤側の作業（実質 2〜3 時間）に十分な余裕が生まれます。	B-603（所要時間のご期待値）/ A-7（追加の頻度 = 上記 (b)） / NFR-OPS-011（テナント追加の運用 SLA = 上記 (a)） と同趣旨 — 二重に聞かない
Q08	NFR-AVL-001b	① 規模・可用性・災害対策	事業側	通常	稼働率の測り方（責任の範囲）	他組織が管理するインターネットの入口（防御装置・配信網）が原因の停止を、本基盤の稼働率の計算に含めますか。 選択肢: - A) 含めない（別枠に区分して集計し、協議事項として扱う）【弊社の推奨・現行の暫定値】 - B) 含める（入口を含めた全体で稼働率をお約束する）	A) 含めない（別枠に区分して集計し、協議事項として扱う）【弊社の推奨・現行の暫定値】 / B) 含める（入口を含めた全体で稼働率をお約束する）	稼働率の実力を決めているのが管理外の入口部分であり、そこを約束の範囲に含めるかで実現可能な数値が変わるためです。	B の場合、入口部分に 99.95% 以上の保証を他組織から取り付けることが契約の前提になり、取り付けられない場合は 99.9% のお約束自体が成り立ちません。なお、計画停止・お客様起因・お客様企業側のログインの仕組み（社内アカウント基盤）起因の失敗は、A・B いずれでも計算から除外する前提です。	
Q09	NFR-AVL-002a	① 規模・可用性・災害対策	事業側 + アプリチーム	通常	計画停止の頻度と時間帯	計画的な停止を「月 1 回・深夜 2〜4 時（最大 2 時間）」で実施することを許容いただけますか。 選択肢: - A) 月 1 回・深夜 2〜4 時 【弊社の推奨・現行の暫定値】 - B) 頻度・時間帯を変更したい（ご希望をご記入ください） - C) 計画停止は一切不可	A) 月 1 回・深夜 2〜4 時 【弊社の推奨・現行の暫定値】 / B) 頻度・時間帯を変更したい（ご希望をご記入ください） / C) 計画停止は一切不可	この停止枠を確保できるかどうかで、大きな版数更新（データの作り替えを伴うもの）の進め方が変わるためです。	計画停止は稼働率の計算から除外する前提です。C の場合、大きな版数更新も無停止で行う必要があり、新旧を並行して動かして切り替える方式の追加設計・検証（工数増）が発生します。日常の修正適用・設定変更は A・B・C いずれでも無停止で実施できます。	C-107 と同趣旨 — 二重に聞かない
Q10	NFR-DR-004	① 規模・可用性・災害対策	事業側	通常	バックアップの保存期間	日々取得するバックアップを何日分保存しますか。 選択肢: - A) 30 日分 【弊社の推奨・現行の暫定値】 - B) 90 日分 - C) 年単位でさらに長期（法令・業界規則の根拠をご記入ください）	A) 30 日分 【弊社の推奨・現行の暫定値】 / B) 90 日分 / C) 年単位でさらに長期（法令・業界規則の根拠をご記入ください）	保存期間が保管費用と、「いつの時点まで戻せるか」の限界を同時に決めるためです。	保存期間はデータ量に比例して保管費用が増えます。C の場合は日々のバックアップとは別に長期保管専用の複製を作る仕組みの追加設計が必要です。なお、操作履歴・監査ログの保存期間はこれとは別の話で、既出の C-203 / B-OBS-1（現行設計値: 直近 90 日 → 1 年 → 7 年の 3 段階）で確認します。	
Q11	NFR-DR-005	① 規模・可用性・災害対策	事業側	通常	どこまで細かく巻き戻せるか	誤操作やデータ破壊が起きたとき、過去のどの時点まで戻せる必要がありますか。 選択肢: - A) 直近 35 日以内の任意の時点へ戻せる 【弊社の推奨・現行の暫定値。要件書の目安は「5 分刻み・35 日」、基本設計では実力として「1 秒単位の精度・最大 35 日」（U8 D-U8-14）】 - B) もっと短くてよい（費用を下げたい。日数をご記入ください） - C) 35 日より長い期間の任意時点まで戻したい	A) 直近 35 日以内の任意の時点へ戻せる 【弊社の推奨・現行の暫定値。要件書の目安は「5 分刻み・35 日」、基本設計では実力として「1 秒単位の精度・最大 35 日」（U8 D-U8-14）】 / B) もっと短くてよい（費用を下げたい。日数をご記入ください） / C) 35 日より長い期間の任意時点まで戻したい	巻き戻せる範囲が、誤削除・設定破損からの復旧手段の中心になるためです。	この巻き戻し機能は攻撃者に消される可能性があるため（サービスの内部に保持される仕組みのため）、悪意ある削除や暗号化に備えて「一定期間は誰にも消せないバックアップ」を別枠で併設します（次項 NFR-DR-006 と連動）。C は保管費用が増えます。	
Q12	NFR-DR-007	① 規模・可用性・災害対策	事業側 + アプリチーム	通常	復旧訓練の回数	予備拠点への切り替え訓練を年に何回実施しますか。 選択肢: - A) 年 2 回（上期＝大阪を一から作り直す訓練、下期＝データ復元の訓練）【弊社の推奨・現行の暫定値（U8 D-U8-13）】 - B) 年 1 回 - C) それ以上（回数をご指定ください）	A) 年 2 回（上期＝大阪を一から作り直す訓練、下期＝データ復元の訓練）【弊社の推奨・現行の暫定値（U8 D-U8-13）】 / B) 年 1 回 / C) それ以上（回数をご指定ください）	訓練は復旧手順が実際に動くことの唯一の証明であり、回数が運用者の稼働と訓練用環境の費用を決めるためです。	年 2 回の場合、訓練用環境の費用と運用者の稼働（1 回あたり数日規模）が毎期発生します。回数を減らすと手順が現状と食い違ったまま放置されるリスクが上がり、災害時の復旧目標（約 14 日）の確度が下がります。お客様側・アプリ側が訓練に参加いただけるかは既出 B-DR-2 で確認します。	B-DR-2 と同趣旨（参加可否）— 本項は「回数」のみを確認
Q13	NFR-AVL-002b	① 規模・可用性・災害対策	事業側 + アプリチーム	後回し可	計画停止の事前通知	計画停止の事前通知を 7 日前とすることでよいですか。 選択肢: - A) 7 日前 【弊社の推奨・現行の暫定値】 - B) 14 日前以上が必要 - C) 前日〜即日でよい	A) 7 日前 【弊社の推奨・現行の暫定値】 / B) 14 日前以上が必要 / C) 前日〜即日でよい	通知の期限が、お客様への案内経路と運用側の準備手順を決めるためです。	B の場合、緊急性の高い修正（重大な脆弱性への対応など）が通知期限に間に合わないため、「緊急時は例外」とする別ルールの合意が別途必要になります。	
Q14	FR-FED-001	② ログイン基盤連携・SSO	事業側	最優先	Auth0 を使っているお客様企業の数	お客様企業のうち、社員がログインする仕組みとして Auth0 をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の推奨値は設定しません。現行は「接続対象に含む前提」で設計しており、社数の暫定値は未確定です）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	接続先の製品ごとに設定のひな形と動作確認が必要で、社数によって準備の順番と検証工数が決まるためです。	Auth0 は弊社の試作機で接続実績があるため、追加の検証工数はほとんど発生しません（他製品より安価に着手可能）。社数が多い場合はひな形整備を最優先に回します。	B-200（マスター表 B に会社ごと 1 行で記入いただく表）と同趣旨 — 正式な回答は表 B で回収し、本項は事前の概算把握のみ
Q15	FR-FED-002	② ログイン基盤連携・SSO	事業側	最優先	Entra ID（旧 Azure AD）を使っているお客様企業の数	お客様企業のうち、Microsoft の Entra ID（旧 Azure AD）をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の現行の暫定値：「必ず対応する」前提で設計中。社数は未確定）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	Entra ID は要件上「必ず対応」と位置付けている一方、弊社の試作機では別製品（Auth0）で代用しており実機での接続確認がまだ済んでいないためです。	該当が多い場合、契約前に実機での接続テスト（利用者情報の受け取り項目の確認を含む）を最優先で計画します — 検証工数が別途発生します。逆に「なし」であれば、その検証を後ろ倒しできます。	B-200（マスター表 B）と同趣旨 — 正式な回答は表 B、本項は概算把握のみ
Q16	FR-FED-003	② ログイン基盤連携・SSO	事業側	最優先	Okta を使っているお客様企業の数	お客様企業のうち、Okta をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の現行の暫定値：「対応が望ましい」位置付け。社数は未確定）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	Okta も実機での接続確認が未実施で、該当社数によって検証の優先順位が変わるためです。	該当があれば実機接続テストの対象に追加します（1 製品あたりの検証工数が積み上がります）。なお Okta は利用者情報の自動同期（退職者の自動停止など）を全プランで備えているため、その面の追加費用は発生しない見込みです。	B-200（マスター表 B）と同趣旨
Q17	FR-FED-004	② ログイン基盤連携・SSO	事業側	最優先	Google Workspace を使っているお客様企業の数	お客様企業のうち、Google Workspace をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の現行の暫定値：「対応できればよい」位置付け。社数は未確定）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	Google Workspace も実機接続が未確認で、かつ利用者情報の自動同期の可否がご契約プランによって分かれるためです。	該当があれば実機接続テストの対象に追加します。自動同期は上位プラン（Cloud Identity Premium）が必要で、標準プランのお客様は「初回ログイン時の自動登録」のみの運用になり、退職者の停止は別手段（お客様側の運用 or 90 日の未使用停止）に頼ることになります。	B-200（マスター表 B）と同趣旨
