ID	分類	機能グループ	機能名	項目	概要・完了定義	詳細設計 人日	製造 人日	内訳	縮小版	縮小版 詳細設計 人日	縮小版 製造 人日	縮小版の理由
DDH-01	DD-H 自社拡張の詳細設計	ログインの振り分け	顧客IdPの自動振り分け	振り分けの判定ロジックの実装設計	判定に使う値の取り出し方・照合の順序・見つからないときの分岐が実装できる粒度で書かれている	3			対象	3		R8 HRD は我々が作る
DDI-01	DD-I 単体試験の仕様	ログインの振り分け	顧客IdPの自動振り分け	単体試験仕様: 振り分け	判定できる／できない／複数該当の観点と期待結果が定義されている	1			対象	1		R8 HRD は我々が作る
MKC-01-1	MK-C 自社拡張の実装	ログインの振り分け	顧客IdPの自動振り分け	振り分けの判定ロジックの実装	入力から送り先が決まる		3		対象		3	R8 HRD は我々が作る
MKC-01-2	MK-C 自社拡張の実装	ログインの振り分け	顧客IdPの自動振り分け	振り分けのフローへの組み込み	認証フローの所定の位置で動く		1		対象		1	R8 HRD は我々が作る
MKC-01-3	MK-C 自社拡張の実装	ログインの振り分け	顧客IdPの自動振り分け	振り分けの動作確認と是正	主要な入力で意図どおり振り分く		1		対象		1	R8 HRD は我々が作る
MKI-01	MK-I 単体試験の実施	ログインの振り分け	顧客IdPの自動振り分け	単体試験: 振り分け	試験仕様どおりに実施し、不具合が是正されている		2		対象		2	R8 HRD は我々が作る
MKC-02	MK-C 自社拡張の実装	ログインの振り分け	振り分け失敗時のパスワード入力への切替	切替の実装	判定できないときにパスワード入力へ切り替わる		1.5		対象		1.5	R8 HRD の一部
MKB-01	MK-B Keycloak-Brokerの設定・構築	ログインの振り分け	顧客IdPの選択（1 顧客に複数）	顧客IdPの選択の設定	複数ある場合に選択でき、並び順が設計どおりになる		1.5		対象		1.5	R8 HRD の一部
DDB-01-1	DD-B 機能の詳細設計	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	OIDC 顧客IdPの定義項目の詳細設計	登録する項目とその値の決め方が実装できる粒度で書かれている	2		接続定義2+属性写像1+フロー配置1	対象	2		R2 Keycloak-Broker の中核
DDB-01-2	DD-B 機能の詳細設計	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	OIDC 属性の写し方の詳細設計	どの項目をどう写すかが一覧で確定している	1		接続定義2+属性写像1+フロー配置1	対象	1		R2 Keycloak-Broker の中核
DDB-01-3	DD-B 機能の詳細設計	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	OIDC フローへの配置の詳細設計	3 系統のどこに何を置くかが図で確定している	1		接続定義2+属性写像1+フロー配置1	対象	1		R2 Keycloak-Broker の中核
DDE-01	DD-E つなぎ目（IF）の詳細設計	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	OIDC エンドポイントとクレームの実装レベル定義	公開する入口・要求できる範囲・返す項目が一覧で確定している	3			対象	3		R2 Keycloak-Broker の中核
DDI-02	DD-I 単体試験の仕様	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	単体試験仕様: OIDC ログイン	初回・2 回目・属性変更・エラー応答の観点と期待結果が定義されている	2			対象	2		R2 Keycloak-Broker の中核
MKB-02-1	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	OIDC 顧客IdP 登録のひな形作成	ひな形から登録でき、属性が設計どおり写る		3	ひな形3+初期分2	対象		3	R2 Keycloak-Broker の中核
MKB-02-2	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	OIDC 顧客IdP 初期分の登録	初期に接続する顧客IdPが登録され疎通する		2	ひな形3+初期分2	対象		2	R2 Keycloak-Broker の中核
MKB-03-1	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	ブラウザログインのフロー組み立て	通常のログインが実機で通る		2		対象		2	R2 Keycloak-Broker の中核
MKB-03-2	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	初回連携のフロー組み立て	初回のユーザ作成が実機で通る		1		対象		1	R2 Keycloak-Broker の中核
MKB-03-3	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	連携後のフロー組み立て	2 回目以降の属性更新が実機で通る		1		対象		1	R2 Keycloak-Broker の中核
MKI-02	MK-I 単体試験の実施	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	単体試験: OIDC ログイン	試験仕様どおりに実施し、不具合が是正されている		3		対象		3	R2 Keycloak-Broker の中核
DDB-02	DD-B 機能の詳細設計	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	SAML フェデレーションの詳細設計	顧客IdPの定義項目・署名の検証方法・属性の写し方が実装できる粒度で書かれている	3			対象	3		R2 Keycloak-Broker の中核
DDE-02	DD-E つなぎ目（IF）の詳細設計	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	SAML メタデータと Assertion の実装レベル定義	交換する情報の項目と、必須・任意の区別が確定している	3			対象	3		R2 Keycloak-Broker の中核
DDI-03	DD-I 単体試験の仕様	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	単体試験仕様: SAML ログイン	正常・署名不正・期限切れの観点と期待結果が定義されている	1.5			対象	1.5		R2 Keycloak-Broker の中核
MKB-04-1	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	SAML 顧客IdP 登録のひな形作成	ひな形から登録でき、署名検証が動く		2.5		対象		2.5	R2 Keycloak-Broker の中核
MKB-04-2	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	SAML 顧客IdP 初期分の登録	初期に接続する顧客IdPが登録され疎通する		1.5		対象		1.5	R2 Keycloak-Broker の中核
MKI-03	MK-I 単体試験の実施	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	単体試験: SAML ログイン	試験仕様どおりに実施し、不具合が是正されている		2		対象		2	R2 Keycloak-Broker の中核
DDB-03	DD-B 機能の詳細設計	顧客IdP 連携ログイン	初回ログイン時のユーザ自動作成（JIT）	初回作成の実装設計	作る条件・持たせる項目・重複時の扱いと、フローのどこで動かすかが確定している	3			対象	3		R2 フェデが動く前提
DDI-04	DD-I 単体試験の仕様	顧客IdP 連携ログイン	初回ログイン時のユーザ自動作成（JIT）	単体試験仕様: 初回作成	初回・重複・項目不足の観点と期待結果が定義されている	1			対象	1		R2 フェデが動く前提
MKB-05	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	初回ログイン時のユーザ自動作成（JIT）	初回作成の実装	初めてのログインでユーザが作られ、2 回目以降は作られない		3		対象		3	R2 フェデが動く前提
MKI-04	MK-I 単体試験の実施	顧客IdP 連携ログイン	初回ログイン時のユーザ自動作成（JIT）	単体試験: 初回作成	試験仕様どおりに実施し、不具合が是正されている		2		対象		2	R2 フェデが動く前提
DDB-04	DD-B 機能の詳細設計	顧客IdP 連携ログイン	ログイン時の属性更新	属性更新の実装設計	更新する項目・しない項目と、更新の起こし方が確定している	1.5			対象	1.5		R2 フェデが動く前提
MKB-06	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	ログイン時の属性更新	属性更新の実装	ログインのたびに設計どおりの項目が更新される		2		対象		2	R2 フェデが動く前提
DDB-18	DD-B 機能の詳細設計	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-IdP 接続の詳細設計	共有エントリの定義項目・属性の写し方（amr → 追加認証済みの印）・login_hint の渡し方・ログアウト連鎖の設定が実装できる粒度で書かれている	2			対象	2		R7 2 台をつなぐところ
DDE-11	DD-E つなぎ目（IF）の詳細設計	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	接続仕様の実装レベル定義（Keycloak-IdP 側へ渡す設定値）	Keycloak-IdP 側の Client・返す項目・セッション上限（12 時間）・経路の設定値が一覧で確定し、アプリチームへ渡っている	1.5			対象	1.5		R7 2 台をつなぐところ
DDI-10	DD-I 単体試験の仕様	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	単体試験仕様: Keycloak-IdP 接続	初回・2 回目（Keycloak-IdP を呼ばない）・追加認証済みの印・ログアウト連鎖・上限時間の観点と期待結果が定義されている	1			対象	1		R7 2 台をつなぐところ
MKA-20	MK-A 環境・基盤の構築	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-IdP への閉域経路の構築（Keycloak-Broker 側）	閉域接続（PrivateLink）の受け口と名前解決が作られ、Keycloak-IdP 側と疎通する		3	経路2+名前解決1	対象		3	R7 2 台をつなぐところ
MKB-30	MK-B Keycloak-Brokerの設定・構築	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-IdP 接続の設定（共有エントリ・写し込み・ログアウト連鎖）	共有エントリが登録され、識別子が引き継がれ、追加認証の結果が写り、ログアウトが連鎖する		3		対象		3	R7 2 台をつなぐところ
MKI-19	MK-I 単体試験の実施	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	単体試験: Keycloak-IdP 接続	試験仕様どおりに実施し、不具合が是正されている		2		対象		2	R7 2 台をつなぐところ
DDG-01	DD-G 基盤構成の実装設計	パスワードによるログイン	Keycloak-IdP 側の引き渡しと責任分界	引き渡す範囲と初期状態の取り決め	どこまで作って渡すか・渡した後の責任の持ち方（D-21 責任表）・初期状態に何を入れるかが確定し、引き渡し仕様書として 1 冊になっている	2		★基盤は基盤（ROSA）だけ作ってアプリへ引き渡す	対象	2		R7 IdP 側も作って渡す
MKA-01-1	MK-A 環境・基盤の構築	パスワードによるログイン	Keycloak-IdP 側の引き渡しと責任分界	Keycloak-IdP 用クラスタの構築	クラスタが起動する		3	★引き渡しまでが基盤の範囲	対象		3	R7 IdP 側も作って渡す
MKA-01-2	MK-A 環境・基盤の構築	パスワードによるログイン	Keycloak-IdP 側の引き渡しと責任分界	Keycloak-IdP 用のネットワーク接続	所定の経路で到達できる		1.5	★引き渡しまでが基盤の範囲	対象		1.5	R7 IdP 側も作って渡す
MKA-01-3	MK-A 環境・基盤の構築	パスワードによるログイン	Keycloak-IdP 側の引き渡しと責任分界	Keycloak-IdP の初期状態の投入	引き渡す初期状態が入っている		1.5	★引き渡しまでが基盤の範囲	対象		1.5	R7 IdP 側も作って渡す
MKJ-01	MK-J レビュー・受入・引き渡し	パスワードによるログイン	Keycloak-IdP 側の引き渡しと責任分界	アプリチームへの引き渡し	初期状態の確認が済み、引き渡し手順と責任分界が合意されている		2		対象		2	R7 IdP 側も作って渡す
DDB-05	DD-B 機能の詳細設計	ログイン口の保護	ユーザの存在推測の防止	応答の同一化と試行回数の制限の実装設計	同一化する応答の範囲・数える単位・制限の回数と時間が確定している	1.5			一部	0.75		R8 HRD の応答を揃えるところまで。試行回数の制限は後回し
MKB-07	MK-B Keycloak-Brokerの設定・構築	ログイン口の保護	ユーザの存在推測の防止	応答の同一化と試行回数の制限の実装	実在の有無が応答から分からず、短時間の繰り返しが制限される		2		一部		1	R8 HRD の応答を揃えるところまで。試行回数の制限は後回し
MKI-05	MK-I 単体試験の実施	ログイン口の保護	ユーザの存在推測の防止	単体試験: 応答の同一化と試行回数の制限	実在・非実在の応答差が無いこと、制限が効くことを確認し、不具合が是正されている		1		一部		0.5	R8 HRD の応答を揃えるところまで。試行回数の制限は後回し
