根拠の補足	対象 WBS ID
構成が成立するかの確認で、機能を減らしても確かめる必要は残る	A-1.7,A-15,A-2.1,A-7
初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	A-3.1,A-3.2,HB-F-PROV-03,HB-F-PROV-04,HB-F-PROV-05,HB-F-PROV-06,HB-F-PROV-07
止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	A-3.3,HB-F-PROV-10,HB-F-PROV-11,HD-24,HB-F-BAT-01,HK-07
顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	A-6.1,A-6.2,A-6.3,A-6.4,HB-F-AUTH-05,HB-F-AUTH-06,HE-14,HE-15,HJ-01a,HJ-02a,HJ-10a,GD-09,GD-10,GD-14,GD-15,GD-16,GD-17,GD-18,GD-21,GD-22,GD-23,GD-24
件数が少ない前提なら管理者が代行でき、自己解決の仕組みは後回しにできる	A-13,HB-F-AUTH-16,HB-F-AUTH-18
顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	A-11,HB-F-AUTH-02,HB-F-AUTH-04,HJ-03
【省略・吸収】INT-12（CAEP）と同じく初期リリース対象外。人日は復活時のために残す	A-14
ネットワークを分ける根拠が「管理用の口はパスワードのハッシュを返さない」という前提に立っている。前提が崩れると分離の意味づけが変わるため、実機で確かめる	A-20
【省略・吸収】自明として省略。人日は復活時のために残す	A-2.2,A-2.3,A-2.4,A-17,A-18,A-19,A-9
【省略・吸収】1 ブランドのみの前提で不要。人日は復活時のために残す	A-16
ネットワークや入口の要求は、機能の数と無関係に発生する	B-1.1,B-1.2,B-2.1,B-2.2,B-4.1,B-4.2
分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、利用者が他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	B-3,HA-05,G-4.2,HJ-12
通常のシステム監視と手動更新で代替でき、無くても認証は止まらない	B-5,HB-F-INT-09,HB-F-INT-11,D-12
構成の前提を決める判断で、先送りすると後続が全て止まる	D-1,D-7b,D-9.3c,D-18.1,D-18.2,D-18.3,D-18.4,D-20
【省略・吸収】ステップアップ認証は不要と決定。人日は復活時のために残す	D-2,D-15,HB-F-AUTH-17,GD-25
パスワード再設定などの定型メールは認証製品が送るため、基盤側に残る	D-6,HB-F-INT-07,HE-18a,HE-18b
必要になってから足せる仕組みで、初期に無くても困らない	D-7a,HG-06,HA-27,HB-F-AUTH-14,HB-F-BAT-09,HB-F-ADM-22,HB-F-BAT-06,GD-34
誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	D-9.1,HB-F-ADM-11,HB-F-ADM-12,HC-05c-1,HC-05c-2,HC-05c-3,HC-05c-4,HE-05a,HE-05b,HE-05c,HE-05d,HE-05e,HE-05f,HE-05g,HE-05h,HE-05i,HE-05j,HE-06a,HE-06b,HE-06d,HE-06e
顧客と接続先を登録できないとサービスを開始できない	D-9.3a,G-1.1,HB-F-ADM-14,HB-F-ADM-16,HB-F-ADM-17,HC-05a-1,HC-05a-2,HC-05a-3,HC-05a-4,HC-05a-5,HC-05a-6,HE-21a,HE-21b,HE-21c,HE-21d,HE-21e,HE-21f,HH-04,HJ-14,HK-05,HK-08
検知の仕組みが使う資格の権限範囲。検知を Phase 1 に戻したため必要になる	D-9.3b
連携先は 1 つで、無くても認証基盤としては成立する	D-16.1,D-16.2,D-16.3,HB-F-INT-01,HB-F-INT-02,HB-F-INT-03,HE-16,GD-13
【省略・吸収】設計書はまだ無い前提のため改訂作業は不要。内容は HJ-02a に吸収。人日は復活時のために残す	D-17.1
【省略・吸収】同上。内容は HB-F-PROV-09 に吸収。人日は復活時のために残す	D-17.2
【省略・吸収】同上。内容は HB-F-AUTH-10〜13 に吸収。人日は復活時のために残す	D-17.3,D-17.4
【省略・吸収】同上（突合の対象となる改訂が無い）。人日は復活時のために残す	D-17.5
顧客希望は「1 日で復旧」で、対象外はその正反対。差は「復旧が遅い」ではなく「復旧するかしないか」なので、書面で合意しないと後で紛争になる	D-18.5
ネットワークの区画は作成後に変更できない。今예約しておかないと、将来やりたくなったときに全体の作り直しになる	D-21
2026-09-02 に Realm 統合として決定済み。決定記録のみ残す	D-19
【省略・吸収】E-1.2 に吸収（費用比較は構成決定と一体）。人日は復活時のために残す	E-1.1
環境や製品設定は、機能を減らしても同じだけ必要になる	E-1.2,E-2,E-3,E-4a,E-4b,E-4c,E-4d,E-4e,E-5
【省略・吸収】④ テストで計上（試験用データの作り方）。人日は復活時のために残す	E-1.3
公式 JDBC か接続プール（RDS Proxy）かの判断。1 人日で足りる	E-6
