要件ID	種別	分類	項目	概要	優先度	要件実現対象	構築場所	担当	調整の理由	出典の節
FR-AUTH-001	機能要件	FR-AUTH 認証方式	ID/PW 認証（ローカルユーザー）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザと運用者が使う	Must	対象	Keycloak-IdP	アプリ	Keycloak-IdP に収容するユーザの話。基盤は基盤（ROSA）まで作って引き渡す	1.1 認証フロー / Grant Type
FR-AUTH-002	機能要件	FR-AUTH 認証方式	Authorization Code + PKCE（SPA / モバイル）	画面を持つアプリが、標準の手順（認可コード＋PKCE）でログインを開始し JWT を受け取れること	Must	対象	Keycloak-Broker	インフラ		1.1 認証フロー / Grant Type
FR-AUTH-003	機能要件	FR-AUTH 認証方式	Authorization Code + client_secret（SSR）	サーバ側で処理するアプリが、接続用パスワードを使う標準の手順でログインできること	Must	対象	Keycloak-Broker	インフラ		1.1 認証フロー / Grant Type
FR-AUTH-004	機能要件	FR-AUTH 認証方式	Client Credentials（M2M）	人ではなくシステムが API を呼ぶための資格を発行できること	Must	対象	Keycloak-Broker	インフラ		1.1 認証フロー / Grant Type
FR-AUTH-005	機能要件	FR-AUTH 認証方式	Token Exchange（RFC 8693）	あるアプリ向けの JWT を、別のアプリ向けに交換できること	TBD	対象外	—	—	Phase 1 では作らない。必要になれば Keycloak の標準機能で足せる	1.1 認証フロー / Grant Type
FR-AUTH-006	機能要件	FR-AUTH 認証方式	Device Code Flow（画面のない機器・CLI 向けログイン）	画面のない機器や CLI からログインできること	不要	対象外	—	—	2026-08-16 の判断で Phase 1 対象外	1.1 認証フロー / Grant Type
FR-AUTH-007	機能要件	FR-AUTH 認証方式	mTLS Client Authentication（RFC 8705、証明書によるアプリ認証）	証明書でアプリを認証できること	不要	対象外	—	—	2026-08-16 の判断で対象外。金融水準の顧客が現れたときに再評価	1.1 認証フロー / Grant Type
FR-AUTH-008	機能要件	FR-AUTH 認証方式	ROPC（Password Grant）	アプリがユーザのパスワードを直接受け取ってログインさせる方式	Won't	対象外	—	—	採用しない（安全でないため）	1.1 認証フロー / Grant Type
FR-AUTH-009	機能要件	FR-AUTH 認証方式	パスワードポリシー（最小長・複雑性）	パスワードの最小の長さと文字種の組み合わせを決められること	Must	対象	Keycloak-IdP	アプリ	ローカルに収容するユーザだけの話。フェデレーションのユーザは顧客IdP 側の規則に従う	1.2 パスワード・ローカルユーザー管理
FR-AUTH-010	機能要件	FR-AUTH 認証方式	パスワード履歴（N 個と一致禁止）	過去に使ったパスワードを一定個数まで再利用させないこと	Should	対象	Keycloak-IdP	アプリ	同上	1.2 パスワード・ローカルユーザー管理
FR-AUTH-011	機能要件	FR-AUTH 認証方式	アカウントロック（連続失敗）	パスワードを連続で間違えたら一時的にログインを受け付けないこと	Must	対象	Keycloak-IdP	アプリ	同上。Keycloak-Broker はパスワードを持たないため、こちらの対象は顧客IdP の実在推測の防止に置き換わる	1.2 パスワード・ローカルユーザー管理
FR-AUTH-012	機能要件	FR-AUTH 認証方式	パスワード有効期限	パスワードに有効期限を設けられること	Should	対象	Keycloak-IdP	アプリ	同上	1.2 パスワード・ローカルユーザー管理
FR-AUTH-013	機能要件	FR-AUTH 認証方式	セルフサービスパスワードリセット	ユーザが自分でパスワードを再設定できること	Must	対象	Keycloak-IdP	アプリ	同上	1.2 パスワード・ローカルユーザー管理
FR-AUTH-014	機能要件	FR-AUTH 認証方式	初期パスワード強制変更	初回ログイン時にパスワードの変更を強制できること	Should	対象	Keycloak-IdP	アプリ	同上	1.2 パスワード・ローカルユーザー管理
FR-AUTH-015	機能要件	FR-AUTH 認証方式	DPoP（RFC 9449、送信者に縛った JWT）	JWT を受け取った本人以外が使い回せないよう、送信者を JWT に縛りつけること（DPoP）	TBD	対象外	—	—	提案書で新規想定として挙げた項目。Phase 1 では作らない	1.1 認証フロー / Grant Type（新規想定）
FR-FED-001	機能要件	FR-FED フェデレーション	Auth0 OIDC IdP 連携	Auth0 を顧客IdP として接続できること	推奨値あり	対象	Keycloak-Broker	インフラ		2.1 IdP 接続種別
FR-FED-002	機能要件	FR-FED フェデレーション	Entra ID（Azure AD）OIDC 連携	Entra ID（Azure AD）を顧客IdP として接続できること	Must	対象	Keycloak-Broker	インフラ		2.1 IdP 接続種別
FR-FED-003	機能要件	FR-FED フェデレーション	Okta OIDC 連携	Okta を顧客IdP として接続できること	Should	対象	Keycloak-Broker	インフラ		2.1 IdP 接続種別
FR-FED-004	機能要件	FR-FED フェデレーション	Google Workspace OIDC 連携	Google Workspace を顧客IdP として接続できること	Could	対象	Keycloak-Broker	インフラ		2.1 IdP 接続種別
FR-FED-005	機能要件	FR-FED フェデレーション	SAML 2.0 IdP として受け入れ（SP モード）	旧方式（SAML）の顧客IdP からログインを受け入れられること	Should	対象	Keycloak-Broker	インフラ		2.1 IdP 接続種別
FR-FED-006	機能要件	FR-FED フェデレーション	SAML 2.0 IdP として発行（IdP モード）	本基盤が旧方式（SAML）の提供元として、業務システムへログインを提供できること	TBD	対象	Keycloak-Broker	インフラ	ServiceNow 連携で必要	2.1 IdP 接続種別
FR-FED-007	機能要件	FR-FED フェデレーション	LDAP / AD 直接連携	社内ディレクトリ（LDAP / AD）に直接つなげること	TBD	対象外	—	—	Phase 1 では作らない	2.1 IdP 接続種別
FR-FED-008	機能要件	FR-FED フェデレーション	JIT プロビジョニング	顧客IdP 経由で初めて来た人を、その場でユーザとして自動作成できること	Must	対象	Keycloak-Broker	インフラ		2.2 フェデレーションユーザー処理
FR-FED-009	機能要件	FR-FED フェデレーション	属性マッピング / クレーム変換	顧客ごとにバラバラな属性名を、基盤の統一名に変換して取り込めること	Must	対象	Keycloak-Broker	インフラ		2.2 フェデレーションユーザー処理
FR-FED-010	機能要件	FR-FED フェデレーション	複数 IdP 並行運用（マルチテナント）	複数の顧客IdP を同時に運用でき、顧客ごとに分離できること	Must	対象	Keycloak-Broker	インフラ		2.3 マルチテナント運用
FR-FED-011	機能要件	FR-FED フェデレーション	顧客追加時のオンボーディングフロー	新しい顧客を迎え入れるときの、登録から利用開始までの流れが用意されていること	Must	対象	Keycloak-Broker	インフラ		2.3 マルチテナント運用
FR-FED-012	機能要件	FR-FED フェデレーション	フェデレーション時の MFA 重複回避	顧客IdP 側で追加認証を済ませた人に、本基盤で二重に追加認証を求めないこと	Must	対象	その他	顧客	追加認証は顧客IdP の責務。Keycloak-Broker は関与しない	2.2 フェデレーションユーザー処理
FR-FED-013	機能要件	FR-FED フェデレーション	ログイン画面で IdP 選択 UX	ログイン画面でどの顧客IdP を使うかを選べること	Should	対象	Keycloak-Broker	インフラ		2.3 マルチテナント運用
