要件ID	種別	優先度	要件実現対象	構築場所	担当	担当の理由	項目	概要	① 基本設計	② 詳細設計	③ 製造	④ テスト	状況
FR-AUTH-001	機能要件	Must	対象	Keycloak-IdP	アプリ	Keycloak-IdP に収容するユーザの話。基盤は基盤（ROSA）まで作って引き渡す	ID/PW 認証（ローカルユーザー）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザと運用者が使う	HB-F-AUTH-01 HJ-20	DDG-01	MKA-01 MKJ-01	IT-03	アプリ側で実施（本基盤にも 4 工程あり）
FR-AUTH-002	機能要件	Must	対象	Keycloak-Broker	インフラ	—	Authorization Code + PKCE（SPA / モバイル）	画面を持つアプリが、標準の手順（認可コード＋PKCE）でログインを開始し JWT を受け取れること	GD-09 GD-10 GD-14 GD-15 HB-F-AUTH-05 HE-14 HJ-02a HJ-09 HJ-10a	DDB-01 DDB-14 DDE-01 DDI-02	MKB-02 MKB-03 MKB-22 MKI-02 MKI-13	IT-07 ST-04	全工程あり
FR-AUTH-003	機能要件	Must	対象	Keycloak-Broker	インフラ	—	Authorization Code + client_secret（SSR）	サーバ側で処理するアプリが、接続用パスワードを使う標準の手順でログインできること	GD-09 GD-10 GD-14 GD-15 HB-F-AUTH-05 HE-14 HJ-02a HJ-09 HJ-10a	DDB-01 DDB-14 DDE-01 DDI-02	MKB-02 MKB-03 MKB-22 MKI-02 MKI-13	IT-01 IT-07 RI-01 RI-02 ST-04	全工程あり
FR-AUTH-004	機能要件	Must	対象	Keycloak-Broker	インフラ	—	Client Credentials（M2M）	人ではなくシステムが API を呼ぶための資格を発行できること	HB-F-AZ-07	DDB-13	MKB-21 MKI-12	IT-06	全工程あり
FR-AUTH-005	機能要件	TBD	対象外	—	—	Phase 1 では作らない。必要になれば Keycloak の標準機能で足せる	Token Exchange（RFC 8693）	あるアプリ向けの JWT を、別のアプリ向けに交換できること					Phase 1 では作らない
FR-AUTH-006	機能要件	不要	対象外	—	—	2026-08-16 の判断で Phase 1 対象外	Device Code Flow（画面のない機器・CLI 向けログイン）	画面のない機器や CLI からログインできること					Phase 1 では作らない
FR-AUTH-007	機能要件	不要	対象外	—	—	2026-08-16 の判断で対象外。金融水準の顧客が現れたときに再評価	mTLS Client Authentication（RFC 8705、証明書によるアプリ認証）	証明書でアプリを認証できること					Phase 1 では作らない
FR-AUTH-008	機能要件	Won't	対象外	—	—	採用しない（安全でないため）	ROPC（Password Grant）	アプリがユーザのパスワードを直接受け取ってログインさせる方式					Phase 1 では作らない
FR-AUTH-009	機能要件	Must	対象	Keycloak-IdP	アプリ	ローカルに収容するユーザだけの話。フェデレーションのユーザは顧客IdP 側の規則に従う	パスワードポリシー（最小長・複雑性）	パスワードの最小の長さと文字種の組み合わせを決められること	HB-F-AUTH-01 HJ-20	DDG-01	MKA-01 MKJ-01	IT-03	アプリ側で実施（本基盤にも 4 工程あり）
FR-AUTH-010	機能要件	Should	対象	Keycloak-IdP	アプリ	同上	パスワード履歴（N 個と一致禁止）	過去に使ったパスワードを一定個数まで再利用させないこと	HB-F-AUTH-01 HJ-20	DDG-01	MKA-01 MKJ-01	IT-03	アプリ側で実施（本基盤にも 4 工程あり）
FR-AUTH-011	機能要件	Must	対象	Keycloak-IdP	アプリ	同上。Keycloak-Broker はパスワードを持たないため、こちらの対象は顧客IdP の実在推測の防止に置き換わる	アカウントロック（連続失敗）	パスワードを連続で間違えたら一時的にログインを受け付けないこと	HB-F-AUTH-21	DDB-05	MKB-07 MKI-05	SEC-01	アプリ側で実施（本基盤にも 4 工程あり）
FR-AUTH-012	機能要件	Should	対象	Keycloak-IdP	アプリ	同上	パスワード有効期限	パスワードに有効期限を設けられること	HB-F-AUTH-01 HJ-20	DDG-01	MKA-01 MKJ-01	IT-03	アプリ側で実施（本基盤にも 4 工程あり）
FR-AUTH-013	機能要件	Must	対象	Keycloak-IdP	アプリ	同上	セルフサービスパスワードリセット	ユーザが自分でパスワードを再設定できること					アプリ側で実施
FR-AUTH-014	機能要件	Should	対象	Keycloak-IdP	アプリ	同上	初期パスワード強制変更	初回ログイン時にパスワードの変更を強制できること					アプリ側で実施
FR-AUTH-015	機能要件	TBD	対象外	—	—	提案書で新規想定として挙げた項目。Phase 1 では作らない	DPoP（RFC 9449、送信者に縛った JWT）	JWT を受け取った本人以外が使い回せないよう、送信者を JWT に縛りつけること（DPoP）					Phase 1 では作らない
FR-FED-001	機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	Auth0 OIDC IdP 連携	Auth0 を顧客IdP として接続できること	GD-09 GD-10 GD-14 GD-15 HB-F-ADM-16 HB-F-AUTH-05 HE-14 HJ-02a HJ-10a	DDB-01 DDE-01 DDI-02	MKB-02 MKB-03 MKB-16 MKI-02	IT-01 RI-02	全工程あり
FR-FED-002	機能要件	Must	対象	Keycloak-Broker	インフラ	—	Entra ID（Azure AD）OIDC 連携	Entra ID（Azure AD）を顧客IdP として接続できること	GD-09 GD-10 GD-14 GD-15 HB-F-ADM-16 HB-F-AUTH-05 HE-14 HJ-02a HJ-10a	DDB-01 DDE-01 DDI-02	MKB-02 MKB-03 MKB-16 MKI-02	RI-01	全工程あり
FR-FED-003	機能要件	Should	対象	Keycloak-Broker	インフラ	—	Okta OIDC 連携	Okta を顧客IdP として接続できること	GD-09 GD-10 GD-14 GD-15 HB-F-ADM-16 HB-F-AUTH-05 HE-14 HJ-02a HJ-10a	DDB-01 DDE-01 DDI-02	MKB-02 MKB-03 MKB-16 MKI-02	IT-01 OP-01 RI-01 RI-02 ST-04	全工程あり
FR-FED-004	機能要件	Could	対象	Keycloak-Broker	インフラ	—	Google Workspace OIDC 連携	Google Workspace を顧客IdP として接続できること	GD-09 GD-10 GD-14 GD-15 HB-F-ADM-16 HB-F-AUTH-05 HE-14 HJ-02a HJ-10a	DDB-01 DDE-01 DDI-02	MKB-02 MKB-03 MKB-16 MKI-02	IT-01 OP-01 RI-01 RI-02 ST-04	全工程あり
FR-FED-005	機能要件	Should	対象	Keycloak-Broker	インフラ	—	SAML 2.0 IdP として受け入れ（SP モード）	旧方式（SAML）の顧客IdP からログインを受け入れられること	HB-F-ADM-16 HB-F-AUTH-06 HE-15	DDB-02 DDE-02 DDI-03	MKB-04 MKB-16 MKI-03	IT-02 RI-03 ST-05	全工程あり
