# 凡例（コード → 値）
## 作業種別
1	ガイド・手順書の執筆
2	レビュー・合意
3	外部調整
4	実機検証・照会
5	設計書の執筆
6	調査・計画
## 担当（案②)
1	アプリチーム
2	基盤チーム
3	基盤チーム（縮小）
4	要判断
## 担当（案③)
1	アプリチーム
2	共同
3	基盤チーム
## 判断根拠
1	事故防止
2	他組織との調整
3	代替手段あり
4	利用者が 1 箇所になり不要
5	後から追加可能
6	改ざん防止
7	業務データ
8	業務ルール依存
9	構成の前提
10	権限移管に伴い不要
11	横断（対象縮小）
12	法令・契約
13	画面のみ
14	製品機能
15	認証の中核
16	運用に必須
## スコープ
1	対象
2	対象外：災害対策をやらない
3	対象外：認証製品を 1 つに統合
## 当初想定
1	当初あり
2	新規: 機能追加
3	新規: 自社構築
4	新規: 規模
5	新規: 非機能・運用

WBS ID	作業種別	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	スコープ	当初想定
A-19	4	2	3	1	1	1
A-20	4	2	3	1	1	3
D-18.5	2	2	3	12	1	2
D-21	6	2	3	9	1	2
B-1.1	3	2	3	2	1	3
B-1.2	3	2	3	2	1	3
B-1.3	3	2	3	2	1	3
B-2.1	3	2	3	2	1	3
B-2.2	3	2	3	2	1	3
B-3	3	2	3	2	1	3
B-4.1	3	2	3	2	1	3
B-4.2	3	2	3	2	2	3
B-5	3	2	1	3	1	5
E-1.1	6	2	3	9	1	3
E-1.2	6	2	3	9	1	3
E-1.3	6	2	3	9	1	3
E-2	6	2	3	9	1	4
E-3	6	2	3	9	1	3
E-4	6	2	3	9	1	3
E-5	6	2	3	9	1	3
E-6	6	2	3	9	1	3
E-7	6	4	3	13	1	5
E-8	6	2	3	1	1	4
F-1	3	2	3	12	1	5
F-2	3	2	3	12	1	5
F-3	3	2	3	12	1	5
F-4	3	2	3	12	1	5
G-1.1	1	2	1	15	1	2
G-1.2	1	2	3	16	1	5
G-1.3	1	2	1	1	1	5
G-1.4	1	2	3	16	1	5
G-1.5	1	2	3	1	1	5
G-1.6	1	2	3	16	1	5
G-1.7	1	2	1	15	1	5
G-1.8	1	2	3	16	2	5
G-1.9	1	2	3	16	2	5
G-1.10	1	2	3	16	1	5
G-1.11	1	2	3	16	2	5
G-3	5	2	3	16	1	5
G-4.1	5	2	3	16	1	5
G-4.2	5	2	3	16	1	5
A-1.7	4	2	3	9	1	3
A-2.1	4	2	3	9	3	3
A-2.2	4	2	1	3	1	1
A-2.3	4	2	3	9	1	3
A-2.4	4	2	3	9	1	3
A-3.1	4	2	1	5	1	2
A-3.2	4	2	1	5	1	2
A-3.3	4	2	1	1	1	2
A-6.1	4	2	3	15	1	1
A-6.2	4	2	3	15	1	1
A-6.3	4	2	3	15	1	1
A-6.4	4	2	3	15	1	1
A-13	4	2	1	3	1	2
A-16	4	2	3	9	1	3
A-17	4	2	3	9	1	3
A-18	4	2	3	9	1	3
A-7	4	2	3	9	2	3
A-9	4	2	1	15	1	2
A-11	4	2	1	3	1	4
A-14	4	2	1	5	1	2
A-15	4	2	3	9	1	3
D-1	6	2	3	9	1	2
D-2	2	2	1	3	1	1
D-5	6	2	1	1	1	5
D-6	6	2	3	14	1	5
D-7a	6	2	3	5	2	5
D-7b	6	2	3	9	2	2
D-8a	6	2	1	15	1	2
D-8b	6	2	1	15	1	2
D-8c	6	2	1	1	1	2
D-9.1	6	1	1	8	1	2
D-9.2	6	4	3	13	1	5
D-9.3a	6	2	1	15	1	2
D-9.3b	6	2	1	1	1	5
D-9.3c	6	2	3	9	1	2
D-11	6	2	3	15	1	1
D-12	6	2	3	3	1	2
D-13	6	2	3	1	1	4
D-14	6	2	1	3	1	4
D-15	6	2	3	9	1	2
D-16.1	2	2	1	5	1	2
D-16.2	2	2	1	5	1	2
D-16.3	2	2	1	5	1	2
D-17.1	6	2	3	15	1	1
D-17.2	6	2	1	15	1	2
D-17.3	6	2	3	14	1	1
D-17.4	6	2	3	14	1	1
D-17.5	6	2	3	15	1	1
D-18.1	6	2	3	9	2	2
D-18.2	6	2	3	9	2	2
D-18.3	6	2	3	9	2	2
D-18.4	6	2	3	9	2	2
D-19	6	2	3	9	1	4
D-20	6	2	3	9	1	2
HD-01	5	3	1	15	1	2
HD-02	5	3	1	15	1	2
HD-03	5	2	1	14	1	3
HD-04	5	2	3	4	3	1
HD-05	5	2	1	15	1	2
HD-06	5	1	1	8	1	2
HD-07	5	1	1	8	1	2
HD-08	5	1	1	8	1	2
HD-09	5	1	1	7	1	2
HD-10	5	1	1	8	1	2
HD-11	5	2	1	4	3	2
HD-12	5	2	1	12	1	2
HD-13	5	4	1	7	1	2
HD-14	5	2	3	6	1	5
HD-15	5	2	3	6	1	5
HD-16	5	1	1	8	1	2
HD-17	5	2	1	15	1	2
HD-18	5	2	1	15	1	2
HD-19	5	1	1	7	1	2
HD-20	5	2	1	1	1	2
HD-21	5	2	1	15	1	2
HD-22	5	3	1	15	1	2
HD-23	5	1	1	1	1	2
HD-24	5	3	1	1	1	2
HD-25	5	3	1	8	1	2
HJ-01a	5	2	3	15	1	1
HJ-01b	5	2	3	4	3	1
HJ-02a	5	2	3	15	1	1
HJ-02b	5	2	3	4	3	1
HJ-10a	5	2	3	15	1	1
HJ-10b	5	2	3	4	3	1
HA-01	5	3	3	11	1	1
HA-02	5	3	3	11	1	1
HA-03	5	3	3	11	1	1
HA-04	5	3	3	11	1	1
HA-05	5	3	3	11	1	1
HA-06	5	3	1	11	1	1
HA-07	5	3	1	11	1	1
HA-08	5	3	1	11	1	1
HA-09	5	3	1	13	1	1
HA-10	5	3	2	11	1	1
HA-11	5	3	3	11	1	1
HA-12	5	3	1	11	1	1
HA-13	5	2	2	3	1	4
HA-14	5	1	2	7	1	2
HA-15	5	3	1	11	1	1
HA-16	5	3	3	11	1	1
HA-17	5	3	3	11	1	3
HA-18	5	3	1	11	1	1
HA-19	5	3	1	11	1	1
HA-20	5	3	2	11	1	4
HA-21	5	3	2	11	1	4
HA-22	5	3	3	11	1	4
HA-23	5	3	1	11	1	1
HA-24	5	3	3	11	1	1
HA-25	5	3	3	11	1	1
HA-26	5	2	3	1	1	5
HA-27	5	2	3	5	1	2
HC-01	5	2	1	13	1	1
HC-02	5	2	1	13	1	1
HC-03a	5	3	1	13	1	1
HC-03b	5	1	1	13	1	1
HC-04a	5	2	1	14	1	4
HC-04b	5	2	3	14	1	1
HC-04c	5	2	1	14	1	4
HC-04d	5	2	3	14	1	1
HC-04e	5	2	3	14	1	1
HC-04f	5	2	3	14	1	1
HC-04g	5	2	3	14	1	1
HC-04h	5	2	3	14	1	1
HC-04i	5	2	1	14	1	1
HC-04j	5	2	1	14	1	1
HC-04k	5	2	1	14	1	1
HC-04l	5	2	1	14	1	1
HC-05a	5	2	1	15	1	2
HC-05b	5	1	1	8	1	1
HC-05c	5	1	1	8	1	2
HC-05d	5	1	3	13	1	5
HC-06	5	2	1	13	1	1
HC-07	5	2	1	13	1	1
HC-08	5	2	1	13	1	1
HE-22	5	2	1	13	1	2
HC-10	5	2	1	13	1	1
HC-11	5	2	3	13	1	1
HE-01	5	2	1	15	1	2
HE-02	5	2	1	15	1	2
HE-03	5	2	1	15	1	2
HE-04a	5	2	1	15	1	1
HE-04b	5	2	1	15	1	1
HE-04c	5	2	1	15	1	1
HE-04d	5	2	1	15	1	1
HE-04e	5	2	1	15	1	5
HE-04f	5	2	1	15	1	1
HE-04g	5	2	1	15	1	1
HE-04h	5	2	1	15	1	5
HE-04i	5	2	1	1	1	5
HE-04j	5	2	1	15	1	2
HE-04k	5	2	1	15	1	2
HE-04l	5	2	1	15	1	2
HE-05a	5	1	1	8	1	2
HE-05b	5	1	1	8	1	2
HE-05c	5	1	1	8	1	2
HE-05d	5	1	1	8	1	2
HE-05e	5	1	1	8	1	2
HE-05f	5	1	1	8	1	2
HE-05g	5	1	1	8	1	2
HE-05h	5	1	1	8	1	2
HE-05i	5	1	1	8	1	2
HE-05j	5	1	1	8	1	2
HE-06a	5	1	1	8	1	2
HE-06b	5	1	1	8	1	2
HE-06c	5	2	1	15	1	1
HE-06d	5	1	1	8	1	2
HE-06e	5	1	1	8	1	2
HE-06f	5	1	1	7	1	2
HE-06g	5	2	1	15	1	2
HE-06h	5	2	3	6	1	5
HE-07	5	2	1	15	1	2
HE-08	5	2	1	15	1	2
HE-21a	5	2	1	15	1	2
HE-21b	5	2	1	15	1	2
HE-21c	5	2	1	15	1	2
HE-21d	5	2	1	15	1	2
HE-21e	5	2	1	15	1	2
HE-21f	5	2	1	15	1	2
HE-09	5	2	1	15	1	2
HE-10	5	2	1	5	1	2
HE-11	5	2	1	4	3	2
HE-12	5	2	1	4	3	2
HE-13	5	1	1	3	1	2
HE-14	5	2	3	15	1	1
HE-15	5	2	3	15	1	1
HE-16	5	2	1	5	1	2
HE-17	5	2	3	15	1	1
HE-18	5	2	3	14	1	4
HE-19a	5	2	3	1	1	5
HE-19b	5	2	1	1	1	2
HE-19c	5	2	1	1	1	2
HE-19d	5	2	1	1	1	2
HE-20	5	2	1	15	1	2
HF-01	5	2	1	15	1	2
HF-02	5	2	1	1	1	2
HF-03	5	2	1	1	1	2
HF-04	5	2	1	4	3	5
HF-05	5	2	1	15	1	2
HF-06	5	2	1	15	1	2
HF-07	5	2	1	15	1	2
HG-01	5	2	1	1	1	2
HG-02	5	2	1	1	1	2
HG-03	5	2	1	1	1	2
HG-04	5	4	3	13	1	5
HG-05	5	4	3	13	1	5
HG-06	5	2	3	5	1	5
HG-07	5	2	1	1	1	5
HG-08	5	2	3	6	1	5
HH-01	5	2	3	16	1	5
HH-02	5	2	3	16	1	5
HH-03	5	2	3	16	1	5
HH-04	5	2	1	15	1	2
HH-05	5	2	3	16	1	5
HI-01	2	3	3	11	1	1
HI-02	2	3	3	11	1	1
HI-03	2	3	3	11	1	1
HI-04	2	3	3	11	1	1
HI-05	2	3	3	11	1	1
HI-06	2	3	3	11	1	1
HJ-03	5	2	1	3	1	4
HJ-04	5	2	1	15	1	2
HJ-05	5	2	1	1	1	5
HJ-06	5	2	3	14	1	3
HJ-07	5	2	3	14	1	3
HJ-08	5	2	1	15	1	2
HJ-09	5	2	3	14	1	3
HJ-11	5	2	1	4	3	4
HJ-12	5	2	3	14	1	3
HJ-13	5	2	1	4	3	2
HJ-14	5	2	1	15	1	2
HJ-15	5	2	1	15	1	2
HJ-16	5	2	1	3	1	4
HJ-17	5	2	3	14	1	3
HJ-18	5	2	3	14	1	3
HJ-19	5	2	3	14	1	3
HK-01	2	3	3	12	1	5
HK-02	2	3	3	12	1	5
HK-04	1	3	1	12	1	5
HK-05	1	2	1	15	1	2
HK-06	1	4	3	13	1	5
HK-07	1	2	1	1	1	2
HK-08	1	2	1	15	1	2
HK-09	1	3	3	12	1	5
HB-F-AUTH-01	5	2	3	15	1	1
HB-F-AUTH-02	5	2	1	3	1	4
HB-F-AUTH-03	5	2	1	3	1	4
HB-F-AUTH-04	5	2	1	3	1	4
HB-F-AUTH-05	5	2	3	15	1	1
HB-F-AUTH-06	5	2	3	15	1	1
HB-F-AUTH-07	5	2	1	15	1	1
HB-F-AUTH-08	5	2	1	15	1	1
HB-F-AUTH-09	5	2	1	4	3	4
HB-F-AUTH-10	5	2	3	14	1	1
HB-F-AUTH-11	5	2	3	14	1	1
HB-F-AUTH-12	5	2	3	14	1	1
HB-F-AUTH-13	5	2	3	14	1	1
HB-F-AUTH-14	5	2	1	5	1	2
HB-F-AUTH-15	5	2	3	14	1	1
HB-F-AUTH-16	5	2	1	3	1	2
HB-F-AUTH-17	5	2	1	3	1	1
HB-F-AUTH-18	5	2	1	3	1	1
HB-F-AUTH-19	5	2	3	14	1	1
HB-F-AUTH-20	5	2	3	1	1	4
HB-F-AUTH-21	5	2	1	1	1	4
HB-F-AUTH-22	5	2	1	3	1	4
HB-F-PROV-01	5	2	1	15	1	2
HB-F-PROV-02	5	2	1	15	1	2
HB-F-PROV-03	5	2	1	5	1	2
HB-F-PROV-04	5	2	1	5	1	2
HB-F-PROV-05	5	2	1	5	1	2
