Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q14	FR-FED-001	② ログイン基盤連携・SSO	事業側	最優先	Auth0 を使っているお客様企業の数	お客様企業のうち、社員がログインする仕組みとして Auth0 をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の推奨値は設定しません。現行は「接続対象に含む前提」で設計しており、社数の暫定値は未確定です）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	接続先の製品ごとに設定のひな形と動作確認が必要で、社数によって準備の順番と検証工数が決まるためです。	Auth0 は弊社の試作機で接続実績があるため、追加の検証工数はほとんど発生しません（他製品より安価に着手可能）。社数が多い場合はひな形整備を最優先に回します。	B-200（マスター表 B に会社ごと 1 行で記入いただく表）と同趣旨 — 正式な回答は表 B で回収し、本項は事前の概算把握のみ
Q15	FR-FED-002	② ログイン基盤連携・SSO	事業側	最優先	Entra ID（旧 Azure AD）を使っているお客様企業の数	お客様企業のうち、Microsoft の Entra ID（旧 Azure AD）をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の現行の暫定値：「必ず対応する」前提で設計中。社数は未確定）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	Entra ID は要件上「必ず対応」と位置付けている一方、弊社の試作機では別製品（Auth0）で代用しており実機での接続確認がまだ済んでいないためです。	該当が多い場合、契約前に実機での接続テスト（利用者情報の受け取り項目の確認を含む）を最優先で計画します — 検証工数が別途発生します。逆に「なし」であれば、その検証を後ろ倒しできます。	B-200（マスター表 B）と同趣旨 — 正式な回答は表 B、本項は概算把握のみ
Q16	FR-FED-003	② ログイン基盤連携・SSO	事業側	最優先	Okta を使っているお客様企業の数	お客様企業のうち、Okta をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の現行の暫定値：「対応が望ましい」位置付け。社数は未確定）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	Okta も実機での接続確認が未実施で、該当社数によって検証の優先順位が変わるためです。	該当があれば実機接続テストの対象に追加します（1 製品あたりの検証工数が積み上がります）。なお Okta は利用者情報の自動同期（退職者の自動停止など）を全プランで備えているため、その面の追加費用は発生しない見込みです。	B-200（マスター表 B）と同趣旨
Q17	FR-FED-004	② ログイン基盤連携・SSO	事業側	最優先	Google Workspace を使っているお客様企業の数	お客様企業のうち、Google Workspace をお使いの会社はどのくらいありますか。 選択肢: - A) なし - B) 数社（1〜9 社） - C) 数十社 - D) 100 社以上 - E) 不明・これから調査 （弊社の現行の暫定値：「対応できればよい」位置付け。社数は未確定）	A) なし / B) 数社（1〜9 社） / C) 数十社 / D) 100 社以上 / E) 不明・これから調査	Google Workspace も実機接続が未確認で、かつ利用者情報の自動同期の可否がご契約プランによって分かれるためです。	該当があれば実機接続テストの対象に追加します。自動同期は上位プラン（Cloud Identity Premium）が必要で、標準プランのお客様は「初回ログイン時の自動登録」のみの運用になり、退職者の停止は別手段（お客様側の運用 or 90 日の未使用停止）に頼ることになります。	B-200（マスター表 B）と同趣旨
Q18	FR-FED-013a	② ログイン基盤連携・SSO	事業側	最優先	ログイン画面に接続先の一覧を出さない方式のご了承	ログイン画面に接続先企業の一覧（ボタン列）を出さず、ID またはメールアドレスを入力していただいて自動で振り分ける方式でご了承いただけますか。 選択肢: - A) 了承（入力していただいて自動振り分け）【弊社の推奨・現行の暫定値。1000 社超では一覧表示は性能上そもそも成立しません】 - B) 一覧から選ばせたい - C) 未定	A) 了承（入力していただいて自動振り分け）【弊社の推奨・現行の暫定値。1000 社超では一覧表示は性能上そもそも成立しません】 / B) 一覧から選ばせたい / C) 未定	接続先が 1000 社を超えると一覧表示は画面としても性能としても成立せず、これが基盤全体の作りの前提条件になっているためです。	B を選ばれる場合、1000 社規模を単一の基盤で受ける前提そのものが崩れ、基盤の分割など構成の抜本的な見直し（設計のやり直し規模の工数・費用）が必要になります。	B-601（ログイン画面の方式）と同趣旨 — 二重に聞かない
Q19	FR-FED-013b	② ログイン基盤連携・SSO	事業側 + アプリチーム	最優先	利用者に入力していただく ID の形	利用者に入力していただく文字として「会社コード - 利用者 ID」（例: acme-001234）とメールアドレスの両方を受け付ける形でよろしいですか。 選択肢: - A) 両方受け付ける（会社ごとにどちらをご案内するかは指定可）【弊社の推奨・現行の暫定値】 - B) 「会社コード - 利用者 ID」のみ - C) メールアドレスのみ - D) 未定	A) 両方受け付ける（会社ごとにどちらをご案内するかは指定可）【弊社の推奨・現行の暫定値】 / B) 「会社コード - 利用者 ID」のみ / C) メールアドレスのみ / D) 未定	メールアドレスを持たない利用者（工場・店舗・現場など）がいる場合、メールアドレスだけでは振り分けができないためです。	会社コードは英小文字と数字のみ・ハイフン不可・後から変更できないため、ご契約時に確定していただく必要があります（社名変更・合併時は表示名のみ変更する運用になります）。C 単独を選ばれるとメールアドレスを持たない利用者を収容できません。	B-619（振り分けの手がかりに何を使うか）と同趣旨
Q20	P-14	② ログイン基盤連携・SSO	アプリチーム	最優先	新しく作るアプリの連携方式の統一	今後新しく作るアプリの連携方式は「新しい方式」に統一し、既に連携済みの既存システムは「従来方式」のまま据え置く方針でよろしいですか。 選択肢: - A) 新規は新しい方式 / 既存の連携済みシステムは従来方式のまま 【弊社の推奨・現行の暫定値】 - B) 既存システムも含めてすべて新しい方式へ移行する - C) 新規でも従来方式を許容する - D) 未定	A) 新規は新しい方式 / 既存の連携済みシステムは従来方式のまま 【弊社の推奨・現行の暫定値】 / B) 既存システムも含めてすべて新しい方式へ移行する / C) 新規でも従来方式を許容する / D) 未定	従来方式には「スマートフォンアプリやブラウザだけで動くアプリ」への対応と「アプリ同士の API 呼び出しの許可」を扱う標準的な仕組みが存在せず、新規開発では行き詰まるためです。	A は既存システムに手を入れずに済み、追加費用が発生しません。B は既存システム側の改修費用が対象システム数に比例して別途発生します。C はアプリごとに個別方式の設計・検証が必要となり、アプリ 1 本あたりの追加工数が継続的に発生します。	B-APP-OIDC-1（新規アプリの標準化）/ B-APP-OIDC-2（既存アプリの移行方針）と同趣旨 — 二重に聞かない
Q21	FR-FED-009a	② ログイン基盤連携・SSO	アプリチーム	通常	お客様から受け取る利用者情報のそろえ方	各アプリへお渡しする利用者情報を、弊社が定めた共通の項目一式にそろえてお渡しする方式でよろしいですか。 選択肢: - A) 共通の項目一式にそろえてお渡しする（お客様ごとの生の項目はアプリに渡さない）【弊社の推奨・現行の暫定値】 - B) お客様ごとの項目名・内容をそのままアプリに渡す - C) 未定	A) 共通の項目一式にそろえてお渡しする（お客様ごとの生の項目はアプリに渡さない）【弊社の推奨・現行の暫定値】 / B) お客様ごとの項目名・内容をそのままアプリに渡す / C) 未定	お客様ごとに項目名も有無も値の意味もばらばらなため、そろえずに渡すとアプリ側が会社ごとの場合分けを抱え込むことになるためです。	A ならアプリ側の受け取り実装は 1 回で済みます。B は会社ごとの個別対応となり、アプリ側の工数が接続社数（1000 社規模）に比例して増大します。	B-604（お客様ごとの項目名の違いへの対応）と同趣旨 — 具体的な対応表の中身は B-604 で回収
Q22	FR-FED-009b	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	お客様固有の追加項目を受け取る必要の有無	弊社の共通の項目一式に含まれない、お客様固有の追加項目を受け取ってアプリへ渡す必要はありますか。 選択肢: - A) 不要 - B) 必要（必要な項目名の一覧をご提示ください） - C) 未定 （現行は未確定 — 追加項目の受入枠を設けるかどうかは弊社内でも未決事項です）	A) 不要 / B) 必要（必要な項目名の一覧をご提示ください） / C) 未定	受入枠を設けるかどうかで、情報の保存ルールとアプリへの受け渡し契約が変わるためです。	必要な場合、追加項目の命名ルールと申請・審査のプロセスを新設する必要があり、設計・運用の工数が増えます。不要なら、余計な個人情報が紛れ込まない仕組み（宣言していない項目は保存自体しない）をそのまま維持できます。	
Q23	FR-FED-011	② ログイン基盤連携・SSO	事業側	通常	新しいお客様を接続する作業の実施主体	新しいお客様企業を本サービスに接続する設定作業は、どなたが実施する想定ですか。 選択肢: - A) 弊社の運用チームが実施（お客様からは申請のみ）【弊社の推奨・現行の暫定値】 - B) お客様ご自身が設定できる画面を用意する（セルフサービス） - C) 併用（基本は弊社、一部の大口のお客様のみセルフサービス）	A) 弊社の運用チームが実施（お客様からは申請のみ）【弊社の推奨・現行の暫定値】 / B) お客様ご自身が設定できる画面を用意する（セルフサービス） / C) 併用（基本は弊社、一部の大口のお客様のみセルフサービス）	お客様ご自身が設定する画面が必要かどうかで、開発する画面と権限の作り込みが大きく変わるためです。	A は現行の半自動の手順（申請 → 内容検査 → 作成 → 接続確認、目標次営業日以内）で対応でき、追加開発は不要です。B / C はお客様向け設定画面の新規開発と権限まわりの追加設計が必要となり、開発費用が増えます。	B-608（オンボーディング主体）と同趣旨 — 接続情報の受領形式は B-609、所要時間のご期待値は B-603 で別途確認
