種別	旧	新	備考
機能グループ	ログイン振り分け（HRD）	ログインの振り分け	改名
機能グループ	フェデレーションログイン	顧客IdP 連携ログイン	改名
機能グループ	ローカルログイン（Keycloak-IdP 収容）	パスワードによるログイン	改名
機能グループ	パスワード・アカウント復旧	パスワードと復旧	改名
機能グループ	不正アクセス対策	ログイン口の保護	改名
機能グループ	セッション・ログアウト	セッションとログアウト	改名
機能グループ	ログイン画面・エラー画面	ログイン画面	統合
機能グループ	同意管理	ログイン画面	統合
機能グループ	ユーザ登録（顧客システム連携・SCIM）	ユーザ管理	統合
機能グループ	ユーザ管理（管理画面・API）	ユーザ管理	統合
機能グループ	顧客IdP管理	顧客IdP 管理	改名
機能グループ	権限管理	認可・権限判定	改名
機能グループ	JWT の発行・交換	JWT の発行	改名
機能グループ	アプリ・外部連携	アプリ連携	改名
機能グループ	業務システム連携（ServiceNow）	業務システムへの認証提供	改名
機能グループ	データ整合・突合	ユーザの停止・再開・消去	改名
機能名	JWT に載せる項目の定義	アプリへの JWT 発行	改名
機能名	JWT の交換	別アプリ向け JWT への交換（Token Exchange）	改名
機能名	SCIM 受信: グループ連携	顧客IdP からのユーザ情報の同期	統合
機能名	SCIM 受信: ユーザの更新	顧客IdP からのユーザ情報の同期	統合
機能名	SCIM 受信: ユーザの検索	顧客IdP からのユーザ情報の同期	統合
機能名	SCIM 受信: ユーザの登録	顧客IdP からのユーザ情報の同期	統合
機能名	SCIM 受信: 削除通知（無効化へ読み替え）	顧客IdP からのユーザ情報の同期	統合
機能名	ユーザの利用可否の切替	ユーザの利用可否の切替・削除	統合
機能名	ユーザの削除	ユーザの利用可否の切替・削除	統合
機能名	ユーザの変更	ユーザの登録と変更	統合
機能名	ユーザの検索・一覧	ユーザの参照	統合
機能名	ユーザの登録	ユーザの登録と変更	統合
機能名	ユーザの詳細参照	ユーザの参照	統合
機能名	一覧・記録のファイル出力	ユーザ一覧と操作記録のファイル出力	改名
機能名	不正兆候の検知	不正なログインの兆候の検知	改名
機能名	接続情報の自動追随	顧客IdP の接続情報の自動追随	改名
機能名	接続用パスワードの定期入れ替え	アプリの接続用パスワードの定期入れ替え	改名
機能名	操作記録の照会	管理操作の記録の照会	改名
機能名	日次の整合突合	本基盤とアプリの間のデータの突合	改名
機能名	権限情報の一括取得	アプリが使う権限情報の一括取得	改名
機能名	登録経路の区分判定	ユーザの登録経路の区分	改名
機能名	監査ログの取得・保管方式	監査ログの出力と保管	改名
機能名	管理 API の内部公開（idm-api 向け）	アプリ向け管理 API の公開	改名
機能名	署名鍵の定期入れ替え	JWT 署名鍵の定期入れ替え	改名
機能名	証明書期限の監視	顧客IdP・本基盤の証明書の期限監視	改名
機能名	追加認証の登録（数字コード）	追加認証の登録	統合
機能名	追加認証の登録（生体・セキュリティキー）	追加認証の登録	統合
機能名	追加認証（数字コード）	追加認証の利用	統合
機能名	追加認証（生体・セキュリティキー）	追加認証の利用	統合
機能名	項目名の変換・統一	顧客IdP から受け取る属性の名前の統一	改名
機能ID（統合で廃番）	F-ADM-02	F-ADM-01	ユーザの詳細参照 → 統合先へ
機能ID（統合で廃番）	F-ADM-04	F-ADM-03	ユーザの変更 → 統合先へ
機能ID（統合で廃番）	F-ADM-06	F-ADM-05	ユーザの削除 → 統合先へ
機能ID（統合で廃番）	F-AUTH-11	F-AUTH-10	追加認証（生体・セキュリティキー） → 統合先へ
機能ID（統合で廃番）	F-AUTH-13	F-AUTH-12	追加認証の登録（生体・セキュリティキー） → 統合先へ
機能ID（統合で廃番）	F-PROV-04	F-PROV-03	SCIM 受信: ユーザの更新 → 統合先へ
機能ID（統合で廃番）	F-PROV-05	F-PROV-03	SCIM 受信: 削除通知（無効化へ読み替え） → 統合先へ
機能ID（統合で廃番）	F-PROV-06	F-PROV-03	SCIM 受信: ユーザの検索 → 統合先へ
機能ID（統合で廃番）	F-PROV-07	F-PROV-03	SCIM 受信: グループ連携 → 統合先へ
