カテゴリ	コード	意味	文脈・使用箇所	備考
Phase 軸	A	事業要件（PO / 事業企画 / 営業）	会議組み立て用ステークホルダー軸、20 項目
Phase 軸	B	技術要件（開発チーム / テックリード）	会議組み立て用ステークホルダー軸、63 項目
Phase 軸	C	運用・セキュリティ（情シス / SRE / セキュリティ）	会議組み立て用ステークホルダー軸、35 項目
Phase 軸	D	最終判断（意思決定者）	会議組み立て用ステークホルダー軸、6 項目
利用者カテゴリ	P-1	基盤運用管理者	A-5-2 / §1.1、弊社内 IdP + Break Glass	弊社運用チーム
利用者カテゴリ	P-2	顧客企業のテナント管理者	A-5-2 / §1.1	顧客の IT 管理者
利用者カテゴリ	P-3	顧客企業の一般従業員（フェデユーザー）	A-5-2 / §1.1	顧客 IdP 経由
利用者カテゴリ	P-4	IdP を持たない顧客のユーザー（ローカル）	A-5-2 / §1.1	中小顧客で IdP 未導入
利用者カテゴリ	P-5	Break Glass 用ローカル管理者	A-5-2 / §1.1、数名のみ	緊急時 / IdP 障害時
利用者カテゴリ	P-6	B2C コンシューマーユーザー	A-5-2 / §1.1	一般消費者向け SaaS
インフラ運用者	I-1	AWS インフラ運用者	A-5-4 / §1.3、AWS IAM 認証、MFA 必須	Cognito / Lambda / VPC 操作
インフラ運用者	I-2	Keycloak / RHBK 運用者	A-5-4 / §1.3	EKS / OpenShift 上の Keycloak
インフラ運用者	I-3	監視・SRE 担当	A-5-4 / §1.3、Read-Only 推奨	CloudWatch / Datadog / Grafana
インフラ運用者	I-4	セキュリティ監査者	A-5-4 / §1.3、Read-Only 強制	CloudTrail / SIEM
インフラ運用者	I-5	ベンダー / SI サポート	A-5-4 / §1.3、IAM Role STS 一時付与（24-72h）	Red Hat Support / AWS Support
採用シナリオ	α	全カテゴリ受入（P-1〜P-6）	A-5-3 / §1.2、ローカルユーザー最大	B2C を含む大規模 SaaS
採用シナリオ	β	管理者 + IdP なし顧客（P-1/P-2/P-4/P-5）	A-5-3 / §1.2	IT 成熟度がまちまちな B2B
採用シナリオ	γ	管理者層のみ（P-1/P-2/P-5）★業界推奨	A-5-3 / §1.2、顧客に IdP 必須化	エンタープライズ B2B SaaS
採用シナリオ	δ	Break Glass のみ（P-1/P-5）	A-5-3 / §1.2、全顧客 IdP 強制	規制業種専用 SaaS
ブランディングパターン	A	軸 1 No × 軸 2 No、アプリ側完結	A-11 / A-11-α 組合せ、最シンプル	Slack / Notion 型
ブランディングパターン	A'	軸 1 Yes、アプリ別認証基盤側カスタマイズ	A-11 / A-11-α 組合せ	Auth0 / Entra / Okta 型
ブランディングパターン	B	軸 2 Yes 部分、顧客別認証基盤側カスタマイズ	A-11 / A-11-α 組合せ、Cognito 20 顧客上限	顧客向け公開 SaaS
ブランディングパターン	C	軸 2 Yes 完全分離、Pool/Realm 分離	A-11 / A-11-α 組合せ、SSO 喪失リスク	Enterprise プラン相当（稀）
マスター表 B 列	区分	事業者 / 顧客（行の役割識別）	B-200、2026-05-25 統合で追加	事業者=1行、顧客=N行
