WBS ID	機能グループ（I）	機能名（J）
A-6.1	フェデレーション	顧客認証システムへのログイン委譲_OIDC
A-6.2	フェデレーション	顧客認証システムへのログイン委譲_SAML
A-6.3	フェデレーション	顧客認証システムへのログイン委譲_OIDC
A-6.4	フェデレーション	顧客認証システムへのログイン委譲_OIDC
A-14	アプリへの通知	アプリへの変更通知
A-2.1	横断	横断（全機能共通）
A-2.2	横断	横断（全機能共通）
A-2.3	横断	横断（全機能共通）
A-2.4	横断	横断（全機能共通）
A-19	ローカル認証	ローカルユーザー管理
A-16	ログイン画面	IdP-Keycloakのログイン画面
D-1	ログイン画面	IdP-Keycloakのログイン画面
D-7a	監視・検知	不正兆候の検知
D-15	横断	横断（全機能共通）
D-16.1	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供
D-16.2	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供
D-16.3	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供
D-17.1	横断	横断（全機能共通）
D-17.5	横断	横断（全機能共通）
D-18.1	横断	横断（全機能共通）
D-18.2	横断	横断（全機能共通）
D-18.3	横断	横断（全機能共通）
D-18.4	横断	横断（全機能共通）
D-19	横断	横断（全機能共通）
E-4a	横断	横断（全機能共通）
E-4b	横断	横断（全機能共通）
E-4c	横断	横断（全機能共通）
E-4d	横断	横断（全機能共通）
E-4e	横断	横断（全機能共通）
E-8	不正アクセス対策	連続失敗時の一時締め出し
G-1.2	運用	顧客の解約運用
G-1.4	運用	横断（法令対応）
G-1.7	利用者支援操作	強制ログアウト（ブローカー）
G-1.8	運用	横断（災害対策）
G-1.9	運用	横断（災害対策）
G-1.10	運用	横断（災害対策）
G-1.11	運用	横断（災害対策）
D-9.2	監査・一括処理	操作記録の照会(ブローカー)
E-7	監査・一括処理	操作記録の照会(ブローカー)
D-20	運用	横断（法令対応）
D-14	不正アクセス対策	利用者の存在推測の防止
D-12	鍵・証明書の維持	証明書期限の監視
G-1.5	鍵・証明書の維持	署名鍵の定期入れ替え
D-11	フェデレーション	顧客認証システムへのログイン委譲_SAML
HJ-17	横断	横断（全機能共通）
HJ-18	横断	横断（全機能共通）
HJ-19	横断	横断（全機能共通）
HG-04	監査・一括処理	操作記録の照会(ブローカー)
HG-05	監査・一括処理	操作記録の照会(ブローカー)
HG-06	監査・一括処理	操作記録の照会(アプリ)
HD-15	監査・一括処理	操作記録の照会(ブローカー)
HA-09	横断	横断（全機能共通）
HD-05	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一
HJ-04	自動登録	初回ログイン時の自動登録
HC-01a	横断	横断（全機能共通）
HC-01b	横断	横断（全機能共通）
HC-04b	ローカル認証	ローカルユーザー管理
HC-04c	接続先の振り分け	接続先の自動振り分け
HC-04d	多要素認証	追加認証（数字コード）
HC-04e	多要素認証	追加認証（生体・セキュリティキー）
HC-04f	多要素認証	追加認証の登録（数字コード）
HC-04j	エラー画面	sorryページ(ブローカー)
HC-04k	横断	横断（全機能共通）
HC-04l	運用	横断（同意管理）
HC-05a-1	接続先管理	顧客認証システムの接続登録
